p,D,M,n_real,fe_ok,init_ok,opt_n,C,C_ok,trunc_exp,hard_stop,hs_ok,cache_hits_ev,cache_hits_man,cache_init,footer_termino,status,fe_final_ok,n_ger_man,nger_ok,pop_gers,pop_gers_ok,pop_prog_ok,tim_n,tim_n_ok,tim_ger1_dup,nacum_ok,fit_ratio,u7_viol,u7_viol_em_sonda,busca_blocos,busca_blocos_ok,busca_1900_ok,sonda_blocos,sonda_2000_ok,sonda_cadencia_ok,sonda_man_ok,modelo_flag_ok,sigma_pos_ok,espaco_ok,ftm_ok,ftm_mono,lote3_ok,ncl3_ok,ntre_ok,nstd_sum,ndup_sum,stall_sum,delta_ok,NW,NW_const,NW_man,gat_ok,ramo_inc,ratio_quant_ok,ymin_chain_maxerr,espaco_ev_ok,T100,dropP_ok,loss_sent,hp_passos,fe_gen_ok,infill_match,fant_wape_med,inc_pct_med,inc_n,conv_pct_med,ws_inter,ws_pairs
BBOB_F1,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.931662559509277,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,21,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.06755517029900235,0.97,63,0.18,0,65
BBOB_F17,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.779635429382324,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,21,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.31666155436411236,0.97,63,0.61,0,65
BBOB_F22,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.448071479797363,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,18,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.7464278306124685,0.975,54,0.445,0,65
BBOB_F37,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.166171073913574,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,19,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.09608652587632832,0.98,57,0.36,0,65
BBOB_F49,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.17343807220459,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,18,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.13131949342527655,0.925,54,0.55,0,65
BBOB_F5,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.67507266998291,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,20,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.061088406700132734,0.975,60,0.49,0,65
BBOB_F55,10,2,309,True,True,200,66,True,True,1,True,1,1,True,normal,ok,True,67,True,67,True,True,67,True,True,True,10.670981407165527,0,True,66,True,True,35,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,100,True,100,True,15,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 10, 0.01)",True,198/198,0.21473806530944287,0.96,45,0.16,0,65
DTLZ1,7,3,216,True,True,140,46,True,True,1,True,1,1,True,normal,ok,True,47,True,47,True,True,47,True,True,True,10.823784828186035,0,True,46,True,True,25,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,91,True,91,True,11,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 7, 0.01)",True,138/138,0.3912869173815505,0.98,33,0.07,0,45
DTLZ2,12,3,371,True,True,240,80,True,False,0,True,1,1,True,normal,ok,True,81,True,81,True,True,81,True,True,True,10.24294376373291,0,True,80,True,True,41,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,91,True,91,True,16,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 12, 0.01)",True,240/240,0.09860469486885401,0.985,48,0.02,0,79
DTLZ3,12,3,371,True,True,240,80,True,False,0,True,1,1,True,normal,ok,True,81,True,81,True,True,81,True,True,True,10.199907302856445,0,True,80,True,True,41,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,91,True,91,True,20,True,0.0,True,True,True,INACESSIVEL (DI-12.1),"(80000, 8000, 12, 0.01)",True,240/240,0.3690223428942928,0.99,60,0.04,0,79
