prob,D,M,igdp,rank_geral,n_algs,rank_piso,n_pisos,melhor_piso,igdp_melhor_piso,pior_piso,igdp_pior_piso,banda_razao,sa_melhores,n_sa,frac_sa_ganha,melhor_sa,igdp_melhor_sa,razao_nsga3_melhorSA,e7,razao_e7,nsga2,moead,smsemoa
BBOB_F1,10,2,0.137318662091244,12,17,2,4,nsga2,0.1359531134257377,moead,0.2582138795238207,1.9,10,13,0.769,c262,0.0014561014382336,94.31,0.0841150912283766,0.613,0.1359531134257377,0.2582138795238207,0.1480915227119584
BBOB_F17,10,2,0.0244220835244481,9,17,3,4,nsga2,0.0206141256299147,moead,0.0339335599190253,1.65,6,13,0.462,b4,0.0169204487831311,1.44,0.0254490545952854,1.042,0.0206141256299147,0.0339335599190253,0.0213354281482618
BBOB_F22,10,2,0.3007149536569143,13,17,3,4,smsemoa,0.1591300073706684,moead,0.8116115946394648,5.1,10,13,0.769,c141,0.0343287612981191,8.76,0.2305008671934578,0.767,0.2676864895703527,0.8116115946394648,0.1591300073706684
BBOB_F37,10,2,0.3268568768897895,14,17,3,4,smsemoa,0.2539185871646663,moead,0.4524787718089781,1.78,11,13,0.846,c141,0.1024378970815427,3.19,0.1979404534507514,0.606,0.2762060842222105,0.4524787718089781,0.2539185871646663
BBOB_F49,10,2,0.306760266506344,12,17,3,4,nsga2,0.2070601036537373,moead,0.4078188625287026,1.97,9,13,0.692,c141,0.0808517926800655,3.79,0.2726553045552879,0.889,0.2070601036537373,0.4078188625287026,0.2961792032016101
BBOB_F5,10,2,0.1907181227803057,13,17,2,4,smsemoa,0.1192824482234564,moead,0.2558106684608193,2.14,11,13,0.846,c262,0.0048277052418038,39.5,0.090364871542885,0.474,0.1985265406103037,0.2558106684608193,0.1192824482234564
BBOB_F55,10,2,0.6739948007650018,13,16,2,4,nsga2,0.6061479210199184,moead,0.8084348763217353,1.33,11,12,0.917,c141,0.0131182527468183,51.38,0.1172860177005082,0.174,0.6061479210199184,0.8084348763217353,0.7289744263759702
DTLZ1,7,3,54.579569419243406,2,17,2,4,nsga2,45.34570273153767,smsemoa,63.71341357744688,1.41,0,13,0.0,c122,54.67301493709471,1.0,79.38235156797764,1.454,45.34570273153767,55.243198478786475,63.71341357744688
DTLZ2,12,3,0.2436941785807205,13,16,3,4,smsemoa,0.1700820491933293,moead,0.3518633395536835,2.07,10,12,0.833,c262,0.0306550164345873,7.95,0.1869603260520184,0.767,0.2314965985503017,0.3518633395536835,0.1700820491933293
DTLZ3,12,3,236.36467091755844,9,16,3,4,smsemoa,129.76799112603217,nsga2,305.6544879630138,2.36,6,12,0.5,c122,187.57772767667743,1.26,299.9544918120799,1.269,305.6544879630138,210.1594222538854,129.76799112603217
DTLZ4,12,3,0.2823977915542932,5,15,1,4,nsga3,0.2823977915542932,nsga2,0.3480468423174555,1.23,4,11,0.364,c122,0.116479171704431,2.42,0.2136371876194944,0.757,0.3480468423174555,0.3237102553205356,0.3321667090240134
DTLZ7,22,3,1.1247085866087754,10,15,1,4,nsga3,1.1247085866087754,smsemoa,1.8809617636365812,1.67,9,11,0.818,c141,0.0348965794170276,32.23,0.6977032729539132,0.62,1.4252844080178932,1.4282933892698586,1.8809617636365812
MMF1,2,2,0.0570132770384747,10,17,1,4,nsga3,0.0570132770384747,smsemoa,0.0714342048541285,1.25,9,13,0.692,e81,0.0368606366708409,1.55,0.0666859982269712,1.17,0.0628119931405187,0.0685634160408346,0.0714342048541285
MMF11_L,2,2,0.0231565498976292,7,17,1,4,nsga3,0.0231565498976292,moead,0.0436194300069967,1.88,6,13,0.462,c238,0.0119608514985232,1.94,0.0260538715864112,1.125,0.0317573340494481,0.0436194300069967,0.0414543997958267
MMF16_20,20,3,0.0316883226836744,8,15,2,4,smsemoa,0.0316158421272363,moead,0.0600143363541736,1.9,6,11,0.545,c238,0.0189070252046334,1.68,0.0402721736350217,1.271,0.0406997603316842,0.0600143363541736,0.0316158421272363
MMF4,2,2,0.0377119334276083,11,17,1,4,nsga3,0.0377119334276083,smsemoa,0.0470914389681702,1.25,10,13,0.769,c262,0.021017978540486,1.79,0.0311249824934595,0.825,0.0403771229938478,0.0418755247904921,0.0470914389681702
WFG1,22,2,0.5074461679688114,5,14,3,4,smsemoa,0.4953917959793528,moead,0.7104681491693458,1.43,2,10,0.2,b4,0.4903966551100259,1.03,0.5217684614749941,1.028,0.4981943696243536,0.7104681491693458,0.4953917959793528
WFG2,22,2,0.1232873263708593,4,16,2,4,nsga2,0.1227556938180429,moead,0.223741203048006,1.82,2,12,0.167,c262,0.0565254541946007,2.18,0.2085026837797858,1.691,0.1227556938180429,0.223741203048006,0.1422987289749966
WFG4,22,2,0.0717614461687339,5,16,3,4,smsemoa,0.044424346453198,moead,0.1090501547977985,2.45,2,12,0.167,b4,0.0651114772864435,1.1,0.0848970520512503,1.183,0.061710428820897,0.1090501547977985,0.044424346453198
WFG5,22,2,0.1126334304175281,12,16,3,4,nsga2,0.0930752077028518,moead,0.1873782241759709,2.01,9,12,0.75,c238,0.0301642307265236,3.73,0.1368461751806692,1.215,0.0930752077028518,0.1873782241759709,0.0941577883048372
WFG9,22,2,0.0955346891283579,5,16,1,4,nsga3,0.0955346891283579,moead,0.1497323119704348,1.57,4,12,0.333,c141,0.0750818925426917,1.27,0.1345494028141959,1.408,0.0999413549159468,0.1497323119704348,0.1113875374533136
ZDT1,30,2,0.956168340282256,14,16,3,4,nsga2,0.4440783896843883,moead,1.686875225032134,3.8,11,12,0.917,c262,0.000702785674901,1360.54,0.3972630146418627,0.415,0.4440783896843883,1.686875225032134,0.700594322143167
ZDT3,30,2,0.4121286025925313,12,15,3,4,nsga2,0.3442625865872861,moead,1.0249933278408947,2.98,9,11,0.818,b1,0.0126933727450429,32.47,0.3562110022142805,0.864,0.3442625865872861,1.0249933278408947,0.3504989313662802
ZDT4,10,2,46.24627157931003,6,17,2,4,nsga2,43.898268794314845,moead,65.17103599448568,1.48,4,13,0.308,c262,5.928104893929911,7.8,55.444167231813715,1.199,43.898268794314845,65.17103599448568,47.101878260869746
ZDT6,10,2,6.662399706796948,14,16,3,4,nsga2,6.445675963031797,moead,7.605188993963688,1.18,11,12,0.917,c262,0.0024453730300986,2724.49,4.277823731996254,0.642,6.445675963031797,7.605188993963688,6.605030137633778
