prob,M,ngen,nf1_ini,nf1_fim,nf1_med,frac_conv,ideal_eq_fbest,viol_ideal,viol_ideal_pct,nadir_eq,nadir_ge_ideal
BBOB_F1,2,11,7,18,10.181818181818182,0.0,True,0,0.0,False,True
BBOB_F17,2,11,6,13,6.818181818181818,0.0,True,0,0.0,False,True
BBOB_F22,2,11,5,8,6.909090909090909,0.0,True,0,0.0,False,True
BBOB_F37,2,11,5,6,7.545454545454546,0.0,True,0,0.0,False,True
BBOB_F49,2,11,5,17,11.181818181818182,0.0,True,0,0.0,False,True
BBOB_F5,2,11,7,14,9.272727272727273,0.0,True,0,0.0,False,True
BBOB_F55,2,11,4,10,6.545454545454546,0.0,True,0,0.0,False,True
DTLZ1,3,11,15,15,14.818181818181818,0.8181818181818182,True,1,3.33,True,True
DTLZ2,3,18,15,15,15.0,1.0,True,1,1.96,True,True
DTLZ3,3,18,15,15,13.0,0.4444444444444444,True,0,0.0,False,True
DTLZ4,3,18,15,15,14.833333333333334,0.8888888888888888,True,0,0.0,True,True
DTLZ7,3,33,15,15,13.272727272727273,0.5151515151515151,True,0,0.0,False,True
MMF1,2,3,7,13,10.666666666666666,0.0,True,0,0.0,False,True
MMF11_L,2,3,9,12,10.666666666666666,0.0,True,0,0.0,False,True
MMF16_20,3,30,15,15,14.966666666666667,0.9666666666666667,True,0,0.0,True,True
MMF4,2,3,9,19,14.333333333333334,0.0,True,0,0.0,False,True
WFG1,2,23,18,20,19.91304347826087,0.9565217391304348,True,0,0.0,False,True
WFG2,2,23,8,20,12.565217391304348,0.13043478260869565,True,0,0.0,False,True
WFG4,2,23,20,20,20.0,1.0,True,0,0.0,True,True
WFG5,2,23,20,20,20.0,1.0,True,0,0.0,True,True
WFG9,2,23,15,20,18.91304347826087,0.6086956521739131,True,0,0.0,False,True
ZDT1,2,31,14,14,11.161290322580646,0.0,True,0,0.0,False,True
ZDT3,2,31,12,19,14.709677419354838,0.0,True,0,0.0,False,True
ZDT4,2,11,8,7,5.2727272727272725,0.0,True,0,0.0,False,True
ZDT6,2,11,7,9,7.0,0.0,True,0,0.0,False,True
