alg,problema,semente,delta,vitoria,piso
Prob-MOEA/D,BBOB_F1,20,-0.89767137916856,False,moead_media
Prob-MOEA/D,BBOB_F1,27,0.7128744280135038,True,moead_media
Prob-MOEA/D,BBOB_F1,9,-0.4338989885899416,False,moead_media
Prob-MOEA/D,BBOB_F1,0,0.731069016065695,True,moead_media
Prob-MOEA/D,BBOB_F1,11,-0.8430291034480256,False,moead_media
Prob-MOEA/D,BBOB_F1,7,-0.5748062904596928,False,moead_media
Prob-MOEA/D,BBOB_F1,16,-0.7060469674481221,False,moead_media
Prob-MOEA/D,BBOB_F1,42,-0.5250112121570446,False,moead_media
Prob-MOEA/D,BBOB_F1,6,-0.7926320446498002,False,moead_media
Prob-MOEA/D,BBOB_F1,28,-0.5395948840949543,False,moead_media
Prob-MOEA/D,BBOB_F1,17,-0.4563402562000582,False,moead_media
Prob-MOEA/D,BBOB_F1,1,-0.7937277509099996,False,moead_media
Prob-MOEA/D,BBOB_F1,10,-0.08982112436914248,False,moead_media
Prob-MOEA/D,BBOB_F1,19,-0.537393014173067,False,moead_media
Prob-MOEA/D,BBOB_F1,8,-1.0968991310253118,False,moead_media
Prob-MOEA/D,BBOB_F1,21,-0.39223003230118747,False,moead_media
Prob-MOEA/D,BBOB_F1,24,-1.0163020181375269,False,moead_media
Prob-MOEA/D,BBOB_F1,23,-0.28795399943832206,False,moead_media
Prob-MOEA/D,BBOB_F1,4,-0.05936356490230573,False,moead_media
Prob-MOEA/D,BBOB_F1,15,-1.6889179897284265,False,moead_media
Prob-MOEA/D,BBOB_F1,3,-0.12032894979153197,False,moead_media
Prob-MOEA/D,BBOB_F1,12,-0.2623823040632804,False,moead_media
Prob-MOEA/D,BBOB_F1,2,-0.637795511331447,False,moead_media
Prob-MOEA/D,BBOB_F1,13,-1.6737480276824428,False,moead_media
Prob-MOEA/D,BBOB_F1,5,-1.2439331526703208,False,moead_media
Prob-MOEA/D,BBOB_F1,14,-0.32616985437623053,False,moead_media
Prob-MOEA/D,BBOB_F1,22,-0.36583910689661914,False,moead_media
Prob-MOEA/D,BBOB_F1,25,-0.19764988974690073,False,moead_media
Prob-MOEA/D,BBOB_F17,20,0.5636446402730462,True,moead_media
Prob-MOEA/D,BBOB_F17,27,-0.0014080901749664988,False,moead_media
Prob-MOEA/D,BBOB_F17,9,0.5458239541939033,True,moead_media
Prob-MOEA/D,BBOB_F17,0,0.10223286730802598,True,moead_media
Prob-MOEA/D,BBOB_F17,11,-0.048878281172128175,False,moead_media
Prob-MOEA/D,BBOB_F17,7,-0.031981937113814154,False,moead_media
Prob-MOEA/D,BBOB_F17,16,0.031807615100389756,True,moead_media
Prob-MOEA/D,BBOB_F17,42,0.13128622032181572,True,moead_media
Prob-MOEA/D,BBOB_F17,6,-1.398273435999474,False,moead_media
Prob-MOEA/D,BBOB_F17,28,0.7525000120810903,True,moead_media
Prob-MOEA/D,BBOB_F17,17,0.20945703276038252,True,moead_media
Prob-MOEA/D,BBOB_F17,1,-0.3641601752865675,False,moead_media
Prob-MOEA/D,BBOB_F17,10,-6.4360097095058535,False,moead_media
Prob-MOEA/D,BBOB_F17,19,-0.0007204188790214099,False,moead_media
Prob-MOEA/D,BBOB_F17,8,0.2583108496815834,True,moead_media
Prob-MOEA/D,BBOB_F17,21,0.013465800367919462,True,moead_media
Prob-MOEA/D,BBOB_F17,24,0.3373476016220819,True,moead_media
Prob-MOEA/D,BBOB_F17,23,0.5864539680007907,True,moead_media
Prob-MOEA/D,BBOB_F17,4,-1.8650271867383788,False,moead_media
Prob-MOEA/D,BBOB_F17,15,0.2376998625807627,True,moead_media
Prob-MOEA/D,BBOB_F17,3,-0.0859189184132704,False,moead_media
Prob-MOEA/D,BBOB_F17,12,0.003220331328964273,True,moead_media
Prob-MOEA/D,BBOB_F17,2,0.004210454599865352,True,moead_media
Prob-MOEA/D,BBOB_F17,13,-0.24760216268640678,False,moead_media
Prob-MOEA/D,BBOB_F17,5,0.0393116941136869,True,moead_media
Prob-MOEA/D,BBOB_F17,14,-0.01549603095391527,False,moead_media
Prob-MOEA/D,BBOB_F17,22,-0.20855023144221543,False,moead_media
Prob-MOEA/D,BBOB_F17,25,0.0005001467129217544,True,moead_media
Prob-MOEA/D,BBOB_F22,20,0.018051134982627056,True,moead_media
Prob-MOEA/D,BBOB_F22,27,0.679636142457952,True,moead_media
Prob-MOEA/D,BBOB_F22,9,-0.024584251922558364,False,moead_media
Prob-MOEA/D,BBOB_F22,0,-0.03490520078069109,False,moead_media
Prob-MOEA/D,BBOB_F22,11,-0.02199690338865427,False,moead_media
Prob-MOEA/D,BBOB_F22,7,-0.008271328591183534,False,moead_media
Prob-MOEA/D,BBOB_F22,16,0.3549434308525595,True,moead_media
Prob-MOEA/D,BBOB_F22,42,-0.07228775955521714,False,moead_media
Prob-MOEA/D,BBOB_F22,6,-0.037927061031056385,False,moead_media
Prob-MOEA/D,BBOB_F22,28,-2.73027597835249,False,moead_media
Prob-MOEA/D,BBOB_F22,17,0.0818127469638674,True,moead_media
Prob-MOEA/D,BBOB_F22,1,-0.0018667429495920192,False,moead_media
Prob-MOEA/D,BBOB_F22,10,0.5706926830571954,True,moead_media
Prob-MOEA/D,BBOB_F22,19,0.010198125725611858,True,moead_media
Prob-MOEA/D,BBOB_F22,8,-0.05288149774812717,False,moead_media
Prob-MOEA/D,BBOB_F22,21,0.06804877886699537,True,moead_media
Prob-MOEA/D,BBOB_F22,24,-0.016518036773406825,False,moead_media
Prob-MOEA/D,BBOB_F22,23,0.022645510298636425,True,moead_media
Prob-MOEA/D,BBOB_F22,4,-0.023635318563271005,False,moead_media
Prob-MOEA/D,BBOB_F22,15,-0.026895055406705264,False,moead_media
Prob-MOEA/D,BBOB_F22,3,0.14731447913763177,True,moead_media
Prob-MOEA/D,BBOB_F22,12,0.012277070261937709,True,moead_media
Prob-MOEA/D,BBOB_F22,2,0.07960595313758481,True,moead_media
Prob-MOEA/D,BBOB_F22,13,-0.29509780796531077,False,moead_media
Prob-MOEA/D,BBOB_F22,5,-0.021480327349664454,False,moead_media
Prob-MOEA/D,BBOB_F22,14,0.0024968510875442887,True,moead_media
Prob-MOEA/D,BBOB_F22,22,-0.049736851464083534,False,moead_media
Prob-MOEA/D,BBOB_F22,25,-0.06455700841343902,False,moead_media
Prob-MOEA/D,BBOB_F37,20,-0.00022977313478311247,False,moead_media
Prob-MOEA/D,BBOB_F37,27,0.34660106043825023,True,moead_media
Prob-MOEA/D,BBOB_F37,9,-0.0013422799703503763,False,moead_media
Prob-MOEA/D,BBOB_F37,0,0.33717799976622903,True,moead_media
Prob-MOEA/D,BBOB_F37,11,-0.04700793706858396,False,moead_media
Prob-MOEA/D,BBOB_F37,7,-0.05413581174793154,False,moead_media
Prob-MOEA/D,BBOB_F37,16,-0.2652451098269305,False,moead_media
Prob-MOEA/D,BBOB_F37,42,0.5949551608355502,True,moead_media
Prob-MOEA/D,BBOB_F37,6,-0.4444380412355162,False,moead_media
Prob-MOEA/D,BBOB_F37,28,-0.1931670423280502,False,moead_media
Prob-MOEA/D,BBOB_F37,17,-0.06261664420397874,False,moead_media
Prob-MOEA/D,BBOB_F37,1,0.32241414639173055,True,moead_media
Prob-MOEA/D,BBOB_F37,10,0.0354490758574605,True,moead_media
Prob-MOEA/D,BBOB_F37,19,-0.05878413118384514,False,moead_media
Prob-MOEA/D,BBOB_F37,8,-0.09463308256854042,False,moead_media
Prob-MOEA/D,BBOB_F37,21,-0.07743366838385958,False,moead_media
Prob-MOEA/D,BBOB_F37,24,0.3383779442829377,True,moead_media
Prob-MOEA/D,BBOB_F37,23,0.19276285396161244,True,moead_media
Prob-MOEA/D,BBOB_F37,4,-0.20058882856818075,False,moead_media
Prob-MOEA/D,BBOB_F37,15,0.2960224212246207,True,moead_media
Prob-MOEA/D,BBOB_F37,3,-0.028404263925560738,False,moead_media
Prob-MOEA/D,BBOB_F37,12,-0.0015322934984492193,False,moead_media
Prob-MOEA/D,BBOB_F37,2,0.012966116268602843,True,moead_media
Prob-MOEA/D,BBOB_F37,13,-1.1141764781087806,False,moead_media
Prob-MOEA/D,BBOB_F37,5,-0.03468648079883442,False,moead_media
Prob-MOEA/D,BBOB_F37,14,-0.132580900703194,False,moead_media
Prob-MOEA/D,BBOB_F37,22,0.028386649627865666,True,moead_media
Prob-MOEA/D,BBOB_F37,25,-0.0090973797153131,False,moead_media
Prob-MOEA/D,BBOB_F49,20,0.2239362735427798,True,moead_media
Prob-MOEA/D,BBOB_F49,27,0.1483061061741996,True,moead_media
Prob-MOEA/D,BBOB_F49,9,-0.003105659775630849,False,moead_media
Prob-MOEA/D,BBOB_F49,0,0.5471103458016031,True,moead_media
Prob-MOEA/D,BBOB_F49,11,0.1682336241173963,True,moead_media
Prob-MOEA/D,BBOB_F49,7,0.3703496494740979,True,moead_media
Prob-MOEA/D,BBOB_F49,16,-0.14115228706883598,False,moead_media
Prob-MOEA/D,BBOB_F49,42,0.0823113969306424,True,moead_media
Prob-MOEA/D,BBOB_F49,6,-0.11344260967797484,False,moead_media
Prob-MOEA/D,BBOB_F49,28,0.2615132176361372,True,moead_media
Prob-MOEA/D,BBOB_F49,17,0.3062168867065019,True,moead_media
Prob-MOEA/D,BBOB_F49,1,-0.10020982942331444,False,moead_media
Prob-MOEA/D,BBOB_F49,10,0.34893976842916485,True,moead_media
Prob-MOEA/D,BBOB_F49,19,0.550584928130199,True,moead_media
Prob-MOEA/D,BBOB_F49,8,0.30984342958267136,True,moead_media
Prob-MOEA/D,BBOB_F49,21,0.7054671607270536,True,moead_media
Prob-MOEA/D,BBOB_F49,24,-0.049086155459187944,False,moead_media
Prob-MOEA/D,BBOB_F49,23,-1.611088823691026,False,moead_media
Prob-MOEA/D,BBOB_F49,4,-0.22427950198407087,False,moead_media
Prob-MOEA/D,BBOB_F49,15,-0.29162468783693823,False,moead_media
Prob-MOEA/D,BBOB_F49,3,0.07752129967902804,True,moead_media
Prob-MOEA/D,BBOB_F49,12,0.37016059153715486,True,moead_media
Prob-MOEA/D,BBOB_F49,2,0.09281670941703876,True,moead_media
Prob-MOEA/D,BBOB_F49,13,-0.3469208963757079,False,moead_media
Prob-MOEA/D,BBOB_F49,5,0.2813588030515521,True,moead_media
Prob-MOEA/D,BBOB_F49,14,0.6501937858411059,True,moead_media
Prob-MOEA/D,BBOB_F49,22,-0.021260279610992448,False,moead_media
Prob-MOEA/D,BBOB_F5,20,-0.20862346704107065,False,moead_media
Prob-MOEA/D,BBOB_F5,27,0.43181399605514864,True,moead_media
Prob-MOEA/D,BBOB_F5,9,-0.19973206230248186,False,moead_media
Prob-MOEA/D,BBOB_F5,0,-0.13674304567491455,False,moead_media
Prob-MOEA/D,BBOB_F5,11,-0.1665248518399341,False,moead_media
Prob-MOEA/D,BBOB_F5,7,-0.10385312376929207,False,moead_media
Prob-MOEA/D,BBOB_F5,16,-0.6098627737055268,False,moead_media
Prob-MOEA/D,BBOB_F5,42,-0.1360048218882491,False,moead_media
Prob-MOEA/D,BBOB_F5,6,-0.17932386654112084,False,moead_media
Prob-MOEA/D,BBOB_F5,28,-0.22713251179929375,False,moead_media
Prob-MOEA/D,BBOB_F5,17,-0.2759529922018789,False,moead_media
Prob-MOEA/D,BBOB_F5,1,-0.18380002232446271,False,moead_media
Prob-MOEA/D,BBOB_F5,10,-0.0512119943081234,False,moead_media
Prob-MOEA/D,BBOB_F5,19,-0.03680819009430451,False,moead_media
Prob-MOEA/D,BBOB_F5,8,-0.11881833280880032,False,moead_media
Prob-MOEA/D,BBOB_F5,21,-0.2520108029917671,False,moead_media
Prob-MOEA/D,BBOB_F5,24,-0.20500633923160938,False,moead_media
Prob-MOEA/D,BBOB_F5,23,-0.1792208343118875,False,moead_media
Prob-MOEA/D,BBOB_F5,4,-0.11129849476255717,False,moead_media
