escada,metrica,classe,n_alg,degrau_de_falha,delta_A1 (sanidade),delta_A2,delta_A3,delta_A chefe,delta_B1,delta_B2,delta_B3,delta_B chefe,delta_C1,delta_C2,delta_C3,delta_C chefe,delta_1 (parcial),delta_2,delta_3,delta_chefe,delta_E1,delta_E chefe,delta_F1,delta_F2,delta_F3,delta_1,delta_C4,delta_D1,delta_D2,delta_D3,delta_1 (sanidade),delta_4,delta_5
(1) multimodalidade — trilha A,igd_plus,OV · aquisição exploratória,5,nunca falha,0.028647883447588396,0.28349812807554287,0.26300814327548083,0.02090552486058811,,,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha A,igd_plus,AV · penalização de risco,1,nunca falha,0.036861291807288296,0.13147442282471064,0.1535137533048866,0.20993526034811555,,,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha A,igd_plus,OM · aprendizado ativo,3,desde o 1º,-0.04141256173395775,0.3090061547205186,0.24061240709363585,-0.005514973017761776,,,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha A,igd_plus,AM · gestão de confiança,2,A2,0.07327652084471442,-0.008449246185794321,-0.2331975519759918,0.14172778833265443,,,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha A,igd_plus,OL · ganho de informação,1,A3,-0.013961564242642876,0.25338328760660955,-0.9593560961670481,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha A,igd_plus,AR · dominância probabilística,1,desde o 1º,-0.2017281874341173,0.23907040272416008,0.5370147696328845,0.46667725464600907,,,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha B,igd_plus,OV · aquisição exploratória,5,desde o 1º,,,,,-0.4042392051262851,-0.45366806033306084,-0.29017283229022783,-0.7477938817949147,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha B,igd_plus,AV · penalização de risco,1,B2,,,,,0.2846207143959252,-0.078550130535532,0.07815650798498605,-0.06685882293805584,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha B,igd_plus,OM · aprendizado ativo,3,desde o 1º,,,,,-0.19888945288767232,-0.6655028445245241,-0.9059492536143361,-0.4609530561019215,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha B,igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,-0.3768029232881072,-0.11831503129650786,-0.14958933739074848,-0.21881788919085934,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha B,igd_plus,OL · ganho de informação,1,desde o 1º,,,,,-0.9503121703986835,-1.0369541072928223,,,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha B,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,0.6125338165909726,0.06754959528638407,0.022854820005088084,0.3741558060561174,,,,,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha C,igd_plus,OV · aquisição exploratória,5,desde o 1º,,,,,,,,,-0.6951627530825579,0.20575020499193863,-0.5247884549811772,0.42537459463946065,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha C,igd_plus,AV · penalização de risco,1,nunca falha,,,,,,,,,0.12856391685986995,0.6293885825714406,0.6140044173303044,0.5719301142766944,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha C,igd_plus,OM · aprendizado ativo,3,nunca falha,,,,,,,,,-0.04391650032652045,0.4078234887930339,0.4699151770102706,0.36847761045412053,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha C,igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,-0.20401186248587894,-0.16843311060484142,-0.010480865588928507,-0.12488674184143404,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha C,igd_plus,OL · ganho de informação,1,desde o 1º,,,,,,,,,-0.19962507242455219,0.24748358056650266,0.2834808191189214,0.4080742451779613,,,,,,,,,,,,,,,,,
(1) multimodalidade — trilha C,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,0.7320126734906702,0.6515414414472065,0.6533191571973471,0.6256585532074437,,,,,,,,,,,,,,,,,
(2) não separabilidade,igd_plus,OV · aquisição exploratória,5,3,,,,,,,,,,,,,0.1268985476897045,0.5844991108642386,-0.008535582912535727,-0.39890501766957714,,,,,,,,,,,,,
(2) não separabilidade,igd_plus,AV · penalização de risco,1,nunca falha,,,,,,,,,,,,,0.5430633815124005,0.9119486566600435,0.5929672658034995,0.09395950447007748,,,,,,,,,,,,,
(2) não separabilidade,igd_plus,OM · aprendizado ativo,3,nunca falha,,,,,,,,,,,,,0.3867815083220957,0.7804084828261969,0.3544000209599658,0.11395127969127164,,,,,,,,,,,,,
(2) não separabilidade,igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,,,,,-0.1813311743942826,-0.07870166526933765,-0.14665992622313773,-0.13639933919704178,,,,,,,,,,,,,
(2) não separabilidade,igd_plus,OL · ganho de informação,1,nunca falha,,,,,,,,,,,,,0.09320034535517946,0.3477912908292988,0.2834808191189214,,,,,,,,,,,,,,
(2) não separabilidade,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,,,,,0.7594594557384902,0.9294766179181408,0.6385999973273251,0.5544183510090666,,,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha enganosidade,igd_plus,OV · aquisição exploratória,5,E chefe,,,,,,,,,,,,,,,,,0.5875734171074515,-0.39890501766957714,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha enganosidade,igd_plus,AV · penalização de risco,1,nunca falha,,,,,,,,,,,,,,,,,0.5571035537103335,0.09395950447007748,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha enganosidade,igd_plus,OM · aprendizado ativo,3,nunca falha,,,,,,,,,,,,,,,,,0.4360549229025056,0.11395127969127164,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha enganosidade,igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,,,,,,,,,-0.1632916120739944,-0.13639933919704178,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha enganosidade,igd_plus,OL · ganho de informação,1,sem dado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha enganosidade,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,,,,,,,,,0.6011184841197775,0.5544183510090666,,,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha falso ótimo,igd_plus,OV · aquisição exploratória,5,nunca falha,,,,,,,,,,,,,,,,,,,0.26300814327548083,-0.04970693017085828,0.02090552486058811,,,,,,,,
(3) enganosidade / falsos ótimos — trilha falso ótimo,igd_plus,AV · penalização de risco,1,nunca falha,,,,,,,,,,,,,,,,,,,0.1535137533048866,0.5929672658034995,0.20993526034811555,,,,,,,,
(3) enganosidade / falsos ótimos — trilha falso ótimo,igd_plus,OM · aprendizado ativo,3,nunca falha,,,,,,,,,,,,,,,,,,,0.24061240709363585,0.4191963937321955,-0.005514973017761776,,,,,,,,
(3) enganosidade / falsos ótimos — trilha falso ótimo,igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,,,,,,,,,,,-0.2331975519759918,-0.06768380371518128,0.14172778833265443,,,,,,,,
(3) enganosidade / falsos ótimos — trilha falso ótimo,igd_plus,OL · ganho de informação,1,desde o 1º,,,,,,,,,,,,,,,,,,,-0.9593560961670481,0.34577753214844137,,,,,,,,,
(3) enganosidade / falsos ótimos — trilha falso ótimo,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,,,,,,,,,,,0.5370147696328845,0.6394888552023954,0.46667725464600907,,,,,,,,
(4) regiões planas,hv,OV · aquisição exploratória,5,desde o 1º,,,,,,,,,,,,,,,,-0.09978306722970151,,,,,,-0.7437351978541822,,,,,,,
(4) regiões planas,hv,AV · penalização de risco,1,desde o 1º,,,,,,,,,,,,,,,,-0.03768065764184386,,,,,,-0.13851402946458546,,,,,,,
(4) regiões planas,hv,OM · aprendizado ativo,3,desde o 1º,,,,,,,,,,,,,,,,-0.049241450653033696,,,,,,-0.11191784442467426,,,,,,,
(4) regiões planas,hv,AM · gestão de confiança,2,desde o 1º,,,,,,,,,,,,,,,,0.00018403643633718703,,,,,,-0.0483528201782312,,,,,,,
(4) regiões planas,hv,OL · ganho de informação,1,sem dado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4) regiões planas,hv,AR · dominância probabilística,1,desde o 1º,,,,,,,,,,,,,,,,0.04068726639527942,,,,,,-1.0,,,,,,,
(5) heterocedasticidade / densidade irregular,igd_plus,OV · aquisição exploratória,5,2,,,,,,,,,,,,,,-1.9709647011205895,0.5844991108642386,,,,,,,0.9622459218508463,,,,,,,
(5) heterocedasticidade / densidade irregular,igd_plus,AV · penalização de risco,1,2,,,,,,,,,,,,,,-0.12207008311894335,0.9119486566600435,,,,,,,0.9834243054341696,,,,,,,
(5) heterocedasticidade / densidade irregular,igd_plus,OM · aprendizado ativo,3,2,,,,,,,,,,,,,,-0.03758636300733177,0.7804084828261969,,,,,,,0.8107071203827436,,,,,,,
(5) heterocedasticidade / densidade irregular,igd_plus,AM · gestão de confiança,2,2,,,,,,,,,,,,,,-0.21292207652628048,-0.07870166526933765,,,,,,,0.009174543524520403,,,,,,,
(5) heterocedasticidade / densidade irregular,igd_plus,OL · ganho de informação,1,nunca falha,,,,,,,,,,,,,,,0.3477912908292988,,,,,,,,,,,,,,
(5) heterocedasticidade / densidade irregular,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,,,,,,0.6724749812449935,0.9294766179181408,,,,,,,0.9033024227192427,,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha côncava",igd_plus,OV · aquisição exploratória,5,C4,,,,,,,,,0.28349812807554287,0.4363962190894579,-0.11412498473800098,,,,,,,,,,,,-0.29017283229022783,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha côncava",igd_plus,AV · penalização de risco,1,nunca falha,,,,,,,,,0.13147442282471064,0.8485587324174491,0.4306771111576131,,,,,,,,,,,,0.07815650798498605,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha côncava",igd_plus,OM · aprendizado ativo,3,C4,,,,,,,,,0.3090061547205186,0.3080415838322815,0.3141657415891588,,,,,,,,,,,,-0.9059492536143361,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha côncava",igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,-0.008449246185794321,0.041175547777440286,-0.10187376650088004,,,,,,,,,,,,-0.14958933739074848,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha côncava",igd_plus,OL · ganho de informação,1,nunca falha,,,,,,,,,0.25338328760660955,,,,,,,,,,,,,,,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha côncava",igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,0.23907040272416008,0.6657859341824699,0.7878887019821181,,,,,,,,,,,,0.022854820005088084,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha desconexa",igd_plus,OV · aquisição exploratória,5,D3,,,,,,,,,,,,,,,,,,,,,,,,0.584448918734593,0.6909785135941934,-0.2228213708170101,,,
"(6) geometria do front (côncavo, desconexo) — trilha desconexa",igd_plus,AV · penalização de risco,1,D3,,,,,,,,,,,,,,,,,,,,,,,,0.5568320560960698,0.9407335176760455,-0.48442100700929114,,,
"(6) geometria do front (côncavo, desconexo) — trilha desconexa",igd_plus,OM · aprendizado ativo,3,D3,,,,,,,,,,,,,,,,,,,,,,,,0.16113327326296428,0.8642406810444159,-0.4041497254404849,,,
"(6) geometria do front (côncavo, desconexo) — trilha desconexa",igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,,,,,,,,,,,,,,,,-0.08951826233812372,-0.13747962697034072,-0.22621862622661115,,,
"(6) geometria do front (côncavo, desconexo) — trilha desconexa",igd_plus,OL · ganho de informação,1,sem dado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(6) geometria do front (côncavo, desconexo) — trilha desconexa",igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,,,,,,,,,,,,,,,,0.9626944305335932,0.9644782622912567,0.1237106745298923,,,
(7) BBOB,igd_plus,OV · aquisição exploratória,5,3,,,,,,,,,,,,,,0.8881067981346673,-0.055331821109159685,0.42537459463946065,,,,,,,,,,,0.8360211202022081,0.20575020499193863,-0.5247884549811772
(7) BBOB,igd_plus,AV · penalização de risco,1,nunca falha,,,,,,,,,,,,,,0.957562846164931,0.5202562867599567,0.5719301142766944,,,,,,,,,,,0.9700618405271699,0.6293885825714406,0.6140044173303044
(7) BBOB,igd_plus,OM · aprendizado ativo,3,nunca falha,,,,,,,,,,,,,,0.8912077346966174,0.3227009135286567,0.36847761045412053,,,,,,,,,,,0.8730589512344152,0.4078234887930339,0.4699151770102706
(7) BBOB,igd_plus,AM · gestão de confiança,2,desde o 1º,,,,,,,,,,,,,,-0.15865048630268627,-0.14135676387760832,-0.12488674184143404,,,,,,,,,,,-0.36664326632098304,-0.16843311060484142,-0.010480865588928507
(7) BBOB,igd_plus,OL · ganho de informação,1,nunca falha,,,,,,,,,,,,,,0.3860257631349111,0.07408310920237332,0.4080742451779613,,,,,,,,,,,0.10810069801396874,0.24748358056650266,0.2834808191189214
(7) BBOB,igd_plus,AR · dominância probabilística,1,nunca falha,,,,,,,,,,,,,,0.78690623798631,0.8307446457044055,0.6256585532074437,,,,,,,,,,,0.8655189523271112,0.6515414414472065,0.6533191571973471
