,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO,NSGA-II,MOEA/D,NSGA-III,SMS-EMOA,n_problemas
(1) multimodalidade,10.916666666666666,10.25,8.25,5.083333333333333,9.0,6.75,4.416666666666667,9.166666666666666,10.333333333333334,4.090909090909091,7.333333333333333,11.083333333333334,16.333333333333332,8.416666666666666,11.583333333333334,8.833333333333334,7.75,12
(2) não separabilidade,12.0,11.625,6.5,2.75,9.125,5.25,3.875,9.25,8.75,4.125,6.0,11.625,16.75,8.875,15.25,10.5,8.0,8
(3) enganosidade / falsos ótimos,11.5,10.333333333333334,6.666666666666667,3.6666666666666665,6.666666666666667,5.166666666666667,4.166666666666667,7.5,10.5,3.8,7.666666666666667,10.166666666666666,15.0,9.166666666666666,15.166666666666666,10.333333333333334,8.833333333333334,6
(4) regiões planas,3.0,6.0,9.0,7.0,11.0,5.0,15.0,8.0,10.0,,,14.0,13.0,2.0,12.0,4.0,1.0,1
(5) heterocedasticidade / densidade irregular,12.0,10.666666666666666,6.0,4.0,7.333333333333333,7.333333333333333,2.6666666666666665,5.0,6.666666666666667,5.333333333333333,8.0,11.333333333333334,13.333333333333334,11.0,14.0,10.0,8.666666666666666,3
"(6) geometria do front (côncavo, desconexo)",10.916666666666666,11.333333333333334,6.416666666666667,5.083333333333333,6.083333333333333,6.416666666666667,5.666666666666667,6.090909090909091,9.333333333333334,2.6,5.0,11.083333333333334,13.083333333333334,10.083333333333334,12.75,9.833333333333334,9.166666666666666,12
(7) BBOB,13.714285714285714,13.142857142857142,6.0,1.8571428571428572,8.571428571428571,5.0,3.7142857142857144,7.428571428571429,7.857142857142857,3.5714285714285716,6.571428571428571,10.142857142857142,17.0,10.428571428571429,15.857142857142858,12.285714285714286,9.857142857142858,7
sintéticos (25),10.64,10.8,6.92,4.48,7.52,6.12,4.84,7.708333333333333,9.8,3.619047619047619,7.833333333333333,11.96,14.44,8.8,13.12,9.4,7.92,25
reais (3),13.0,9.0,2.5,2.5,2.0,8.0,7.0,6.0,9.0,2.0,,5.0,16.0,8.0,11.5,9.0,8.5,2
