problema,Prob-MOEA/D,Prob-RVEA,IBEA-MS,MOEA/D-média
ZDT1,0.9918683563431254,0.3305973130479375,0.0056782796659430946,0.20958395402053953
ZDT3,1.2187738849587515,1.0408404350631946,0.007205860774506212,0.7490674964018016
ZDT4,78.77000034789626,61.631705378786464,80.34515149457488,178.75945478801793
ZDT6,6.092042032393666,5.522286433120139,0.41863985983795404,6.420682833124612
DTLZ1,149.86150260669297,136.33595621654834,79.79600952697862,181.04264340350173
DTLZ2,0.08696866754501217,0.14117431660559732,0.07490002627843159,0.3634934798555251
DTLZ3,599.0172056286538,634.2138740728003,250.62449382037167,584.1329784030103
DTLZ4,0.6200141000367192,0.9100551941208885,0.5679694268455832,0.6674735831833872
DTLZ7,1.0643804028736978,0.8786043201609753,0.049659325467515794,0.52541890986142
WFG1,0.5555859009664011,0.5393681094127144,0.5552977533784733,0.6655493109274052
WFG2,0.23980134952008597,0.2693769071946342,0.2291728985746561,0.5541201572477127
WFG4,0.1307300929646404,0.23136128374465517,0.10849547010189771,0.4217586917222989
WFG5,0.31742999429233365,0.3981236002302757,0.09115273838773089,0.24255142373711788
WFG9,0.30467949958499807,0.26530353126326234,0.22713211825795343,0.339060647869741
MMF1,0.10379499233799841,0.06705786314517008,0.050144113112749404,0.13047368621051386
MMF4,0.04959908777858299,0.03522417999747033,0.03381706081918602,0.10119926332086439
MMF11_L,0.039123558166886827,0.031430425436713316,0.0181923442087562,0.020986452728296568
MMF16_20,0.0850688160217534,0.17164653231837315,0.5031745662704686,0.22874686296920027
BBOB_F1,0.09250458878769344,0.08935051607362268,0.005705956421695625,0.062165478736552815
BBOB_F5,0.1575685923593357,0.17112553363778543,0.13041459147434492,0.1408348323751174
BBOB_F17,0.4046492066695769,0.4234929572730172,0.0812494092596665,0.3808884528205632
BBOB_F22,0.6571930579341317,0.6995097838418621,0.4189190552982335,0.6607189499804129
BBOB_F37,0.24521762790546403,0.2664090080596484,0.3372165604705587,0.24256083002820503
BBOB_F49,0.6156294761364571,0.7098756333481705,0.494702219995246,0.7037378180025146
BBOB_F55,0.8608030718537597,0.838851946289254,0.8890064153309211,1.353683509966782
RE21,,0.4781609832958575,0.009145350043463325,0.5994791412186319
ESTOQUE40,,0.08078723005030707,0.22075321333092982,0.06470977052570573
DDMOP7,,,,
