,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO,NSGA-II,MOEA/D,NSGA-III,SMS-EMOA,n_problemas
(1) multimodalidade,10.875,9.958333333333334,8.041666666666666,5.125,8.541666666666666,6.291666666666667,6.125,8.708333333333334,8.958333333333334,5.136363636363637,7.666666666666667,9.541666666666666,14.625,8.791666666666666,12.958333333333334,9.458333333333334,8.958333333333334,12
(2) não separabilidade,12.0,11.625,6.5,3.375,8.875,5.625,4.125,9.75,8.0,4.0,7.5,11.625,16.625,8.375,15.25,10.0,7.375,8
(3) enganosidade / falsos ótimos,11.5,10.833333333333334,6.166666666666667,3.0,6.666666666666667,5.5,4.333333333333333,8.0,10.5,3.4,8.0,10.833333333333334,14.666666666666666,9.0,15.166666666666666,10.5,8.333333333333334,6
(4) regiões planas,3.75,4.75,9.5,9.5,9.5,6.5,8.5,5.0,10.5,4.0,,14.0,14.5,4.25,12.5,3.75,4.0,1
(5) heterocedasticidade / densidade irregular,12.166666666666666,12.166666666666666,6.0,3.6666666666666665,7.666666666666667,9.166666666666666,3.0,4.5,7.5,3.0,8.0,11.833333333333334,14.166666666666666,10.166666666666666,12.166666666666666,9.5,8.5,3
"(6) geometria do front (côncavo, desconexo)",10.833333333333334,11.333333333333334,6.541666666666667,5.041666666666667,5.958333333333333,6.416666666666667,6.208333333333333,5.681818181818182,9.25,2.25,6.0,10.458333333333334,12.833333333333334,10.333333333333334,12.625,9.916666666666666,9.916666666666666,12
(7) BBOB,13.714285714285714,13.0,5.857142857142857,2.4285714285714284,8.285714285714286,5.571428571428571,4.0,8.0,7.0,3.5714285714285716,7.857142857142857,9.714285714285714,17.0,9.857142857142858,15.857142857142858,11.714285714285714,9.571428571428571,7
sintéticos (25),10.52,10.92,6.7,4.62,7.3,6.2,5.78,7.354166666666667,9.24,3.7857142857142856,8.083333333333334,11.14,13.68,9.08,13.38,9.72,8.56,25
reais (3),9.75,6.5,5.666666666666667,5.333333333333333,3.6666666666666665,8.5,5.0,5.0,10.0,3.0,,10.0,15.5,7.5,12.0,6.5,7.333333333333333,2
