n_grupos,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO,n_problemas
0,,0.09156298993963159,0.8938686331324744,0.8601714805355047,0.7739858924505817,,,,,,,,,1
1,-0.029429495721860356,-0.2158308948216594,0.28775846749561823,0.5569678049032016,0.5730560545429512,0.48904262263211506,0.6391598753867213,0.6712040681841634,0.060459179751985406,0.5875734171074515,-0.9936331388457529,-0.837638153524692,-0.8022576835096098,10
2,-0.12304033582508915,-0.1942606367802834,0.23758250730492297,0.13147442282471064,0.26300814327548083,0.448487441578133,0.5370147696328845,0.36364328453572625,-0.02768823149616301,0.4844207548398275,0.10810069801396874,0.05928414949357676,-1.3655774992951208,11
3,-0.16995849735601107,-0.1787710127918548,0.4078234887930339,0.6293885825714406,0.20575020499193863,0.6296169521489327,0.7320126734906702,0.5662820096981693,0.34032243146581104,0.34535289745437714,0.24748358056650266,-0.3970577075401936,-2.9889732501491144,3
4,-0.08387015716240187,-0.051497450267960675,0.21757652128598773,0.5929672658034995,-0.1325714916420236,0.5373517888460132,0.6394888552023954,0.4403208976928645,0.4191963937321955,0.3118724514178073,0.34577753214844137,-0.04970693017085828,-0.9799953657609122,2
