D,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO,NSGA-II,MOEA/D,NSGA-III,SMS-EMOA
2,12.333333333333334,10.0,8.333333333333334,7.333333333333333,6.666666666666667,5.333333333333333,9.333333333333334,8.0,11.0,1.0,7.0,3.6666666666666665,17.0,11.333333333333334,12.333333333333334,9.333333333333334,13.0
4,13.0,14.0,4.0,3.0,1.0,8.0,7.0,6.0,9.0,2.0,,5.0,16.0,11.0,15.0,12.0,10.0
7,5.0,11.0,7.0,12.0,8.0,14.0,2.0,10.0,15.0,9.0,13.0,17.0,16.0,6.0,1.0,4.0,3.0
10,13.555555555555555,12.333333333333334,6.777777777777778,2.111111111111111,8.222222222222221,5.333333333333333,3.5555555555555554,7.888888888888889,8.222222222222221,3.111111111111111,7.5,10.777777777777779,16.0,10.11111111111111,15.11111111111111,11.777777777777779,9.555555555555555
12,9.333333333333334,11.333333333333334,5.333333333333333,5.666666666666667,9.333333333333334,11.0,2.0,6.0,8.333333333333334,6.0,,15.0,15.0,9.0,8.333333333333334,6.666666666666667,4.333333333333333
17,,,,,,,,,,,,,,,,,
20,8.0,3.0,10.0,6.0,1.0,2.0,5.0,4.0,12.0,,,13.0,14.0,9.0,15.0,11.0,7.0
22,8.166666666666666,9.0,6.666666666666667,4.666666666666667,7.666666666666667,5.666666666666667,7.166666666666667,9.666666666666666,11.333333333333334,4.25,,14.5,12.833333333333334,5.333333333333333,13.833333333333334,6.833333333333333,4.5
30,8.5,13.5,7.0,4.0,5.5,3.0,2.5,3.0,9.0,1.0,,14.5,7.0,10.5,15.5,12.5,11.5
40,,4.0,1.0,2.0,3.0,,,,,,,,,5.0,8.0,6.0,7.0
