,CSEA,PC-SAEA,CLMEA,MMRAEA,EIM,K-RVEA,θ-DEA-DP,ParEGO,EDN-ARMOEA,qNEHVI,JES,qPOTS,LBN-MOBO
(1) multimodalidade,0.33597275436355895,0.36944444444444446,0.5793103448275861,0.7166666666666667,0.5288690476190476,0.7611111111111111,0.8542145593869733,0.6172413793103448,0.4707671957671957,0.6063973063973064,0.4957556935817805,0.2611111111111111,0.0
(2) não separabilidade,0.2545338441890166,0.29166666666666663,0.6791666666666667,0.7791666666666667,0.5020026993082406,0.9916666666666667,0.984375,0.8786535303776684,0.6517857142857143,0.7453703703703705,0.8343742811134116,0.3,0.0
(3) enganosidade / falsos ótimos,0.38765432098765434,0.37222222222222223,0.7111111111111111,0.8666666666666666,0.6509057971014492,0.9777777777777779,0.9944444444444445,0.9134920634920635,0.4696428571428571,0.7555555555555555,0.6198067632850243,0.2888888888888889,0.05555555555555555
(4) regiões planas,0.5714285714285714,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,1.0,0.3333333333333333,1.0,0.041666666666666664,,,0.0,0.0
(5) heterocedasticidade / densidade irregular,0.22528735632183908,0.4333333333333333,0.7444444444444445,0.7777777777777777,0.6729323308270677,0.8111111111111112,0.9888888888888889,1.0,0.8333333333333334,0.7530864197530865,0.9444444444444444,0.4444444444444445,0.3333333333333333
"(6) geometria do front (côncavo, desconexo)",0.37318691844553903,0.33710317460317457,0.7709770114942529,0.7666666666666666,0.7813492063492063,0.8055555555555557,0.8826867816091953,0.8043887147335422,0.6746031746031745,0.8314814814814815,0.6863247863247862,0.3527777777777778,0.3263888888888889
(7) BBOB,0.23375296478744753,0.3095238095238095,0.8142857142857143,0.9476190476190476,0.6741314493129374,1.0,1.0,0.980952380952381,0.8877551020408163,0.8201058201058201,0.8140790541411659,0.4857142857142857,0.0
sintéticos (25),0.3455723408137202,0.31466666666666665,0.6607356321839081,0.7426666666666667,0.6264930805274055,0.8546666666666667,0.8970229885057472,0.7737274220032839,0.5488253968253969,0.7215167548500881,0.5915461149156802,0.25866666666666666,0.17
reais (3),0.2857142857142857,0.45965608465608465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0
