alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
ParEGO,BBOB_F1,0.9110237865887654,1.0,30,1.862645149230957e-09
ParEGO,BBOB_F17,0.5662820096981693,0.9666666666666667,30,5.587935447692871e-09
ParEGO,BBOB_F22,0.8788373101565843,1.0,30,1.862645149230957e-09
ParEGO,BBOB_F37,0.4838819435985507,1.0,29,3.725290298461914e-09
ParEGO,BBOB_F49,0.4278522838197464,0.9333333333333333,30,1.30385160446167e-08
ParEGO,BBOB_F5,0.8881067981346673,1.0,30,1.862645149230957e-09
ParEGO,BBOB_F55,0.45278951156598257,0.9666666666666667,30,3.725290298461914e-09
ParEGO,DTLZ1,-0.45366806033306084,0.06896551724137931,29,1.2293457984924316e-07
ParEGO,DTLZ2,0.6568021085114917,1.0,30,1.862645149230957e-09
ParEGO,DTLZ3,-0.29017283229022783,0.13333333333333333,30,9.98377799987793e-07
ParEGO,DTLZ7,0.9671355133977582,1.0,28,7.450580596923828e-09
ParEGO,MMF1,-0.24573494840366827,0.3,30,0.0009517744183540344
ParEGO,MMF11_L,0.3587351897484135,0.8666666666666667,30,9.98377799987793e-07
ParEGO,MMF16_20,0.481634280597852,1.0,28,7.450580596923828e-09
ParEGO,MMF4,0.36855137932303905,0.9666666666666667,30,3.725290298461914e-09
ParEGO,RE21,0.8207272303583496,1.0,30,1.862645149230957e-09
ParEGO,WFG1,0.2742169945685171,1.0,28,7.450580596923828e-09
ParEGO,WFG2,-0.014987182225584391,0.4482758620689655,29,0.07975950092077255
ParEGO,WFG4,-0.04340672486954377,0.13793103448275862,29,6.843358278274536e-05
ParEGO,WFG5,0.6856060278568352,1.0,27,1.4901161193847656e-08
ParEGO,WFG9,0.10597407884708795,0.7142857142857143,28,0.0007921457290649414
ParEGO,ZDT1,0.9852916607042543,1.0,28,7.450580596923828e-09
ParEGO,ZDT3,0.9878230867400215,1.0,28,7.450580596923828e-09
ParEGO,ZDT4,-0.3934326381138803,0.06666666666666667,30,1.991167664527893e-06
ParEGO,ZDT6,0.9622459218508463,1.0,30,1.862645149230957e-09
K-RVEA,BBOB_F1,0.8730589512344152,1.0,30,1.862645149230957e-09
