alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
Prob-MOEA/D,BBOB_F1,-0.5312021131650557,0.07142857142857142,28,4.2110681533813477e-05
Prob-MOEA/D,BBOB_F17,0.0037153929644148124,0.5714285714285714,28,0.5979221016168594
Prob-MOEA/D,BBOB_F22,-0.01239468268229518,0.42857142857142855,28,0.7965622618794441
Prob-MOEA/D,BBOB_F37,-0.01875082182043692,0.35714285714285715,28,0.5979221016168594
Prob-MOEA/D,BBOB_F49,0.1483061061741996,0.6296296296296297,27,0.04355788230895996
Prob-MOEA/D,BBOB_F5,-0.1676876106040928,0.1111111111111111,27,3.0234456062316895e-05
Prob-MOEA/D,BBOB_F55,0.38438433004622014,1.0,27,1.4901161193847656e-08
Prob-MOEA/D,DTLZ1,0.37126197017308776,0.7037037037037037,27,0.3864929676055908
Prob-MOEA/D,DTLZ2,0.2951149261991074,0.6296296296296297,27,0.82233826816082
Prob-MOEA/D,DTLZ3,0.0838094007355793,0.5185185185185185,27,0.6789510101079941
Prob-MOEA/D,DTLZ4,0.15989632662021547,0.5555555555555556,27,0.3361395001411438
Prob-MOEA/D,DTLZ7,-1.4891624054737957,0.1111111111111111,27,2.518296241760254e-06
Prob-MOEA/D,MMF1,0.2633394203739837,0.7407407407407407,27,0.010378450155258179
Prob-MOEA/D,MMF11_L,-0.8985724644833564,0.4074074074074074,27,0.011200115084648132
Prob-MOEA/D,MMF16_20,0.6148549434914764,0.7407407407407407,27,0.16235288977622986
Prob-MOEA/D,MMF4,0.4911507009716251,0.6666666666666666,27,0.03620612621307373
Prob-MOEA/D,WFG1,0.05695384558059078,0.7407407407407407,27,0.06189882755279541
Prob-MOEA/D,WFG2,0.5579917268651461,1.0,27,1.4901161193847656e-08
Prob-MOEA/D,WFG4,0.7294995255457669,1.0,27,1.4901161193847656e-08
Prob-MOEA/D,WFG5,-0.308712146074107,0.07407407407407407,27,4.5746564865112305e-06
Prob-MOEA/D,WFG9,0.13496629633135643,0.5555555555555556,27,0.12253367900848389
Prob-MOEA/D,ZDT1,-3.973821216831823,0.0,27,1.4901161193847656e-08
Prob-MOEA/D,ZDT3,-0.5345266003352501,0.037037037037037035,27,7.450580596923828e-08
Prob-MOEA/D,ZDT4,0.29499656813184066,0.6666666666666666,27,0.1698138564825058
Prob-MOEA/D,ZDT6,-0.35526468226819574,0.4444444444444444,27,0.022940203547477722
Prob-RVEA,BBOB_F1,-0.564203875265687,0.10344827586206896,29,3.628432750701904e-05
Prob-RVEA,BBOB_F17,-0.08037926484788363,0.4827586206896552,29,0.10555979982018471
Prob-RVEA,BBOB_F22,-0.01828525849784466,0.3103448275862069,29,0.16216303035616875
Prob-RVEA,BBOB_F37,-0.1268004625890269,0.2413793103448276,29,0.03453366830945015
Prob-RVEA,BBOB_F49,-0.006880011622129853,0.4482758620689655,29,0.40468135103583336
Prob-RVEA,BBOB_F5,-0.23676625833998607,0.06896551724137931,29,3.982335329055786e-06
Prob-RVEA,BBOB_F55,0.3453717384808438,0.9655172413793104,29,7.450580596923828e-09
Prob-RVEA,DTLZ1,0.3681116934650765,0.6206896551724138,29,0.19012672826647758
Prob-RVEA,DTLZ2,0.5450337992156017,0.6206896551724138,29,0.7655419819056988
Prob-RVEA,DTLZ3,-0.12020363005056436,0.3448275862068966,29,0.07236024364829063
Prob-RVEA,DTLZ4,-0.0869179031981262,0.4827586206896552,29,0.2842625416815281
Prob-RVEA,DTLZ7,-1.1277487594288067,0.1724137931034483,29,1.3809651136398315e-05
Prob-RVEA,ESTOQUE40,-0.2774717252688511,0.23333333333333334,30,0.0005548261106014252
Prob-RVEA,MMF1,0.5720242133561312,0.8620689655172413,29,2.384185791015625e-06
Prob-RVEA,MMF11_L,-0.49855624370315593,0.4482758620689655,29,0.029064036905765533
Prob-RVEA,MMF16_20,-0.0417056143321374,0.4827586206896552,29,0.8147765882313251
Prob-RVEA,MMF4,0.6388640069796822,0.7241379310344828,29,5.336105823516846e-05
Prob-RVEA,RE21,0.16762733114387235,0.6,30,0.06989291124045849
Prob-RVEA,WFG1,0.09353740546241945,0.7586206896551724,29,0.0032424964010715485
Prob-RVEA,WFG2,0.5071051278225162,1.0,29,3.725290298461914e-09
Prob-RVEA,WFG4,0.5084378664325999,0.896551724137931,29,1.6652047634124756e-06
Prob-RVEA,WFG5,-0.7073534340035997,0.034482758620689655,29,2.60770320892334e-08
Prob-RVEA,WFG9,0.27627990194192453,0.8275862068965517,29,0.0037983879446983337
Prob-RVEA,ZDT1,-0.5628325848678639,0.13793103448275862,29,7.711350917816162e-07
Prob-RVEA,ZDT3,-0.5285834621731105,0.1724137931034483,29,1.5951693058013916e-05
Prob-RVEA,ZDT4,0.38983005060323445,0.7931034482758621,29,0.00012406706809997559
Prob-RVEA,ZDT6,0.008580857473394338,0.5172413793103449,29,0.19012672826647758
IBEA-MS,BBOB_F1,0.899859061551318,1.0,27,1.4901161193847656e-08
IBEA-MS,BBOB_F17,0.8190542831886469,1.0,27,1.4901161193847656e-08
IBEA-MS,BBOB_F22,0.35773168582412346,0.9629629629629629,27,5.5283308029174805e-06
IBEA-MS,BBOB_F37,-0.45781898103225216,0.25925925925925924,27,0.0009199380874633789
IBEA-MS,BBOB_F49,0.31748245603381225,0.9615384615384616,26,5.960464477539063e-08
IBEA-MS,BBOB_F5,0.04417568426153387,0.6538461538461539,26,0.11053428053855896
IBEA-MS,BBOB_F55,0.3579059761650416,1.0,27,1.4901161193847656e-08
IBEA-MS,DTLZ1,0.5376331949124816,0.8888888888888888,27,8.195638656616211e-07
IBEA-MS,DTLZ2,0.6604261487963218,0.8518518518518519,27,6.660819053649902e-06
IBEA-MS,DTLZ3,0.5597641202971888,0.9615384615384616,26,3.185868263244629e-05
IBEA-MS,DTLZ4,0.22005480554321927,0.8148148148148148,27,0.008888542652130127
IBEA-MS,DTLZ7,0.902317321024591,1.0,26,2.9802322387695312e-08
IBEA-MS,ESTOQUE40,-2.2364415961641626,0.034482758620689655,29,7.450580596923828e-09
IBEA-MS,MMF1,0.6249674604733612,0.8888888888888888,27,5.488097667694092e-05
IBEA-MS,MMF11_L,0.25105789630436454,0.5185185185185185,27,0.4846055656671524
IBEA-MS,MMF16_20,-1.19172034476,0.0,27,1.4901161193847656e-08
IBEA-MS,MMF4,0.4467070535165063,0.7692307692307693,26,0.08419731259346008
IBEA-MS,RE21,0.9843133232724421,1.0,30,1.862645149230957e-09
IBEA-MS,WFG1,0.0534693722762968,0.6666666666666666,27,0.4553176909685135
IBEA-MS,WFG2,0.5742898316660784,1.0,27,1.4901161193847656e-08
IBEA-MS,WFG4,0.74884046242146,1.0,27,1.4901161193847656e-08
IBEA-MS,WFG5,0.6125318336753821,0.9629629629629629,27,2.9802322387695312e-08
IBEA-MS,WFG9,0.3279199424033845,0.9259259259259259,27,7.450580596923828e-08
IBEA-MS,ZDT1,0.9734605027375807,1.0,27,1.4901161193847656e-08
IBEA-MS,ZDT3,0.9901805941825624,1.0,27,1.4901161193847656e-08
IBEA-MS,ZDT4,0.5135307048156583,0.8148148148148148,27,1.1354684829711914e-05
IBEA-MS,ZDT6,0.9370961537775191,0.8461538461538461,26,0.049346864223480225
