label,exp,problema,D,q,pop_nsga,n_ger,n_front_saturado,front_max,front_med,front_min,front_frac_pop_med,empates_topq
BBOB_F1,main,BBOB_F1,10,1,1000,200,0,53,37.0,17,0.037,0
BBOB_F17,main,BBOB_F17,10,1,1000,200,0,24,14.0,5,0.014,0
BBOB_F22,main,BBOB_F22,10,1,1000,200,0,35,20.0,8,0.02,0
BBOB_F37,main,BBOB_F37,10,1,1000,200,0,27,16.0,7,0.016,0
BBOB_F49,main,BBOB_F49,10,1,1000,200,0,20,13.0,4,0.013,0
BBOB_F5,main,BBOB_F5,10,1,1000,200,0,47,33.0,17,0.033,0
BBOB_F55,main,BBOB_F55,10,1,1000,200,0,24,8.0,3,0.008,0
DTLZ1,main,DTLZ1,7,1,700,140,0,171,111.0,40,0.15857142857142856,0
DTLZ2,main,DTLZ2,12,1,1200,240,0,424,307.5,207,0.25625,0
DTLZ3,main,DTLZ3,12,1,1200,240,0,205,146.0,70,0.12166666666666667,0
DTLZ4,main,DTLZ4,12,1,1200,240,0,104,66.0,27,0.055,0
DTLZ7,main,DTLZ7,22,1,2200,440,0,206,141.0,83,0.06409090909090909,0
MMF1,main,MMF1,2,1,200,40,0,29,18.0,8,0.09,0
MMF11_L,main,MMF11_L,2,1,200,40,0,159,100.0,51,0.5,0
MMF16_20,main,MMF16_20,20,1,2000,400,0,301,222.0,135,0.111,0
MMF4,main,MMF4,2,1,200,40,0,29,19.0,10,0.095,0
WFG1,main,WFG1,22,1,2200,440,0,66,38.0,12,0.017272727272727273,0
WFG2,main,WFG2,22,1,2200,440,0,54,20.0,6,0.00909090909090909,0
WFG4,main,WFG4,22,1,2200,440,0,63,36.0,17,0.016363636363636365,0
WFG5,main,WFG5,22,1,2200,440,0,64,39.0,17,0.017727272727272727,0
WFG9,main,WFG9,22,1,2200,440,0,32,18.0,8,0.008181818181818182,0
ZDT1,main,ZDT1,30,1,3000,600,0,46,31.5,17,0.0105,0
ZDT3,main,ZDT3,30,1,3000,600,0,52,23.0,11,0.007666666666666666,0
ZDT4,main,ZDT4,10,1,1000,200,0,22,13.0,5,0.013,0
ZDT6,main,ZDT6,10,1,1000,200,0,36,18.0,8,0.018,0
q10_DTLZ2,batch,DTLZ2,12,10,1200,200,0,472,383.5,235,0.31958333333333333,0
q10_MMF16_20,batch,MMF16_20,20,10,2000,200,63,2000,412.0,147,0.206,0
q10_WFG9,batch,WFG9,22,10,2200,200,0,33,20.0,7,0.00909090909090909,0
q10_ZDT1,batch,ZDT1,30,10,3000,200,0,47,34.0,21,0.011333333333333334,0
q10_ZDT4,batch,ZDT4,10,10,1000,200,0,22,13.0,6,0.013,0
