label,exp,problema,obj,wape_infill,wape_sonda_fim,razao
BBOB_F1,main,BBOB_F1,0,0.012860547954613765,0.0138827175330725,0.9263710742494297
BBOB_F1,main,BBOB_F1,1,0.012027203846252187,0.0137073105825894,0.8774298775668486
BBOB_F17,main,BBOB_F17,0,0.01480283880720127,0.0086496222293306,1.7113855859514076
BBOB_F17,main,BBOB_F17,1,0.41887534830207074,0.317461127382075,1.3194539808898882
BBOB_F22,main,BBOB_F22,0,0.6354550998100063,0.0828358818854979,7.671254115316609
BBOB_F22,main,BBOB_F22,1,0.02327495677590642,0.0147616687261519,1.5767158312306728
BBOB_F37,main,BBOB_F37,0,0.02668509586670224,0.0133847552912681,1.993693219338195
BBOB_F37,main,BBOB_F37,1,0.2967133202547604,0.3061312817552102,0.9692355467678712
BBOB_F49,main,BBOB_F49,0,0.21202757705144779,0.2210036151678015,0.9593851072999938
BBOB_F49,main,BBOB_F49,1,0.058391602802213775,0.048805499883267,1.1964143988254359
BBOB_F5,main,BBOB_F5,0,0.01216048123047606,0.0127360035017616,0.9548113918776846
BBOB_F5,main,BBOB_F5,1,0.031662317973550874,0.0273426599911745,1.1579823610347584
BBOB_F55,main,BBOB_F55,0,0.19169240960414918,0.053131730140661,3.6078706471003765
BBOB_F55,main,BBOB_F55,1,0.13378730242025255,0.050024655237818,2.6744272755949163
DTLZ1,main,DTLZ1,0,0.33884672025461904,0.3096352860442958,1.094341425305591
DTLZ1,main,DTLZ1,1,0.3989513779140291,0.3098412186600476,1.2875994344437163
DTLZ1,main,DTLZ1,2,0.33149527552111435,0.2851020139561698,1.1627251274769208
DTLZ2,main,DTLZ2,0,0.1735959518849167,0.0563132363599784,3.0826846955699154
DTLZ2,main,DTLZ2,1,0.1695883996765112,0.0606578891163031,2.7958176940735435
DTLZ2,main,DTLZ2,2,0.0866653991610069,0.0209132473248437,4.1440431423604664
DTLZ3,main,DTLZ3,0,0.26606877349178043,0.2096070564998238,1.2693693520380316
DTLZ3,main,DTLZ3,1,0.309224188552751,0.2037002995699836,1.51803502108505
DTLZ3,main,DTLZ3,2,0.2650196674351268,0.1946545511246761,1.3614871365909234
DTLZ4,main,DTLZ4,0,0.06456607425501108,0.0465128884847101,1.3881329747180826
DTLZ4,main,DTLZ4,1,0.3998745381207938,0.2811049410244865,1.4225098166665149
DTLZ4,main,DTLZ4,2,1.5076241693206132,0.3309717554256052,4.555144493770835
DTLZ7,main,DTLZ7,0,0.013136824095634294,0.0009159573652441,14.342178570869802
DTLZ7,main,DTLZ7,1,0.013250649204635881,0.0007509834066287,17.64439678383899
DTLZ7,main,DTLZ7,2,0.017854828696633337,0.0075769091892866,2.3564791725205367
MMF1,main,MMF1,0,0.023298469634701228,0.0058319719474704,3.994955710444881
MMF1,main,MMF1,1,0.7574178277975646,0.4096242845674111,1.8490549909594478
MMF11_L,main,MMF11_L,0,0.00045820136096514144,2.8655909197864036e-05,15.989768735004752
MMF11_L,main,MMF11_L,1,0.24926852671622404,0.0586935680229689,4.246947921426012
MMF16_20,main,MMF16_20,0,0.2070630044822497,0.1076282347470259,1.9238725318587602
