label,exp,problema,obj,n,rho_dw_dls,rho_dw_dosc,rho_dcv_dls,rho_dsm_dosc,rho_dsm_dls,ls_ini,ls_fim,ls_razao,osc_ini,osc_fim,osc_razao,maior_queda_wape,ls_no_maior_salto,osc_no_maior_salto
BBOB_F1,main,BBOB_F1,0,100,-0.7095589558955895,-0.208064806480648,-0.04545104891905762,0.08901290129012901,-0.9708370837083709,1.269252702788359,3.51285315976653,2.767654661714972,0.6435205139995059,2.150555850737429,3.341860599550491,-0.06348633009031612,0.015526021459275563,0.017952311816104016
BBOB_F1,main,BBOB_F1,1,100,-0.648088808880888,0.06163816381638163,-0.003334199699167372,0.2426162616261626,-0.9749654965496549,1.3001999244688296,3.547365284725738,2.728322943238858,0.7369896010492196,2.34752262001385,3.185285947958812,-0.044550204343159816,0.011516301217307345,0.007217806547779482
BBOB_F17,main,BBOB_F17,0,100,-0.49210921092109206,0.30516651665166517,0.20522596342925306,0.28118811881188116,-0.8255625562556255,2.0542161924048408,4.564110602412329,2.2218258327859797,0.11790173050954872,0.059046433153113115,0.500810572482064,-0.05284109360894984,0.010988509511854483,-0.015254939851780058
BBOB_F17,main,BBOB_F17,1,100,-0.19968796879687967,-0.2031203120312031,-0.24345771276846973,0.07397539753975396,-0.7361416141614161,0.8902363176820078,1.2614808169221952,1.4170179219455252,0.6801642221134179,1.1152208622910635,1.6396347029631024,-0.010449025395723788,0.0044359377755505,0.006549429889708469
BBOB_F22,main,BBOB_F22,0,100,-0.4291149114911491,0.12772877287728773,-0.33290331566730486,0.20476447644764473,-0.9513471347134712,1.2345218081361993,2.0014401112537543,1.6212270192904883,0.5263731263408448,0.8209151874759002,1.5595689566878255,-0.016274095191209703,0.013373237927823078,0.013818591622207554
BBOB_F22,main,BBOB_F22,1,100,-0.5852745274527452,-0.32885688568856886,-0.018181190269119907,-0.4268226822682267,-0.9215721572157214,1.0179729638644617,1.6318558549361704,1.6030443959349046,0.8252913141005676,0.951495844520678,1.1529211906921046,-0.0524919984535428,0.01962961716951256,0.01565946872579016
BBOB_F37,main,BBOB_F37,0,100,-0.2859645964596459,-0.11357935793579356,-0.06039648413355232,-0.2564416441644164,-0.8842004200420042,1.0455505215708594,1.7564821247251934,1.679959111001364,0.7584767523904612,0.8718159249492673,1.1494299887262194,-0.07993659211640614,0.006584351047761283,0.013406415038815678
BBOB_F37,main,BBOB_F37,1,100,0.046924692469246916,-0.04523252325232523,-0.23609437139215902,-0.18718271827182717,-0.763996399639964,0.7039771605405744,1.247247055338045,1.7717152277785564,0.98525515973734,2.1573074443663662,2.1895926380547803,-0.009425436706566703,0.0008770767834692661,-0.004204341595348597
BBOB_F49,main,BBOB_F49,0,100,0.0007320732073207321,0.08736873687368735,-0.32913512605659956,0.4394239423942394,-0.7662286228622862,0.7576135642431743,1.424192829192296,1.8798407214567334,0.8281787918008131,1.439981448410761,1.73873258125776,-0.014898314346491581,0.0034756097728152746,0.01953943976556996
BBOB_F49,main,BBOB_F49,1,100,0.3737533753375337,-0.38844284428442843,-0.46260546287731813,0.283960396039604,-0.5054425442544254,0.34905391497016797,0.3520735788380659,1.008650995557967,0.9845876104500576,0.8890579891711151,0.9029749914938746,-0.03510145883688409,-0.06467142155734795,0.005266273362509302
BBOB_F5,main,BBOB_F5,0,100,-0.7545874587458745,0.025646564656465642,0.17481004975018574,0.2427362736273627,-0.965976597659766,1.2313787632430915,3.5494744940927516,2.8825204722099267,0.8585161306997221,2.4801785617284313,2.8889131759318194,-0.037150955434520405,0.016677370253686152,0.002219720964756533
BBOB_F5,main,BBOB_F5,1,100,-0.6041404140414041,-0.18567056705670565,-0.11369948110452331,-0.09164116411641163,-0.8508610861086108,0.9706303527886796,1.0660816864371985,1.098339530980338,0.9631597001012985,0.3436438033027568,0.3567879794665565,-0.048043579799876834,0.004454056129455585,-0.003971033666862078
BBOB_F55,main,BBOB_F55,0,100,0.37150915091509146,-0.17479747974797477,-0.1632176031977562,-0.025214521452145214,-0.2377437743774377,0.40766092101779094,0.3110956577501819,0.7631235708673807,0.9691799049250678,0.22111621602153544,0.22814775141115937,-0.012380692231509727,-0.08076481749055264,0.008549993683666712
BBOB_F55,main,BBOB_F55,1,100,0.4637743774377437,-0.19336333633363334,-0.2277681897492506,0.11036303630363035,-0.13587758775877587,0.4701058276192551,0.389577187402138,0.8287010381791345,0.9252354623065325,0.15343058520837333,0.1658286905971849,-0.021153203374107754,-0.11437087435707416,-0.00011278051334837058
DTLZ1,main,DTLZ1,0,70,0.1630828448954597,0.4112851019158429,-0.5172463242459617,-0.25066923278803255,-0.5480710349050827,0.5929258190850467,0.8184001599603221,1.3802741145987005,0.6647527031450511,0.4343778445164748,0.6534427651987934,-0.06763906653271312,0.016846214368686163,-0.12712055837123715
DTLZ1,main,DTLZ1,1,70,0.5976554982066311,0.02188784883212317,-0.43633331380930157,-0.17130609745429096,-0.17319569591461814,0.6515972573965553,0.7289293257264106,1.1186807762801736,0.7835263120977819,0.6016422873606141,0.7678648158602372,-0.11708162716350601,-0.1811749050009803,0.18185468952395928
DTLZ1,main,DTLZ1,2,70,0.18915230513515877,0.3638351850231825,-0.38367702682310717,0.19825037179599336,-0.46072959496107074,0.5381979438585384,0.6798698719164233,1.2632338708732087,0.6391752817472454,0.5424739177589332,0.8487091620252116,-0.023922709213505033,-0.030901343984561236,-0.01705984409360206
DTLZ2,main,DTLZ2,0,120,-0.11500798666574066,-0.3135009375651086,-0.14500038835523393,0.2928258906868532,-0.6216681714007917,1.1521996202253575,1.9825671705725585,1.7206802847103788,0.39329726181649544,0.5881047129672154,1.4953186051969343,-0.06779715334727454,0.0022864439564654893,0.04213627145059262
DTLZ2,main,DTLZ2,1,120,-0.15608028335301063,-0.4124869782623793,-0.25536327388296437,0.34016945621223693,-0.6778317938745746,1.2598453625595187,2.034924224198614,1.6152174581683856,0.3238566765656568,0.6109833834786904,1.8865857266179387,-0.06499890183054147,0.005346044638066649,0.05065726698299888
DTLZ2,main,DTLZ2,2,120,-0.1823043266893534,-0.5474407944996179,0.0029654427966450854,0.3752968956177512,-0.28359608306132367,1.1925061503351095,2.6750006878541206,2.243175590417216,0.3399441593958505,0.5894902410518845,1.7340796267820218,-0.06589255496159696,0.009761667056305434,0.050365351681380455
DTLZ3,main,DTLZ3,0,120,0.3999791652198069,0.059851378567956096,-0.5222536515901689,0.16140704215570523,-0.6360163900270851,0.9635780083603072,1.1130390778083303,1.1551105028874173,0.4634972288195382,0.3147886994214017,0.6791598306275184,-0.01553921901062183,-0.007229849283489879,-0.027942901658289276
DTLZ3,main,DTLZ3,1,120,0.12353635669143691,-0.08818667963052988,-0.23947979797401414,-0.03990554899645808,-0.35542746024029437,0.8297009903998505,1.032370033942978,1.2442675685435267,0.4485973156019064,0.321036526151138,0.7156452234235654,-0.030093367077578703,-0.003197024576859858,-0.0016957160118126202
DTLZ3,main,DTLZ3,2,120,-0.03488436696992846,-0.046225432321689,-0.4475314813794954,0.3454545454545454,-0.5839711091047989,0.7817328064748752,0.9941159263546306,1.2716824957589667,0.4761689142596526,0.3265497747084389,0.6857855792962849,-0.030745656212892714,-0.004046713086138583,0.001037972884101901
DTLZ4,main,DTLZ4,0,120,-0.366768525592055,-0.010674352385582331,-0.10031720672618197,0.17458156816445583,-0.41806375442739074,0.5595073006133249,0.8450885040420643,1.5104155086371327,0.9058140560760297,0.8920038935412352,0.9847538659373206,-0.022674269723302665,0.017873048280955095,-0.002251194681514801
DTLZ4,main,DTLZ4,1,120,-0.8580734773248141,0.8318980484755885,0.08512992093613109,0.6340370859087436,-0.8832974512118896,0.896954013773397,3.556511309276887,3.965098828550859,0.8372070673508188,0.40871041083963383,0.48818318284497947,-0.3508431932603223,0.1316519332217542,-0.2363889508387913
DTLZ4,main,DTLZ4,2,120,-0.4505451767483853,0.2823112716160844,0.13420258224703394,0.09978470727133827,-0.7966386554621847,1.0089346107668868,3.5317790295326965,3.5005033942171995,0.8777159513324023,0.6856020188883586,0.7811206095179103,-0.8399087900606179,0.19015186606559886,-0.22389776667468292
DTLZ7,main,DTLZ7,0,220,-0.8150104528831361,0.4244591830409719,0.13176807919752787,0.694536889379758,-0.944638600722404,2.728086759528335,8.175884926498929,2.996929953911171,0.039808412236399096,0.013242983185513733,0.33266795738728105,-0.04538085348160692,0.00386795880634927,0.0023158971987156107
DTLZ7,main,DTLZ7,1,220,-0.775570118841674,0.4717434056676603,0.01150366750207717,0.7314257056400488,-0.9390701160241853,2.710937037315969,8.199644626253207,3.0246532890234405,0.040960413923667914,0.013154341262485165,0.32114766435219716,-0.08372216973779167,0.004443748434305395,0.0038866522117571023
DTLZ7,main,DTLZ7,2,220,-0.43154460366386227,-0.2804426838270513,0.11149305676300311,0.12782946304300052,-0.7017902323301194,1.3125518275993864,4.107835934712835,3.1296561768733584,0.43331155544554495,0.477207599780076,1.1013036550326836,-0.6516158315007825,0.3485248444224953,0.3111871048913587
MMF1,main,MMF1,0,20,-0.38646616541353385,0.12932330827067667,-0.44603237452884753,-0.4015037593984962,-0.7984962406015037,0.9149436550792233,0.7553861997470476,0.825609528579812,1.1342036880710569,0.5184586995655796,0.4571125142850872,-0.4098172853986166,0.07160606462400099,-0.38037901924688144
MMF1,main,MMF1,1,20,0.04210526315789473,0.5022556390977443,-0.14436090225563908,-0.5082706766917292,-0.14436090225563908,0.25447931650520184,0.21374772835790376,0.8399414588711163,1.5038216511794944,1.3962822068692373,0.9284892299389954,-0.6065537043854516,0.4169994105405981,-0.07864136745932415
MMF11_L,main,MMF11_L,0,20,-0.4526315789473684,-0.25112781954887214,,0.17593984962406017,-0.9353383458646616,2.5156489728021834,4.14196356610522,1.6464791435076427,1.9782409120193007,1.9633209815118302,0.9924579810189847,-0.5198990988982182,0.024988308204655807,0.017190798348618586
MMF11_L,main,MMF11_L,1,20,-0.43458646616541347,-0.5804511278195488,-0.48138401298223005,-0.3578947368421052,-0.7729323308270677,0.48842023036164955,0.4834837534827089,0.9898929721332684,2.55330185683429,8.953794380346157,3.506751211722187,-0.19754237065141655,0.07448307531011522,0.3217047100062742
MMF16_20,main,MMF16_20,0,200,-0.14686417160429013,0.045247131178279464,-0.2625658712000842,0.41867996699917504,-0.8019800495012376,1.3722520966205625,1.7736617716016252,1.2925189008416254,0.19512572516593596,0.18556767030903087,0.9510159162828127,-0.016232098772187342,-0.013609486044981467,0.026011122134869114
MMF16_20,main,MMF16_20,1,200,-0.3921773044326109,0.15116327908197705,-0.2859392958013139,0.49557338933473344,-0.7325538138453462,1.4079189514020858,1.7733593741928886,1.2595606958957946,0.18932887872587684,0.18511846594749207,0.9777613811124879,-0.0474180606853829,0.04248014161861324,0.04498832964689137
MMF16_20,main,MMF16_20,2,200,-0.32835220880522015,0.35201230030750774,-0.3364515176403217,0.575222380559514,-0.7034425860646516,1.1591017153786098,1.363200812863465,1.1760838542268812,0.19140485194396425,0.17458205671052732,0.9121088359956414,-0.012418562829279889,0.00711544776850806,-0.013290593368432635
MMF4,main,MMF4,0,20,-0.6045112781954887,0.44360902255639095,0.2234824855022193,0.2857142857142857,-0.6015037593984961,1.0281993435571726,2.0908159349349176,2.033473322110382,0.8089998823917175,0.31942853233574797,0.39484373148657737,-0.4852018443668129,0.5199975521475614,-0.49384410235193865
