label,exp,problema,bloco,obj,ordem,wape,cobertura95,corr,fe_treino_max,sigma_med,erro_med,n_nan_sigma
BBOB_F1,main,BBOB_F1,1,0,0,0.04896424278369032,0.993,0.9845666776117018,108,10.775564193725586,4.250521209356599,0
BBOB_F1,main,BBOB_F1,1,1,0,0.04367715363962045,0.996,0.9872445277773908,108,10.820352554321289,3.5672125649830235,0
BBOB_F1,main,BBOB_F1,2,0,1,0.04858928587310496,0.9925,0.9847975357845324,109,10.633595943450928,4.215872034744564,0
BBOB_F1,main,BBOB_F1,2,1,1,0.04332877637133128,0.996,0.9873963110037747,109,10.66879653930664,3.5532639032853766,0
BBOB_F1,main,BBOB_F1,4,0,2,0.04978379358092415,0.992,0.9851342792614892,111,10.450708866119385,4.466810819708108,0
BBOB_F1,main,BBOB_F1,4,1,2,0.04638342106447811,0.9955,0.9862898471341032,111,10.44559907913208,4.019250587247306,0
BBOB_F1,main,BBOB_F1,6,0,3,0.05051260447772022,0.991,0.9848908021727217,113,10.248425006866455,4.556854679954405,0
BBOB_F1,main,BBOB_F1,6,1,3,0.04747761268346139,0.996,0.9859046451193073,113,10.234645366668701,4.087890127673873,0
BBOB_F1,main,BBOB_F1,8,0,4,0.049680260489174996,0.991,0.98532422251833,115,9.902811527252197,4.530716773697321,0
BBOB_F1,main,BBOB_F1,8,1,4,0.046367407469493895,0.996,0.9866313192236319,115,9.939874172210693,4.02122476187337,0
BBOB_F1,main,BBOB_F1,10,0,5,0.048913901749054044,0.99,0.9859067386474623,117,9.683303356170654,4.453244987560041,0
BBOB_F1,main,BBOB_F1,10,1,5,0.04541081061547859,0.9955,0.9872137864785003,117,9.668015956878662,3.872069063873049,0
BBOB_F1,main,BBOB_F1,12,0,6,0.04832663761624021,0.99,0.9862477630149376,119,9.434189796447754,4.392098603311773,0
BBOB_F1,main,BBOB_F1,12,1,6,0.04410623448294217,0.9955,0.9881401355069913,119,9.439975261688232,3.785711340614757,0
BBOB_F1,main,BBOB_F1,14,0,7,0.047669767000151825,0.989,0.9865938957472182,121,9.206216812133789,4.333828688262585,0
BBOB_F1,main,BBOB_F1,14,1,7,0.04267172584399235,0.996,0.9888927922546883,121,9.218290328979492,3.6838859273163678,0
BBOB_F1,main,BBOB_F1,16,0,8,0.0467708601760967,0.989,0.9870967231180342,123,8.98624038696289,4.219926578118912,0
BBOB_F1,main,BBOB_F1,16,1,8,0.04223960655719443,0.9955,0.9891460140133616,123,8.999104022979736,3.6759075017340628,0
BBOB_F1,main,BBOB_F1,18,0,9,0.0460352051848741,0.989,0.9874788053494715,125,8.834665298461914,4.151397393826201,0
BBOB_F1,main,BBOB_F1,18,1,9,0.04133268074005428,0.995,0.9896187125344781,125,8.839224338531494,3.5822172846130442,0
