problema,D,q,K,n,CD
DTLZ2,12,8,250,2000,0.004446787495626297
DTLZ2,12,10,200,2000,0.004071857178292662
DTLZ2,12,16,125,2000,0.0038457924395895707
MMF16_20,20,8,250,2000,0.03537010752159711
MMF16_20,20,10,200,2000,0.03569074815873827
MMF16_20,20,16,125,2000,0.03315414337396616
WFG9,22,8,250,2000,0.058846758870989654
WFG9,22,10,200,2000,0.058832038810601894
WFG9,22,16,125,2000,0.05768714279404293
ZDT1,30,8,250,2000,0.38211987490051363
ZDT1,30,10,200,2000,0.3800958226775306
ZDT1,30,16,125,2000,0.3697246639688316
ZDT4,10,8,250,2000,0.0023041179734659785
ZDT4,10,10,200,2000,0.0021361827345730265
ZDT4,10,16,125,2000,0.001723233426644678
