problema,dim,ks_stat,p,media,var
DTLZ2,0,0.009112198159098583,0.9958728903767466,0.5002545869895257,0.08422128154886155
DTLZ2,1,0.008664115242660086,0.9979854380376184,0.49999811419285833,0.08225721051824135
DTLZ2,2,0.008073212601244495,0.9993566824287218,0.4991542995418422,0.08348040710283886
DTLZ2,3,0.011168400689959501,0.9619095519821514,0.5000650266334414,0.08358692723590505
DTLZ2,4,0.011234173290431526,0.9599298581120306,0.4994730005231686,0.08198418595859573
DTLZ2,5,0.008696596495807118,0.9978696573486521,0.501863921449054,0.08358156325329819
DTLZ2,6,0.011215139091014847,0.9605092516782628,0.4999088802281767,0.08518139077504225
DTLZ2,7,0.014009563088417054,0.8219473314177022,0.4968406000533141,0.08264145252183684
DTLZ2,8,0.01314532443135974,0.875269845396588,0.5033338182354345,0.08339703859954287
DTLZ2,9,0.011848154552280943,0.9383839885183594,0.5010489909495227,0.08395605090591483
DTLZ2,10,0.009060331642627706,0.9961802919061188,0.5001409930367954,0.08332892778919615
DTLZ2,11,0.01066952061653137,0.9749099783309787,0.5008918874156661,0.08403704749596136
MMF16_20,0,0.015546749614179123,0.7129710828252487,0.5031866908869707,0.08294874622315998
MMF16_20,1,0.00983770160377026,0.9892993967772858,0.5009602362099104,0.08225080914469364
MMF16_20,2,0.00561643850058316,0.9999999452647592,0.49955697225686163,0.08303054322378592
MMF16_20,3,0.01196196436136962,0.9337815713916482,0.4992298828996718,0.08438767902526656
MMF16_20,4,0.013234202452003963,0.8701519171609802,0.500866558438167,0.08214726380145124
MMF16_20,5,0.010198677599430078,0.9840866737311009,0.4975963807259686,0.08448947024306691
MMF16_20,6,0.011991200201213359,0.9325688559726102,0.5020422599352896,0.08502810528649161
MMF16_20,7,0.010715457715094079,0.9738584771397004,0.5001466617370024,0.08402019057169181
MMF16_20,8,0.013966062664985679,0.8248045731511173,0.5033200599253178,0.08373666099589101
MMF16_20,9,0.012196586318314075,0.9237020616520412,0.5017011278728023,0.0827077236443322
MMF16_20,10,0.010551217362284704,0.9774866524553218,0.4999949579401873,0.08150188114554265
MMF16_20,11,0.012992361009120934,0.8838596561567517,0.5025280213803053,0.08253177336866004
MMF16_20,12,0.014553375281393555,0.7849678188962252,0.5010118769323453,0.08160891408691644
MMF16_20,13,0.010875194616615791,0.9699755822107635,0.4984427358401008,0.08363131970219889
MMF16_20,14,0.010534998551011032,0.9778253430385989,0.502235777917318,0.08365908366231031
MMF16_20,15,0.009643646925687754,0.9915232228319555,0.4990485615809448,0.08281736851208807
MMF16_20,16,0.010255134671926514,0.983134472219936,0.49840849039936436,0.08313157977084482
MMF16_20,17,0.014476700536906723,0.7903110141035273,0.49769695806037634,0.08404519589171004
MMF16_20,18,0.010881532222032544,0.9698141848003764,0.5011128001227043,0.0831948660978515
MMF16_20,19,0.008916597329080123,0.9969403963222288,0.5007691581100225,0.08286781160191223
WFG9,0,0.011027919799089458,0.9659278453680906,0.501367622518912,0.08387550925309556
WFG9,1,0.013752266317605955,0.8386014554505485,0.500047650327906,0.082160128658696
WFG9,2,0.00980832754075528,0.9896605769222767,0.5000682077924721,0.08267976914928803
WFG9,3,0.010583556890487622,0.9768009056552186,0.5014809448909946,0.0840254051945079
WFG9,4,0.011746826410293593,0.9423222156883247,0.49906338927801697,0.08215921468674457
WFG9,5,0.008982343576848462,0.9966089023133762,0.5012868041195907,0.08384034479184115
WFG9,6,0.012146228104829793,0.9259320252478817,0.5010781626687385,0.08354679909126829
WFG9,7,0.009600229009985917,0.9919701287542555,0.4984571400801651,0.08362903987838459
WFG9,8,0.009925036601722226,0.988171575563231,0.5012767436136492,0.08334757212527179
WFG9,9,0.009499884426593774,0.9929360335208746,0.4996379925608635,0.084312603177673
WFG9,10,0.008477259367704382,0.9985581632975173,0.5014981872779317,0.08270040919266426
WFG9,11,0.01325774029642346,0.868781289534067,0.5017546826591716,0.08367575192384015
WFG9,12,0.009373395554721387,0.9940268033070302,0.4999997405456379,0.08405512429942348
WFG9,13,0.01128489118069409,0.9583601821205072,0.4994187915092334,0.08380011351356159
WFG9,14,0.013594546735286706,0.8485019534794712,0.4996878167707473,0.08325387593445929
WFG9,15,0.012307766593992686,0.9186516100498059,0.500340835517738,0.0818564881437453
WFG9,16,0.012561860352754639,0.9064643327376697,0.4986533741331659,0.08241594708887134
WFG9,17,0.010098714187741331,0.9856790178460199,0.4992649914873764,0.08291806414064871
WFG9,18,0.01012167977541685,0.9853236265091619,0.49982896042754876,0.08259071887058965
WFG9,19,0.00826752274483443,0.9990370836702166,0.500506247238256,0.08337623114255568
WFG9,20,0.009378837630152681,0.9939826641333486,0.5000759721235372,0.08414110458493396
WFG9,21,0.01683734390884639,0.6159333240172722,0.49546011353004726,0.08393259864170267
ZDT1,0,0.006600839212536791,0.9999916234862766,0.5004474988714792,0.0836499741590265
ZDT1,1,0.008922057949006579,0.9969138659126214,0.5001663294536993,0.08300304580322845
ZDT1,2,0.011741438768804069,0.9425273913525447,0.502761664156802,0.08176838209293866
ZDT1,3,0.01076613642275337,0.9726648947742438,0.5032849670406431,0.0834139304176251
ZDT1,4,0.008702977359294928,0.9978463060058173,0.5008511429801583,0.08282939599852066
ZDT1,5,0.009592319749295697,0.9920496250010306,0.5001053110701033,0.08381009838695613
ZDT1,6,0.008604627072811177,0.9981845113235792,0.4999063463578932,0.08357910268025694
ZDT1,7,0.00909790426492696,0.9959594409163722,0.4991821084469557,0.08266840171243468
ZDT1,8,0.014042938143014938,0.8197441699684899,0.5018532989076339,0.08479892828012228
ZDT1,9,0.0077837439626455285,0.9996673205509523,0.5007947409967892,0.08363378215377533
ZDT1,10,0.015678787812590578,0.7031261956525746,0.502594456021674,0.08229905642082233
ZDT1,11,0.0123855565264821,0.9150149241636767,0.5023230850696564,0.08313893256832534
ZDT1,12,0.009260488614439955,0.9948886332863821,0.5002248850138858,0.08285052665260881
ZDT1,13,0.012723512679338467,0.8982570004525267,0.49837058850796895,0.08354441489067808
ZDT1,14,0.012461130291223532,0.9114016365474422,0.502457207919564,0.08414219409290528
ZDT1,15,0.007827120065689086,0.9996309988015069,0.4986555271632969,0.08335645385886328
ZDT1,16,0.012454957276582745,0.9116997194148222,0.4988164197350852,0.08142601456507012
ZDT1,17,0.009139628514647447,0.9957028142223218,0.5022672379766591,0.08334280697906113
ZDT1,18,0.010877723559737151,0.9699112463229719,0.4991210120157339,0.0843858032590631
ZDT1,19,0.010383941434323779,0.9808148253591941,0.499657160256058,0.08300143693969984
ZDT1,20,0.009156933590769745,0.9955927852156237,0.5003038582541048,0.08347732952548542
ZDT1,21,0.01607432129979136,0.6734371687823915,0.492635092377197,0.08316058571856758
ZDT1,22,0.012257955402135867,0.9209358672720009,0.5009903316572308,0.08354376831713728
ZDT1,23,0.009581647552549866,0.9921559662666504,0.5005017380220815,0.08377026591922208
ZDT1,24,0.011664700217545065,0.9454034273294987,0.5009909732160158,0.08281237637437619
ZDT1,25,0.009269299186766111,0.9948249984815652,0.5011165839042515,0.08298391248716343
ZDT1,26,0.008509861342608949,0.9984689995748672,0.49926968065137045,0.08411973610309358
ZDT1,27,0.00850401634722947,0.998485301890382,0.5001283560483717,0.08324616206175202
ZDT1,28,0.007713024877011754,0.9997201142554173,0.4996030262680724,0.08360952112937864
ZDT1,29,0.011498216606676603,0.9513445141769733,0.5006602375125513,0.08447350022864218
ZDT4,0,0.009470407955348481,0.9932025525154278,0.4993122767019086,0.08320093034751767
ZDT4,1,0.013441317677497872,0.8578790649779129,0.5032561830584891,0.08259751229590254
ZDT4,2,0.011030366100370878,0.9658603046118904,0.5004957413976081,0.08381291089714159
ZDT4,3,0.011694794803857801,0.9442858651209616,0.5023139193085954,0.0825864891240588
ZDT4,4,0.009559363581240155,0.9923746086245853,0.49953180231526495,0.08354687990941383
ZDT4,5,0.014176193334162202,0.8108556889164522,0.5028296688515693,0.08407906401964936
ZDT4,6,0.012263232275843639,0.9206955302945988,0.5003929465492256,0.08418342490933722
ZDT4,7,0.007964212119579317,0.9994937796842197,0.4991287256553769,0.08332963464964657
ZDT4,8,0.010704806312918647,0.9741048532436661,0.5011444175289944,0.08405859892145667
ZDT4,9,0.013548077568411823,0.8513714875826719,0.5015099564269185,0.08264365934238685
