problema,it,R,best,n_dup
BBOB_F1,1,50,30,0
BBOB_F1,2,50,1,0
BBOB_F1,3,50,1,0
BBOB_F1,4,50,16,0
BBOB_F1,5,50,26,0
BBOB_F1,6,50,35,0
BBOB_F1,7,50,0,0
BBOB_F1,8,50,17,0
BBOB_F1,9,50,9,0
BBOB_F1,10,50,24,0
BBOB_F1,11,50,20,0
BBOB_F1,12,50,25,0
BBOB_F1,13,50,34,0
BBOB_F1,14,50,13,0
BBOB_F1,15,50,27,0
BBOB_F1,16,50,47,0
BBOB_F1,17,50,44,0
BBOB_F1,18,50,41,0
BBOB_F1,19,50,11,0
BBOB_F1,20,50,10,0
BBOB_F1,21,50,15,0
BBOB_F1,22,50,33,0
BBOB_F1,23,50,19,0
BBOB_F1,24,50,29,0
BBOB_F1,25,50,47,0
BBOB_F1,26,50,17,0
BBOB_F1,27,50,26,0
BBOB_F1,28,50,0,0
BBOB_F1,29,50,43,0
BBOB_F1,30,50,44,0
BBOB_F1,31,50,12,0
BBOB_F1,32,50,42,0
BBOB_F1,33,50,46,0
BBOB_F1,34,50,43,0
BBOB_F1,35,50,37,0
BBOB_F1,36,50,11,0
BBOB_F1,37,50,38,0
BBOB_F1,38,50,18,0
BBOB_F1,39,50,6,0
BBOB_F1,40,50,2,0
BBOB_F1,41,50,36,0
BBOB_F1,42,50,39,0
BBOB_F1,43,50,0,0
BBOB_F1,44,50,30,0
BBOB_F1,45,50,10,0
BBOB_F1,46,50,40,0
BBOB_F1,47,50,29,0
BBOB_F1,48,50,18,0
BBOB_F1,49,50,15,0
BBOB_F1,50,50,7,0
BBOB_F1,51,50,38,0
BBOB_F1,52,50,17,0
BBOB_F1,53,50,15,0
BBOB_F1,54,50,42,0
BBOB_F1,55,50,48,0
BBOB_F1,56,50,8,0
BBOB_F1,57,50,9,0
BBOB_F1,58,50,35,0
BBOB_F1,59,50,22,0
BBOB_F1,60,50,3,0
BBOB_F1,61,50,34,0
BBOB_F1,62,50,49,0
BBOB_F1,63,50,32,0
BBOB_F1,64,50,1,0
BBOB_F1,65,50,44,0
BBOB_F1,66,50,20,0
BBOB_F1,67,50,36,0
BBOB_F1,68,50,42,0
BBOB_F1,69,50,43,0
BBOB_F1,70,50,1,0
BBOB_F1,71,50,47,0
BBOB_F1,72,50,23,0
BBOB_F1,73,50,17,0
BBOB_F1,74,50,0,0
BBOB_F1,75,50,24,0
BBOB_F1,76,50,9,0
BBOB_F1,77,50,1,0
BBOB_F1,78,50,30,0
BBOB_F1,79,50,7,0
BBOB_F1,80,50,5,0
BBOB_F1,81,50,34,0
BBOB_F1,82,50,0,0
BBOB_F1,83,50,27,0
BBOB_F1,84,50,40,0
BBOB_F1,85,50,19,0
BBOB_F1,86,50,41,0
BBOB_F1,87,50,10,0
BBOB_F1,88,50,12,0
BBOB_F1,89,50,0,0
BBOB_F1,90,50,35,0
BBOB_F1,91,50,2,0
BBOB_F1,92,50,21,0
BBOB_F1,93,50,1,0
BBOB_F1,94,50,17,0
BBOB_F1,95,50,35,0
BBOB_F1,96,50,34,0
BBOB_F1,97,50,45,0
BBOB_F1,98,50,7,0
BBOB_F1,99,50,28,0
BBOB_F1,100,50,22,0
BBOB_F1,101,50,5,0
BBOB_F1,102,50,17,0
BBOB_F1,103,50,36,0
BBOB_F1,104,50,8,0
BBOB_F1,105,50,44,0
BBOB_F1,106,50,1,0
BBOB_F1,107,50,22,0
BBOB_F1,108,50,0,0
BBOB_F1,109,50,13,0
BBOB_F1,110,50,20,0
BBOB_F1,111,50,1,0
BBOB_F1,112,50,35,0
BBOB_F1,113,50,8,0
BBOB_F1,114,50,3,0
BBOB_F1,115,50,3,0
BBOB_F1,116,50,7,0
BBOB_F1,117,50,8,0
BBOB_F1,118,50,19,0
BBOB_F1,119,50,1,0
BBOB_F1,120,50,44,0
BBOB_F1,121,50,36,0
BBOB_F1,122,50,26,0
BBOB_F1,123,50,40,0
BBOB_F1,124,50,0,0
BBOB_F1,125,50,26,0
BBOB_F1,126,50,0,0
BBOB_F1,127,50,25,0
BBOB_F1,128,50,38,0
BBOB_F1,129,50,26,0
BBOB_F1,130,50,1,0
BBOB_F1,131,50,5,0
BBOB_F1,132,50,4,0
BBOB_F1,133,50,46,0
BBOB_F1,134,50,12,0
BBOB_F1,135,50,4,0
BBOB_F1,136,50,23,0
BBOB_F1,137,50,16,0
BBOB_F1,138,50,26,0
BBOB_F1,139,50,7,0
BBOB_F1,140,50,36,0
BBOB_F1,141,50,42,0
BBOB_F1,142,50,20,0
BBOB_F1,143,50,21,0
BBOB_F1,144,50,33,0
BBOB_F1,145,50,35,0
BBOB_F1,146,50,1,0
BBOB_F1,147,50,28,0
BBOB_F1,148,50,1,0
BBOB_F1,149,50,0,0
BBOB_F1,150,50,42,0
BBOB_F1,151,50,0,0
BBOB_F1,152,50,9,0
BBOB_F1,153,50,2,0
BBOB_F1,154,50,27,0
BBOB_F1,155,50,20,0
BBOB_F1,156,50,6,0
BBOB_F1,157,50,38,0
BBOB_F1,158,50,31,0
BBOB_F1,159,50,48,0
BBOB_F1,160,50,2,0
BBOB_F1,161,50,39,0
BBOB_F1,162,50,0,0
BBOB_F1,163,50,49,0
BBOB_F1,164,50,36,0
BBOB_F1,165,50,25,0
BBOB_F1,166,50,9,0
BBOB_F1,167,50,0,0
BBOB_F1,168,50,17,0
BBOB_F1,169,50,31,0
BBOB_F1,170,50,5,0
BBOB_F1,171,50,0,0
BBOB_F1,172,50,45,0
BBOB_F1,173,50,5,0
BBOB_F1,174,50,0,0
BBOB_F1,175,50,16,0
BBOB_F1,176,50,49,0
BBOB_F1,177,50,14,0
BBOB_F1,178,50,35,0
BBOB_F1,179,50,27,0
BBOB_F1,180,50,7,0
BBOB_F1,181,50,39,0
BBOB_F1,182,50,31,0
BBOB_F1,183,50,0,0
BBOB_F1,184,50,35,0
