celula,M,pop,H_lattice,n_vetores,pop_bate_lattice,grupos,contidos_1viz,frac_1viz,contidos_ate2viz
BBOB_F1,2,50,49,50,True,11396,11396,1.0,11396
BBOB_F17,2,50,49,50,True,6301,6061,0.961911,6299
BBOB_F22,2,50,49,50,True,5278,5269,0.998295,5278
BBOB_F37,2,50,49,50,True,11835,11835,1.0,11835
BBOB_F49,2,50,49,50,True,13605,13595,0.999265,13605
BBOB_F5,2,50,49,50,True,10259,10258,0.999903,10259
BBOB_F55,2,50,49,50,True,11645,11645,1.0,11645
DTLZ1,3,105,13,105,True,508,505,0.994094,508
DTLZ2,3,105,13,105,True,5225,5224,0.999809,5225
DTLZ3,3,105,13,105,True,0,0,,0
DTLZ4,3,105,13,105,True,14978,14914,0.995727,14978
DTLZ7,3,105,13,105,True,9888,9883,0.999494,9888
MMF1,2,50,49,50,True,6660,6658,0.9997,6660
MMF11_L,2,50,49,50,True,2898,2895,0.998965,2898
MMF16_20,3,105,13,105,True,5204,5201,0.999424,5204
MMF4,2,50,49,50,True,3417,3417,1.0,3417
WFG1,2,50,49,50,True,9290,9290,1.0,9290
WFG2,2,50,49,50,True,8274,8274,1.0,8274
WFG4,2,50,49,50,True,7393,7393,1.0,7393
WFG5,2,50,49,50,True,5588,5588,1.0,5588
WFG9,2,50,49,50,True,6572,6572,1.0,6572
ZDT1,2,50,49,50,True,8236,8236,1.0,8236
ZDT3,2,50,49,50,True,8692,8692,1.0,8692
ZDT4,2,50,49,50,True,12201,12180,0.998279,12201
ZDT6,2,50,49,50,True,6019,6019,1.0,6019
swap_medium-lhs_DTLZ2,3,105,13,105,True,5312,5312,1.0,5312
swap_medium-lhs_MMF16_20,3,105,13,105,True,19042,18965,0.995956,19042
swap_medium-lhs_WFG9,2,50,49,50,True,7108,7108,1.0,7108
swap_medium-lhs_ZDT1,2,50,49,50,True,3550,3545,0.998592,3550
swap_medium-lhs_ZDT4,2,50,49,50,True,15608,15595,0.999167,15608
swap_medium-mvns_DTLZ2,3,105,13,105,True,5636,5636,1.0,5636
swap_medium-mvns_MMF16_20,3,105,13,105,True,19096,19062,0.99822,19096
swap_medium-mvns_WFG9,2,50,49,50,True,11324,11324,1.0,11324
swap_medium-mvns_ZDT1,2,50,49,50,True,4996,4992,0.999199,4996
swap_medium-mvns_ZDT4,2,50,49,50,True,64,57,0.890625,64
swap_small-lhs_DTLZ2,3,105,13,105,True,5225,5224,0.999809,5225
swap_small-lhs_MMF16_20,3,105,13,105,True,5204,5201,0.999424,5204
swap_small-lhs_WFG9,2,50,49,50,True,6572,6572,1.0,6572
swap_small-lhs_ZDT1,2,50,49,50,True,8236,8236,1.0,8236
swap_small-lhs_ZDT4,2,50,49,50,True,12201,12180,0.998279,12201
swap_small-mvns_DTLZ2,3,105,13,105,True,5018,5017,0.999801,5018
swap_small-mvns_MMF16_20,3,105,13,105,True,5788,5787,0.999827,5788
swap_small-mvns_WFG9,2,50,49,50,True,7687,7687,1.0,7687
swap_small-mvns_ZDT1,2,50,49,50,True,749,737,0.983979,748
swap_small-mvns_ZDT4,2,50,49,50,True,16359,16355,0.999755,16359
