exp,prob,D,M,n,U7_viol_fitbusca,n_soma_com_sonda_excede,excedentes_sao_sonda,n_blocos_sonda,slope_ms,r2_lin,razao_tempo,razao_n,expoente,fit_frac,busca_med_s,fit_med_s,fit_por_rede_por_epoca_ms
main,BBOB_F1,10,2,200,0,100,True,101,58.312110224945336,0.6732432529100345,2.418739618013351,2.8256880733944953,0.850295999323356,0.5895774884135316,9.814810752868652,14.748540878295898,24.5809014638265
main,BBOB_F17,10,2,200,0,101,True,101,59.74847253833627,0.6623024586249451,2.792100610457833,2.8256880733944953,0.988488414586079,0.592449026205451,9.734721660614014,14.715415477752686,24.52569246292114
main,BBOB_F22,10,2,200,0,101,True,101,70.91994600554231,0.7235548027016987,2.744514348216756,2.8256880733944953,0.9719396289527303,0.5930975677752821,9.711213111877441,14.592531204223633,24.320885340372723
main,BBOB_F37,10,2,200,0,101,True,101,65.12491641841787,0.9828722197578962,3.1391704956315505,2.8256880733944953,1.101281827580441,0.5956217004099564,9.62167501449585,14.034165382385254,23.390275637308758
main,BBOB_F49,10,2,200,0,101,True,101,64.12085555029464,0.984003673048707,2.7402272706240227,2.8256880733944953,0.9704346742672538,0.5927544090606971,9.66115427017212,13.867120265960693,23.11186710993449
main,BBOB_F5,10,2,200,0,101,True,101,63.52337960961574,0.9812907082994153,2.790899801727607,2.8256880733944953,0.9880742963574585,0.5969682849838652,9.672515869140625,14.163585186004639,23.605975310007732
main,BBOB_F55,10,2,200,0,101,True,101,64.91995015291336,0.9951585784667121,2.7776846556271235,2.8256880733944953,0.9835050335538769,0.5912424417250293,9.707820415496826,14.127102375030518,23.54517062505086
main,DTLZ1,7,3,140,0,70,True,71,77.8198841990275,0.6068040328501534,2.6932046273209145,2.8289473684210527,0.9527140394893874,0.5155617015325872,9.751809120178223,10.316576957702637,17.194294929504395
main,DTLZ2,12,3,240,0,121,True,121,67.59201089516968,0.9898915522168195,2.8377228429172274,2.8244274809160306,1.0045229765327628,0.6235585926010686,10.33789587020874,17.06109619140625,28.43516031901042
main,DTLZ3,12,3,240,0,121,True,121,65.97449792135309,0.9863667176346949,2.805876126065282,2.8244274809160306,0.9936532680741466,0.6202719700284073,10.248824119567871,16.78671646118164,27.977860768636067
