prob,M,G,n,npos,pick1_argmax,err1_med,err1_max,S1_lote,S2_lote,S1_lote_pos,S2_lote_pos
ZDT4,2,200,200,178,200,0.0015318715327701604,0.01536050305386817,198,13,176,10
ZDT1,2,200,200,187,200,2.2702711063811226e-07,4.998907950047593e-07,200,18,187,5
WFG9,2,200,200,125,200,1.040580407028432e-07,4.959436934331724e-07,200,77,125,2
DTLZ2,3,200,12,12,12,2.8819554233100626e-07,4.6647155873408286e-07,12,0,12,0
MMF16_20,3,200,12,12,12,3.220994564335144e-07,4.965515380851715e-07,12,0,12,0
