exp,prob,D,M,q,G,n_check,hvi_okA,hvi_okB,argmax_A,argmax_B,errA_med,errA_max,errB_med,tie_n,tie_ok,tie_falha
main,BBOB_F1,10,2,1,200,200,200,190,200,199,0.0,4.998063907399319e-07,0.0,190,190,[]
main,BBOB_F17,10,2,1,200,200,200,3,200,196,2.2842488201830656e-07,4.993746489656559e-07,0.006559499999999999,3,3,[]
main,BBOB_F22,10,2,1,200,200,200,126,200,197,0.0,4.880091984422325e-07,0.0,118,118,[]
main,BBOB_F37,10,2,1,200,200,200,73,200,198,1.2663423413572863e-07,4.988414428423044e-07,0.0014651454974350879,71,71,[]
main,BBOB_F49,10,2,1,200,200,200,38,200,191,1.9865547563392184e-07,4.903692050217565e-07,0.00023403404675875143,33,33,[]
main,BBOB_F5,10,2,1,200,200,200,195,200,200,0.0,4.974404191910448e-07,0.0,195,195,[]
main,BBOB_F55,10,2,1,200,200,200,200,200,200,0.0,0.0,0.0,198,198,[]
main,DTLZ1,7,3,1,140,8,8,5,8,7,0.0,2.936133482595027e-07,0.0,5,5,[]
main,DTLZ2,12,3,1,240,8,8,1,8,4,2.4757225173784383e-07,4.7653368198717974e-07,0.0006431983080403502,0,0,[]
main,DTLZ3,12,3,1,240,8,8,2,8,7,2.4759004992828265e-07,4.777602709835374e-07,0.0041416772256151054,1,1,[]
main,DTLZ4,12,3,1,240,8,8,0,8,1,1.644726260892869e-07,4.465416836314101e-07,0.0079855,0,0,[]
main,DTLZ7,22,3,1,440,8,8,0,8,8,1.9144483692952463e-07,4.869255389372204e-07,0.00041398418978252265,0,0,[]
main,MMF1,2,2,1,40,40,40,40,40,40,0.0,0.0,0.0,12,12,[]
main,MMF11_L,2,2,1,40,40,40,32,40,40,0.0,4.6971694435101255e-07,0.0,11,11,[]
main,MMF16_20,20,3,1,400,8,8,6,8,8,3.5404328022747017e-07,4.71619574393434e-07,3.7250378974665056e-07,0,0,[]
main,MMF4,2,2,1,40,40,40,40,39,39,0.0,4.855878281600015e-07,0.0,5,5,[]
main,WFG1,22,2,1,440,440,440,183,440,185,2.3505662361209012e-07,4.990725203848217e-07,0.0005188680307128643,0,0,[]
main,WFG2,22,2,1,440,440,440,415,440,437,0.0,5.004197625753512e-07,0.0,358,358,[]
main,WFG4,22,2,1,440,440,440,440,440,440,0.0,4.995879785790072e-07,0.0,229,229,[]
main,WFG5,22,2,1,440,440,440,412,440,422,2.4711925093233667e-07,5.022837738415456e-07,2.6978936318906114e-07,0,0,[]
main,WFG9,22,2,1,440,440,440,440,440,440,2.6669853671501324e-07,5.001055336943715e-07,2.6669853671501324e-07,5,5,[]
main,ZDT1,30,2,1,600,600,600,104,600,554,2.058938392267306e-07,4.997814022376706e-07,0.000427084876073247,85,85,[]
main,ZDT3,30,2,1,600,600,600,139,600,559,2.0461792494283568e-07,5.042694346257814e-07,0.00030059128096655884,103,103,[]
main,ZDT4,10,2,1,200,200,200,23,200,200,2.2766708049782453e-07,4.989188048479948e-07,0.0055569999999999994,19,19,[]
main,ZDT6,10,2,1,200,200,200,200,200,200,0.0,4.731376823057762e-07,0.0,175,175,[]
batch,DTLZ2,12,3,10,200,8,4,0,4,2,4.023407355613764e-06,0.004611790387278295,0.002064694406035112,0,0,[]
batch,MMF16_20,20,3,10,200,8,2,0,2,2,0.0002942745405613839,0.0016315747542226381,0.0003002388316288013,0,0,[]
batch,WFG9,22,2,10,200,200,88,88,83,83,8.198628927018272e-06,0.001511417265057733,8.198628927018272e-06,75,54,"[[119, 0.752948689188167, 0.7531424685754704], [128, 0.8216005033465946, 0.8270949671708343], [129, 0.717407803646658, 0.724769896401833], [130, 0.8674910376535336, 0.8739740603312216], [135, 0.7518484273456982, 0.7634883522488547]]"
batch,ZDT1,30,2,10,200,200,105,15,103,76,4.939253340047699e-07,0.007169913918980475,0.0006308410134447761,13,8,"[[69, 0.32554102523164086, 0.32623576818713484], [88, 0.29783166189895144, 0.29895332995552554], [97, 0.17363929316010868, 0.17409614653354216], [99, 0.3336965552115944, 0.3366221284546079], [101, 0.3346370929154503, 0.34017473374636265]]"
batch,ZDT4,10,2,10,200,200,4,4,134,125,0.0016187133872116624,0.01536050305386817,0.0017593090583315082,3,1,"[[1, 0.8346788302539905, 0.8359544699648612], [186, 0.8915465417276266, 0.8955048244586997]]"
