problema,c149,melhor_piso,piso_alg,delta_pct,bate_piso,rank_geral,rank_SA,n_algs
BBOB_F1,0.5081541720123823,0.1359531134257377,nsga2,-273.77163288721135,False,17.0,13.0,17
BBOB_F17,0.1056755247478009,0.0206141256299147,nsga2,-412.6364641653645,False,17.0,13.0,17
BBOB_F22,0.9286986822481096,0.1591300073706684,smsemoa,-483.6100290530696,False,17.0,13.0,17
BBOB_F37,0.6755810637780066,0.2539185871646663,smsemoa,-166.0620757707241,False,17.0,13.0,17
BBOB_F49,0.5068137110939831,0.2070601036537373,nsga2,-144.7664722227311,False,17.0,13.0,17
BBOB_F5,0.6099084260423756,0.1192824482234564,smsemoa,-411.3144767952873,False,17.0,13.0,17
BBOB_F55,1.0904652008015157,0.6061479210199184,nsga2,-79.90083987530203,False,16.0,12.0,16
DTLZ1,103.44305019405188,45.34570273153767,nsga2,-128.1209551574726,False,15.0,11.0,17
DTLZ2,0.4484192148968293,0.1700820491933293,smsemoa,-163.64876071496468,False,16.0,12.0,16
DTLZ3,336.89295211077524,129.76799112603217,smsemoa,-159.6117495442932,False,13.0,9.0,16
DTLZ4,0.8196035272025544,0.2823977915542932,nsga3,-190.23014758420274,False,14.5,10.5,15
DTLZ7,0.8591579138635647,1.1247085866087754,nsga3,23.610620200375628,True,8.0,8.0,15
MMF1,0.1177919509322293,0.0570132770384747,nsga3,-106.60442102413947,False,17.0,13.0,17
MMF11_L,0.0613789322932598,0.0231565498976292,nsga3,-165.0607822175784,False,17.0,13.0,17
MMF16_20,0.0522199649986598,0.0316158421272363,smsemoa,-65.17024847386094,False,14.0,11.0,15
MMF4,0.0670513215866558,0.0377119334276083,nsga3,-77.79868464014791,False,17.0,13.0,17
WFG1,0.9015925076633736,0.4953917959793528,smsemoa,-81.99584954389327,False,12.0,8.0,14
WFG2,0.2350808223111594,0.1227556938180429,nsga2,-91.50298857795768,False,16.0,12.0,16
WFG4,0.1342986272449819,0.044424346453198,smsemoa,-202.30861670968727,False,16.0,12.0,16
WFG5,0.0803683376926884,0.0930752077028518,nsga2,13.652260708061851,True,8.0,8.0,16
WFG9,0.2046600707695784,0.0955346891283579,nsga3,-114.22592425522264,False,15.0,11.0,16
ZDT1,0.2209102947269924,0.4440783896843883,nsga2,50.25421190074214,True,8.0,8.0,16
ZDT3,0.3555264537766425,0.3442625865872861,nsga2,-3.271882460715929,False,9.0,7.0,15
ZDT4,91.92166808266371,43.898268794314845,nsga2,-109.39702317957529,False,17.0,13.0,17
ZDT6,1.7899857857483426,6.445675963031797,nsga2,72.22966534441792,True,8.0,8.0,16
