problema,n_ck,viol_igd,n_trans,ganho,viol_hv,igd_1,igd_last,hv_1,hv_last,fe_1,fe_last
BBOB_F1,20,0,19,51.12342962282702,0,1.6651151931674129,0.032570490779905065,0.0,0.9839327011067097,0,308
BBOB_F17,20,0,19,91.37951695421839,0,2.4167899424756034,0.026447830137758636,0.0,1.0907714210741917,0,308
BBOB_F22,20,0,19,78.50171765001178,0,6.550407018400444,0.08344284958966704,0.0,0.9489453416085135,0,308
BBOB_F37,20,0,19,5.751694610988071,0,1.182738987190214,0.20563313374300202,0.0,0.5499163780802737,0,308
BBOB_F49,20,0,19,9.738063170054502,0,1.3383037553621309,0.13743017805404528,0.0,0.8722624209666889,0,308
BBOB_F5,20,0,19,26.054329955727162,0,0.9165469299595926,0.035178295949926004,0.0,0.8402141539068555,0,308
BBOB_F55,20,0,19,2.4850560088402944,0,1.388541999942182,0.558756822784922,0.0,0.4116882792058892,0,308
DTLZ1,20,0,19,6.263618805111027,0,541.7753550899159,86.49558217812276,0.0,0.0,0,215
DTLZ2,20,0,19,18.0909187467741,0,1.6297304711986438,0.09008555585322335,0.0,0.5388030832287153,0,370
DTLZ3,20,0,19,4.056081401255638,0,914.1600619307801,225.3801074228402,0.0,0.0,0,370
DTLZ7,20,0,19,60.459758767517826,0,2.9506393479468724,0.04880335959150588,0.0,0.5032250974527701,0,680
MMF1,20,0,19,44.31871916286981,0,2.8112970162129414,0.06343362509826872,0.0,0.7549001713379427,0,60
MMF11_L,20,0,19,19.126513080189273,0,0.5728206234612008,0.02994903572123206,0.35491092941886826,0.9682223933349731,0,60
MMF16_20,20,0,19,30.704579560402692,0,0.8559201840763245,0.027875977991899885,0.0007634703280269999,0.7295233826380499,0,618
MMF4,20,0,19,14.527804965961936,0,0.3675238638476179,0.025297962404417708,0.10826590377018551,0.4940557470302433,0,60
WFG2,20,0,19,2.9632977049964992,0,0.6595702461706784,0.22257981203122404,0.0,0.4552433470073791,0,680
WFG4,20,0,19,2.8672353215218904,0,0.32820668172874007,0.11446799614429007,0.036567718036918266,0.21323342766067954,0,680
WFG5,20,0,19,9.254349589360357,0,0.5435150445367514,0.058730766467005494,0.029651148441600016,0.32815005194563446,0,680
WFG9,20,0,19,3.7644677759473897,0,0.6928485995065304,0.18404954982837216,0.0036088482727711945,0.14062624560660097,0,680
ZDT1,20,0,19,146.77882856041126,0,3.825360846748847,0.026062075057196717,0.0,0.8306560414346378,0,928
ZDT3,20,0,19,198.5963893813149,0,2.5208579962367232,0.012693372745042968,0.0,0.6990207471022305,0,928
ZDT4,20,0,19,2.232892579687947,0,160.0026906116995,71.65713750280827,0.0,0.0,0,308
ZDT6,20,0,19,62.4625544531979,0,8.952705826241381,0.14332916584366537,0.0,0.1956456323854505,0,308
