problema,n_iter,match_mu,match_sg,match_both,max_dmu,max_dsg,ei_pool_ok,max_dei,n_nao_greedy,frac_nao_greedy,perc_mu_med,perc_sg_med,perc_mu_ng,perc_sg_ng,rsid_frac,n_pool_med
BBOB_F1,204,127,125,124,15339.783515508789,642.2909153957862,129,0.9991717222518443,143,0.7009803921568627,0.022876794258373204,0.6981564058304565,0.09926470588235294,0.8895348837209303,0.0012495121960557206,420.0
BBOB_F17,206,169,173,169,3.9749558994907366,2.8669257685508054,179,0.07066052142891856,87,0.4223300970873786,0.0,0.7239682729007634,0.03958333333333333,0.7202380952380952,0.0015903444210049998,422.0
BBOB_F22,264,216,217,216,68.75311663800326,85.65695716735186,218,0.972098849943054,112,0.42424242424242425,0.0,0.4100102406554019,0.03414389949528199,0.38874323761964213,0.028089003303542685,480.0
BBOB_F37,515,449,452,449,223.4758773242784,572.8407425368274,452,0.9909179818941481,136,0.26407766990291265,0.0,0.41115702479338845,0.03442956050571944,0.41967893217893215,0.23484114768270012,732.0
BBOB_F49,504,429,430,428,18.66374861705632,49.43224653174512,429,0.9665459433381745,119,0.2361111111111111,0.0,0.4009523665781213,0.03428571428571429,0.4166666666666667,0.3010283760041556,720.0
BBOB_F5,214,119,122,118,922.8266059748676,626.2330241624911,120,0.970436655977331,101,0.4719626168224299,0.0,0.8039181422802113,0.030303030303030304,0.9709821428571429,0.0010002992410670132,430.0
BBOB_F55,201,112,112,110,723.565838257353,211.46968837458493,111,0.9992505634059202,106,0.527363184079602,0.0021929824561403508,0.9330708661417323,0.056429883649724434,0.9844279917635659,0.0011616429640251605,416.0
DTLZ1,153,123,123,121,0.31520959433117063,0.456023588743948,137,0.08711372914098728,108,0.7058823529411765,0.09302325581395349,0.4356060606060606,0.2192651098901099,0.46650641025641026,0.01948177750690257,304.0
DTLZ2,240,192,192,192,0.8767471703972015,16.950818884266383,194,0.7360200744243895,114,0.475,0.0,0.43399979227253843,0.01840170278637771,0.5515095879232966,0.0016516894902467462,500.0
DTLZ3,240,183,184,183,22.52337942788984,2.1950097699821085,192,0.2559446833245046,156,0.65,0.02894620811287478,0.4870886075949367,0.11239410598413843,0.4551431911163063,0.001512645139947147,500.0
DTLZ7,440,350,350,350,627.5042590860446,4685096.146203411,352,1.0,243,0.5522727272727272,0.00168270316664408,0.2885400450465371,0.028,0.2961847389558233,0.0008754913943776298,920.0
MMF1,48,14,13,13,14.192211448286297,119.3724781423853,15,0.4940297420365449,26,0.5416666666666666,0.01303475935828877,0.4889423076923077,0.11853448275862069,0.5755434782608695,0.15344392322993028,88.0
MMF11_L,40,11,7,7,0.9675352464262161,29.177234479853855,15,0.4583276818879948,23,0.575,0.023504273504273504,0.599002849002849,0.16666666666666666,0.6153846153846154,0.05938602543290043,80.0
MMF16_20,400,362,363,362,0.04334916572393085,0.4761950549489211,362,0.3925991209351725,135,0.3375,0.0,0.5905611249804962,0.018318965517241378,0.549831081081081,0.001126585780178102,836.0
MMF4,40,1,1,1,2.201082515823607,5.120001251114846,5,0.260109853002256,31,0.775,0.18020833333333333,0.5,0.2980769230769231,0.5,0.012931034482758622,80.0
WFG2,440,390,390,390,0.10049159747247817,3.1688511184772072,391,0.42251864278934287,179,0.4068181818181818,0.0,0.32678701015965167,0.0038314176245210726,0.44716494845360827,0.0010052807472159659,920.0
WFG4,440,389,389,389,8.151154101472434,1.012188399767383,389,0.18338874746525458,114,0.2590909090909091,0.0,0.27448102128949164,0.0018806561085972851,0.325139470013947,0.0009985726357363204,920.0
WFG5,440,385,385,385,65.64005604234859,13.938711346330052,385,0.5321338784055993,115,0.26136363636363635,0.0,0.4765707265707266,0.002403846153846154,0.4722222222222222,0.0009655119126860132,920.0
WFG9,440,346,346,346,5.88993003552948,8.589058038628453,346,0.7791163738637537,137,0.31136363636363634,0.0,0.16000872738813077,0.002225519287833828,0.3255395683453237,0.000873796441101541,920.0
ZDT1,603,393,396,393,373.29517010111556,4197212.989183935,389,1.0,313,0.5190713101160862,0.000663129973474801,0.14721485411140584,0.008902077151335312,0.21490280777537796,0.0005356299728482055,1260.0
ZDT3,601,390,393,390,92961.98796356833,4399556.270229044,387,1.0,293,0.4875207986688852,0.0,0.11838235294117647,0.006997455470737914,0.146875,0.0005404423811838216,1256.0
ZDT4,200,107,109,107,80.53814834132734,62.796520132441984,112,0.9550717781556831,95,0.475,0.0,0.7727272727272727,0.028169014084507043,0.7076923076923077,0.0013345492202768072,416.0
ZDT6,200,169,170,166,415.3668549665456,31.730903965974576,174,0.6130520631150443,141,0.705,0.04127971372582431,0.8252803626819375,0.1095890410958904,0.8705882352941177,0.0019631521314495827,416.0
