problema,status,fe_final,maxfe,n_geracoes,cache_hits,doe_hash,termino,motivo_parada,fallback_ativado,n_retries,params_keys,p_N_lambda,p_IFEs,p_rho,p_dace,p_theta0,p_theta_bounds,p_warm_theta,p_mle,p_subset,p_normalizacao,p_ga_interno,sonda_keys,sonda_S,sonda_k,sonda_n_blocos,sonda_n_linhas,sonda_n_falhas,sonda_artefato,sonda_geracoes_n,sonda_g_last,fit_series_n,sigma_dict_keys,tempo_total_s,manifest_top_keys
BBOB_F1,ok,309,309,205,5,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,103,206000,0,data/sonda/sonda_BBOB_F1.parquet,103,204,204,mu_0;sigma_0;transf_params,327.114108,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
BBOB_F17,ok,309,309,207,7,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,104,208000,0,data/sonda/sonda_BBOB_F17.parquet,104,206,206,mu_0;sigma_0;transf_params,322.339422,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
BBOB_F22,ok,309,309,265,65,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,133,266000,0,data/sonda/sonda_BBOB_F22.parquet,133,264,264,mu_0;sigma_0;transf_params,429.771871,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
BBOB_F37,ok,309,309,516,316,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,259,518000,0,data/sonda/sonda_BBOB_F37.parquet,259,515,515,mu_0;sigma_0;transf_params,872.31913,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
BBOB_F49,ok,309,309,505,305,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,253,506000,0,data/sonda/sonda_BBOB_F49.parquet,253,504,504,mu_0;sigma_0;transf_params,836.982062,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
BBOB_F5,ok,309,309,215,15,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,108,216000,0,data/sonda/sonda_BBOB_F5.parquet,108,214,214,mu_0;sigma_0;transf_params,331.996878,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
BBOB_F55,ok,309,309,202,2,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,100,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,102,204000,0,data/sonda/sonda_BBOB_F55.parquet,102,201,201,mu_0;sigma_0;transf_params,307.248087,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
DTLZ1,ok,216,216,154,14,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,91,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,78,156000,0,data/sonda/sonda_DTLZ1.parquet,78,153,153,mu_0;sigma_0;transf_params,186.891935,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
DTLZ2,ok,371,371,241,1,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,91,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,121,242000,0,data/sonda/sonda_DTLZ2.parquet,121,240,240,mu_0;sigma_0;transf_params,433.853162,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
DTLZ3,ok,371,371,241,1,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,,,False,0,IFEs;N_lambda;dace;ga_interno;mle;normalizacao;rho;subset;theta0;theta_bounds;warm_theta,91,10000,0.05,regpoly1+corrgauss,10,"[1e-5,20]",True,boxmin SEM restarts (CODIGO; paper: Nelder-Mead 20 restarts),"top-(11D-1+25) por PCheby, deterministico + dedup 1e-6 (CODIGO; paper: 1/2 melhores + 1/2 aleatorias)","min/max do arquivo por iteracao (B1.6 fechada: pelo ARQUIVO, nao por limites conhecidos)","geracional c/ truncamento elitista, torneio bugado (EvolALG:16 — CODIGO K.3, mantido)",S;artefato;f_hash;geracoes;k;n_blocos;n_falhas;n_linhas;regime;tempo_total_s;x_hash,2000,2,121,242000,0,data/sonda/sonda_DTLZ3.parquet,121,240,240,mu_0;sigma_0;transf_params,420.18939,alg;algo_version;cache_hits;created_at;dist;doe_hash;env;exp;fallback_ativado;fe_final;fit_series;maxfe;n_geracoes;n_retries;params;paths;problema;q;regime;repo_hash;run_id;schema_version;semente;sigma_dict;sonda;stack_trace;status;tier;timing;updated_at
