problema,n,n_match,n_last_eq,concord,pos_rel_med,ng_match,n_ng_match,n_m,perc_mu_med_m,perc_sg_med_m,ng_pool
BBOB_F1,204,131,113,186,0.9718253968253968,0.6870229007633588,90,131,0.0147058823529411,0.7735849056603774,0.47549019607843135
BBOB_F17,206,176,139,169,1.0,0.4147727272727273,73,176,0.0,0.7478103103103103,0.3640776699029126
BBOB_F22,264,217,181,228,0.9402852049910874,0.37327188940092165,81,217,0.0,0.3949579831932773,0.3333333333333333
BBOB_F37,515,453,421,483,0.0,0.24503311258278146,111,453,0.0,0.4087982832618025,0.23300970873786409
BBOB_F49,504,432,411,483,0.0,0.18981481481481483,82,432,0.0,0.40113811728395066,0.18452380952380953
BBOB_F5,214,124,96,186,0.945906432748538,0.3790322580645161,47,124,0.0,0.9427777250960125,0.2803738317757009
BBOB_F55,201,117,98,182,0.9615384615384616,0.47863247863247865,56,117,0.0,0.7669902912621359,0.2935323383084577
DTLZ1,153,125,119,143,1.0,0.664,83,125,0.0465116279069767,0.4230769230769231,0.6209150326797386
DTLZ2,240,192,191,239,1.0,0.484375,93,192,0.0,0.45189102564102557,0.45
DTLZ3,240,186,183,237,1.0,0.6505376344086021,121,186,0.0319830878341516,0.507260101010101,0.6208333333333333
DTLZ7,440,350,351,435,1.0,0.5257142857142857,184,350,0.00111616040819575,0.3236858051810331,0.49318181818181817
MMF1,48,14,13,47,0.25903614457831325,0.14285714285714285,2,14,0.0,0.44321428571428567,0.4791666666666667
MMF11_L,40,7,7,40,0.5696457326892109,0.2857142857142857,2,7,0.0,0.3928571428571428,0.4
MMF16_20,400,364,362,398,1.0,0.3324175824175824,121,364,0.0,0.606352823477101,0.3175
MMF4,40,1,1,40,0.5637331936441418,0.0,0,1,0.0,0.4827586206896552,0.75
WFG2,440,390,390,440,1.0,0.4076923076923077,159,390,0.0,0.35544631710362046,0.3977272727272727
WFG4,440,389,389,440,1.0,0.2416452442159383,94,389,0.0,0.2864583333333333,0.2318181818181818
WFG5,440,385,385,440,1.0,0.23636363636363636,91,385,0.0,0.4722222222222222,0.2431818181818182
WFG9,440,346,346,440,1.0,0.29190751445086704,101,346,0.0,0.17021843607718434,0.2681818181818182
ZDT1,603,393,390,600,1.0,0.4631043256997455,182,393,0.0,0.1448763250883392,0.40298507462686567
ZDT3,601,390,388,599,1.0,0.4230769230769231,165,390,0.0,0.15054551267534333,0.37603993344425957
ZDT4,200,110,99,189,0.9648148148148148,0.39090909090909093,43,110,0.0,0.5367537313432835,0.275
ZDT6,200,170,164,190,1.0,0.6941176470588235,118,170,0.03978522336769755,0.8253762583474533,0.665
