label,status,motivo,maxfe,fe_final,n_ger,t_aval_real,t_total,t_fit,t_busca,t_sonda,campanha_id,repo_hash,schema,msl,maxd,n1,n2,n3,n4,n7,n3_busca,n3_sonda,n_ev,recs,regimes,sigma_nan,sigma_cols,mu_nan,rsid_null,fe_tr_uni,ger_min,ger_max,ger_uni,sonda_ger_null,modelo_flags,esp_modelo,colunas_n,tem_sonda_estrat,cols_novas
swap_big-lhs_DTLZ2,ok,orcamento,50000,50000,1000,0.0,10.9692,1.2581,7.6547,0.0945,<AUSENTE>,<AUSENTE>,1,120,100,50000,0,124895,1,105,104895,20000,3,footer|header|sonda,offline|sonda,124895,3,0,124895,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,33,0,
swap_big-lhs_MMF16_20,ok,orcamento,50000,50000,1000,0.0,11.5296,1.8019,7.7932,0.0909,<AUSENTE>,<AUSENTE>,1,200,100,50000,0,124818,1,105,104818,20000,3,footer|header|sonda,offline|sonda,124818,3,0,124818,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,41,0,
swap_big-lhs_WFG9,ok,orcamento,50000,50000,1000,0.0,7.2242,1.5941,3.58,0.0886,<AUSENTE>,<AUSENTE>,1,220,100,50000,0,65294,1,46,45294,20000,3,footer|header|sonda,offline|sonda,65294,2,0,65294,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,41,0,
swap_big-lhs_ZDT1,ok,orcamento,50000,50000,1000,0.0,13.2831,1.7009,3.8316,0.0883,<AUSENTE>,<AUSENTE>,1,300,100,50000,0,69874,1,50,49874,20000,3,footer|header|sonda,offline|sonda,69874,2,0,69874,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,49,0,
swap_big-lhs_ZDT4,ok,orcamento,50000,50000,1000,0.0,6.7214,0.8345,3.1542,0.093,<AUSENTE>,<AUSENTE>,1,100,100,50000,0,57073,1,36,37073,20000,3,footer|header|sonda,offline|sonda,57073,2,0,57073,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,29,0,
swap_big-mvns_DTLZ2,ok,orcamento,50000,50000,1000,0.0,13.9358,1.9157,8.983,0.166,<AUSENTE>,<AUSENTE>,1,120,100,50000,0,121957,1,102,101957,20000,4,footer|header|sonda,offline|sonda,121957,3,0,121957,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,33,0,
swap_big-mvns_MMF16_20,ok,orcamento,50000,50000,1000,0.0,15.7127,2.9311,8.9529,0.1491,<AUSENTE>,<AUSENTE>,1,200,100,50000,0,121102,1,102,101102,20000,2,header|sonda,offline|sonda,121102,3,0,121102,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,41,0,
swap_big-mvns_WFG9,ok,orcamento,50000,50000,1000,0.0,7.5384,1.3942,4.1057,0.0929,<AUSENTE>,<AUSENTE>,1,220,100,50000,0,66596,1,47,46596,20000,4,footer|header|sonda,offline|sonda,66596,2,0,66596,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,41,0,
swap_big-mvns_ZDT1,ok,orcamento,50000,50000,1000,0.0,7.8988,1.6736,4.1636,0.0926,<AUSENTE>,<AUSENTE>,1,300,100,50000,0,67737,1,48,47737,20000,4,footer|header|sonda,offline|sonda,67737,2,0,67737,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,49,0,
swap_big-mvns_ZDT4,ok,orcamento,50000,50000,1000,0.0,5.8615,0.6256,3.2705,0.092,<AUSENTE>,<AUSENTE>,1,100,100,50000,0,57281,1,37,37281,20000,3,footer|header|sonda,offline|sonda,57281,2,0,57281,[49999],1,1000,1000,20000,treed_media/RVEA-arvore-media,cru,29,0,
