alg,label,t_aval_real,maxfe
treed_media,swap_big-lhs_DTLZ2,0.0,50000
treed_media,swap_big-lhs_MMF16_20,0.0,50000
treed_media,swap_big-lhs_WFG9,0.0,50000
treed_media,swap_big-lhs_ZDT1,0.0,50000
treed_media,swap_big-lhs_ZDT4,0.0,50000
treed_media,swap_big-mvns_DTLZ2,0.0,50000
treed_media,swap_big-mvns_MMF16_20,0.0,50000
treed_media,swap_big-mvns_WFG9,0.0,50000
treed_media,swap_big-mvns_ZDT1,0.0,50000
treed_media,swap_big-mvns_ZDT4,0.0,50000
c311,BBOB_F1,0.0,309
c311,BBOB_F17,0.0,309
c311,BBOB_F22,0.0,309
c311,BBOB_F37,0.0,309
c311,BBOB_F49,0.0,309
c311,BBOB_F5,0.0,309
c311,BBOB_F55,0.0,309
c311,DTLZ1,0.0,216
c311,DTLZ2,0.0,371
c311,DTLZ3,0.0,371
c311,DTLZ4,0.0,371
c311,DTLZ7,0.0,681
c311,MMF1,0.0,61
c311,MMF11_L,0.0,61
c311,MMF16_20,0.0,619
c311,MMF4,0.0,61
c311,WFG1,0.0,681
c311,WFG2,0.0,681
c311,WFG4,0.0,681
c311,WFG5,0.0,681
c311,WFG9,0.0,681
c311,ZDT1,0.0,929
c311,ZDT3,0.0,929
c311,ZDT4,0.0,309
c311,ZDT6,0.0,309
c311,swap_big-lhs_DTLZ2,0.0,50000
c311,swap_big-lhs_MMF16_20,0.0,50000
c311,swap_big-lhs_WFG9,0.0,50000
c311,swap_big-lhs_ZDT1,0.0,50000
c311,swap_big-lhs_ZDT4,0.0,50000
c311,swap_big-mvns_DTLZ2,0.0,50000
c311,swap_big-mvns_MMF16_20,0.0,50000
c311,swap_big-mvns_WFG9,0.0,50000
c311,swap_big-mvns_ZDT1,0.0,50000
c311,swap_big-mvns_ZDT4,0.0,50000
c311,swap_medium-lhs_DTLZ2,0.0,2000
c311,swap_medium-lhs_MMF16_20,0.0,2000
c311,swap_medium-lhs_WFG9,0.0,2000
c311,swap_medium-lhs_ZDT1,0.0,2000
c311,swap_medium-lhs_ZDT4,0.0,2000
c311,swap_medium-mvns_DTLZ2,0.0,2000
c311,swap_medium-mvns_MMF16_20,0.0,2000
c311,swap_medium-mvns_WFG9,0.0,2000
c311,swap_medium-mvns_ZDT1,0.0,2000
c311,swap_medium-mvns_ZDT4,0.0,2000
c311,swap_small-lhs_DTLZ2,0.0,371
c311,swap_small-lhs_MMF16_20,0.0,619
c311,swap_small-lhs_WFG9,0.0,681
c311,swap_small-lhs_ZDT1,0.0,929
c311,swap_small-lhs_ZDT4,0.0,309
