exp,prob,M,n,ok,e_min_max,e_max_max,e_s2_max,e_med,primeira_falha
main,BBOB_F1,2,200,200,5.24009475200149e-07,6.073147840179871e-07,5.000898760376682e-07,4.4973289774208336e-07,
main,BBOB_F17,2,200,200,5.132614530056756e-07,5.962079736576698e-07,5.09912573609661e-07,4.550297219296784e-07,
main,BBOB_F22,2,200,200,6.374065916539551e-07,6.655173123704117e-07,5.51047328434251e-07,4.5968772896531895e-07,
main,BBOB_F37,2,200,200,5.808279776031711e-07,6.08094286480565e-07,5.777933675954472e-07,4.529288278876109e-07,
main,BBOB_F49,2,200,200,9.990535428938685e-07,9.867761001092212e-07,8.460657010544992e-07,5.13742761804048e-07,
main,BBOB_F5,2,200,200,6.057710650875237e-07,6.728482480067299e-07,5.428131810703007e-07,4.4280136046737084e-07,
main,BBOB_F55,2,200,200,1.1292272557028582e-06,1.1902771398231149e-06,5.125707567832372e-07,7.194362159901324e-07,
main,DTLZ1,3,140,140,5.031238149433293e-07,5.82347556177254e-07,5.06185176524232e-07,4.67484768527926e-07,
main,DTLZ2,3,240,240,5.011293988665955e-07,5.631451962528899e-07,5.454960727568903e-07,4.6213116362825435e-07,
main,DTLZ3,3,240,240,5.066822620358735e-07,6.357483373076178e-07,5.125330874711231e-07,4.762774944988557e-07,
main,DTLZ4,3,240,240,5.491721295491914e-07,6.224281774436236e-07,6.311362912292395e-07,4.736619391987329e-07,
main,DTLZ7,3,440,440,5.926641575282332e-07,6.912844177087152e-07,5.766100468207469e-07,4.636591299442272e-07,
main,MMF1,2,40,40,5.843839463760825e-07,5.366525223648999e-07,4.975547341955558e-07,4.4500075777292696e-07,
main,MMF11_L,2,40,40,5.14328537981612e-07,5.463772086988783e-07,5.01406616087996e-07,4.3721506311211744e-07,
main,MMF16_20,3,400,400,5.136616554324291e-07,6.399115073385531e-07,5.593116914059948e-07,4.6980176998667744e-07,
main,MMF4,2,40,40,5.256764312178142e-07,5.550915485041941e-07,4.881958781677298e-07,4.421334365498075e-07,
main,WFG1,2,440,440,2.3684026397852165e-06,1.699148626688185e-06,9.264207836423566e-07,7.633277312457665e-07,
main,WFG2,2,440,440,5.553251578582774e-07,6.377596226680993e-07,5.093565856317817e-07,4.5443506107439857e-07,
main,WFG4,2,440,440,5.732457486473663e-07,7.234721519644438e-07,7.82963874179643e-07,4.574547135538509e-07,
main,WFG5,2,440,440,6.17315444539912e-07,7.746803509789402e-07,5.7487016960067194e-06,4.650685649365549e-07,
main,WFG9,2,440,440,5.88640568843779e-07,7.190716746485748e-07,2.9145128621621552e-06,4.75937214416966e-07,
main,ZDT1,2,600,600,5.464720780334886e-07,6.50333730867203e-07,6.302747252995289e-07,4.52905071529619e-07,
main,ZDT3,2,600,600,5.497016177802294e-07,6.827584613233739e-07,4.449964563946196e-06,4.5639574414169104e-07,
main,ZDT4,2,200,200,5.616386926643457e-07,6.62217384594932e-07,5.077466301572908e-07,4.511665338963189e-07,
main,ZDT6,2,200,200,7.560307070941796e-07,1.0293041342035458e-06,5.093920409926511e-07,4.806555155625891e-07,
batch,DTLZ2,3,200,200,5.022864419945705e-07,5.92200836813106e-07,6.077145069394163e-07,4.6807603254483965e-07,
batch,MMF16_20,3,200,200,5.016194839502219e-07,6.031440940024169e-07,5.239198115347676e-07,4.6058434072238086e-07,
batch,WFG9,2,200,200,5.957556121760632e-07,6.917727093380677e-07,5.720334363967794e-07,4.6166809170022916e-07,
batch,ZDT1,2,200,200,5.00195641572887e-07,6.450801888213675e-07,5.096879825416956e-07,4.616886790185376e-07,
batch,ZDT4,2,200,0,0.5215021957123036,1.572322337715955,0.9240531603371906,0.46029426484850056,1.0
