exp,prob,n,ok,unicos
main,BBOB_F1,200,200,200
main,BBOB_F17,200,200,200
main,BBOB_F22,200,200,200
main,BBOB_F37,200,200,200
main,BBOB_F49,200,200,200
main,BBOB_F5,200,200,200
main,BBOB_F55,200,200,200
main,DTLZ1,140,140,140
main,DTLZ2,240,240,240
main,DTLZ3,240,240,240
main,DTLZ4,240,240,240
main,DTLZ7,440,440,440
main,MMF1,40,40,40
main,MMF11_L,40,40,40
main,MMF16_20,400,400,400
main,MMF4,40,40,40
main,WFG1,440,440,440
main,WFG2,440,440,440
main,WFG4,440,440,440
main,WFG5,440,440,440
main,WFG9,440,440,440
main,ZDT1,600,600,600
main,ZDT3,600,600,600
main,ZDT4,200,200,200
main,ZDT6,200,200,200
batch,DTLZ2,200,200,200
batch,MMF16_20,200,200,200
batch,WFG9,200,200,200
batch,ZDT1,200,200,200
batch,ZDT4,200,200,200
