exp,prob,D,M,q,n,X_bitexato,dX_max,U11_wape_medio,U11_wape,U11_cob_medio,x_min,x_max
main,BBOB_F1,10,2,1,200,200,0.0,0.2279988745429855,"[0.2274, 0.2286]",0.7224999999999999,-4.9999918937683105,4.999999046325684
main,BBOB_F17,10,2,1,200,200,0.0,0.44667516778435884,"[0.1566, 0.7368]",0.685,-4.999987602233887,4.9999871253967285
main,BBOB_F22,10,2,1,200,200,0.0,0.1730037324098832,"[0.2014, 0.1446]",0.6625,-5.0,4.999998569488525
main,BBOB_F37,10,2,1,200,200,0.0,0.3579805568612096,"[0.1977, 0.5182]",0.6225,-5.0,5.0
main,BBOB_F49,10,2,1,200,200,0.0,0.3693996250690614,"[0.7126, 0.0262]",0.825,-4.999948024749756,4.999996662139893
main,BBOB_F5,10,2,1,200,200,0.0,0.21024870729187276,"[0.2495, 0.171]",0.7324999999999999,-4.999996662139893,4.999998092651367
main,BBOB_F55,10,2,1,200,200,0.0,0.042428176544825155,"[0.0415, 0.0433]",0.6275,-5.0,5.0
main,DTLZ1,7,3,1,140,140,0.0,1.454192156612948,"[3.0221, 0.7203, 0.6202]",0.6261904761904762,8.673709572804e-08,0.9999998211860657
main,DTLZ2,12,3,1,240,240,0.0,1.154050095845117,"[3.0821, 0.3034, 0.0767]",0.7569444444444445,8.024979365472973e-07,0.9999989867210388
main,DTLZ3,12,3,1,240,240,0.0,1.9986539972500188,"[5.1557, 0.6218, 0.2185]",0.5194444444444445,8.227644343605789e-07,0.9999991059303284
main,DTLZ4,12,3,1,240,240,0.0,0.6920130808816065,"[0.0995, 1.1064, 0.8701]",0.7944444444444444,1.0011614222094067e-06,0.999988853931427
main,DTLZ7,22,3,1,440,440,0.0,0.40139241449489055,"[0.5845, 0.5769, 0.0428]",0.28484848484848485,2.681901207779447e-07,0.9999994039535522
main,MMF1,2,2,1,40,40,0.0,0.1629889137032182,"[0.2854, 0.0406]",0.4625,-1.0,3.0
main,MMF11_L,2,2,1,40,40,0.0,0.4256936677090948,"[0.359, 0.4924]",0.625,0.10000000149011612,1.100000023841858
main,MMF16_20,20,3,1,400,400,0.0,0.37392651399067667,"[0.6322, 0.3479, 0.1417]",0.6325,1.4356474821397569e-05,0.9999995231628418
main,MMF4,2,2,1,40,40,0.0,0.617045537293162,"[0.2776, 0.9564]",0.1875,-1.0,2.0
main,WFG1,22,2,1,440,440,0.0,0.039075657503822706,"[0.01, 0.0682]",0.7625,2.6597732357913628e-05,43.9984016418457
main,WFG2,22,2,1,440,440,0.0,0.1193531886672307,"[0.0748, 0.1639]",0.8056818181818182,1.834637987485621e-05,43.97376251220703
main,WFG4,22,2,1,440,440,0.0,0.2912036373691603,"[0.2241, 0.3583]",0.5909090909090909,3.244884283049032e-06,43.997962951660156
main,WFG5,22,2,1,440,440,0.0,0.28631581414658813,"[0.4629, 0.1098]",0.3375,0.0002844671253114939,43.99745178222656
main,WFG9,22,2,1,440,440,0.0,0.2782245462479759,"[0.3412, 0.2152]",0.17954545454545454,6.032768214936368e-05,43.99903869628906
main,ZDT1,30,2,1,600,600,0.0,0.41147005557116156,"[0.7589, 0.0641]",0.9750000000000001,7.122405918380537e-07,0.9999988675117493
main,ZDT3,30,2,1,600,600,0.0,0.256427818683988,"[0.4391, 0.0738]",0.9583333333333333,2.259725961906156e-09,0.9999927282333374
main,ZDT4,10,2,1,200,200,0.0,0.2555311611775475,"[0.3997, 0.1113]",0.4525,-4.999643325805664,4.999999046325684
main,ZDT6,10,2,1,200,200,0.0,0.09533700403295103,"[0.0256, 0.1651]",0.7675000000000001,3.928679745968111e-07,0.9999992847442627
batch,DTLZ2,12,3,10,2000,2000,0.0,0.2848422841011676,"[0.5041, 0.2525, 0.0979]",0.7503333333333333,3.887762645149451e-08,0.9999999403953552
batch,MMF16_20,20,3,10,2000,2000,0.0,0.3328125069919206,"[0.4422, 0.4552, 0.1011]",0.8331666666666666,3.5741950910050946e-07,0.9999993443489075
batch,WFG9,22,2,10,2000,2000,0.0,0.2832588782362929,"[0.3594, 0.2072]",0.49675,4.39338618889451e-05,43.98855972290039
batch,ZDT1,30,2,10,2000,2000,0.0,0.11410877595289323,"[0.1778, 0.0504]",0.9395,8.631947601145384e-09,0.9999992847442627
batch,ZDT4,10,2,10,2000,0,9.99983024597168,0.7203991206354495,"[1.3373, 0.1035]",0.397,-4.999953746795654,5.0
