exp,prob,n_online,n_sonda,err_online_max,err_sonda_max,n_transf_nao_unico
main,BBOB_F1,200,101,4.99575833146082e-07,4.984210022485058e-07,0
main,BBOB_F17,200,101,4.995981726096943e-07,4.995981726096943e-07,0
main,BBOB_F22,200,101,4.994217306375504e-07,4.985087116438081e-07,0
main,BBOB_F37,200,101,4.998073563911021e-07,4.998073563911021e-07,0
main,BBOB_F49,200,101,4.984729002899257e-07,4.975092187109453e-07,0
main,BBOB_F5,200,101,4.999708522746005e-07,4.999708522746005e-07,0
main,BBOB_F55,200,101,4.998897482622056e-07,4.998897482622056e-07,0
main,DTLZ1,140,71,4.999766431978969e-07,4.993006257336674e-07,0
main,DTLZ2,240,121,4.998756173435481e-07,4.99694576383547e-07,0
main,DTLZ3,240,121,4.999520797355217e-07,4.999520797355217e-07,0
main,DTLZ4,240,121,4.999181215659121e-07,4.994338088787353e-07,0
main,DTLZ7,440,221,4.99573124784769e-07,4.993613401949037e-07,0
main,MMF1,40,21,4.978405031552668e-07,4.978405031552668e-07,0
main,MMF11_L,40,21,4.95902419239691e-07,4.935175628162369e-07,0
main,MMF16_20,400,201,4.996910919485842e-07,4.992426823058338e-07,0
main,MMF4,40,21,4.912502707954403e-07,4.912502707954403e-07,0
main,WFG1,440,221,4.998459771921038e-07,4.998459771921038e-07,0
main,WFG2,440,221,4.999587092102686e-07,4.999587092102686e-07,0
main,WFG4,440,221,4.999827276641611e-07,4.986952588659221e-07,0
main,WFG5,440,221,4.997466044320831e-07,4.991801012543817e-07,0
main,WFG9,440,221,4.999240023062512e-07,4.989322690551745e-07,0
main,ZDT1,600,301,4.999499996216628e-07,4.991652229335841e-07,0
main,ZDT3,600,301,4.998103206865778e-07,4.998103206865778e-07,0
main,ZDT4,200,101,4.99986450741563e-07,4.99986450741563e-07,0
main,ZDT6,200,101,4.999126275995192e-07,4.979923288184196e-07,0
batch,DTLZ2,200,101,4.997720930433047e-07,4.997720930433047e-07,0
batch,MMF16_20,200,101,4.998247884469009e-07,4.989268562738403e-07,0
batch,WFG9,200,101,4.993905348138483e-07,4.993905348138483e-07,0
batch,ZDT1,200,101,4.999656614546044e-07,4.976810299983647e-07,0
batch,ZDT4,200,101,7.772817244998329,7.772817244998329,0
