exp,prob,D,M,n_init,n_fe,igdp_doe,igdp_final,ganho_pct,hv_doe,hv_final,nd_doe,nd_final,igd_doe,igd_final,traj_viol,traj_pior,traj_n,traj_ini,traj_fim
main,BBOB_F1,10,2,109,309,0.5081541720123823,0.5081541720123823,0.0,0.2872519427707468,0.2872519427707468,7,7,0.5114941402469668,0.5114941402469668,0,0.0,19,1.6651151931674129,0.5081541720123823
main,BBOB_F17,10,2,109,309,0.10567552474780093,0.10567552474780093,0.0,1.014810130745111,1.014810130745111,6,6,0.14621719392241808,0.14621719392241808,0,0.0,19,2.4167899424756034,0.10567552474780093
main,BBOB_F22,10,2,109,309,0.9286986822481096,0.9286986822481096,0.0,0.0,0.0,5,5,0.9331731621317669,0.9331731621317669,0,0.0,19,6.550407018400444,0.9286986822481096
main,BBOB_F37,10,2,109,309,0.6755810637780066,0.6755810637780066,0.0,0.12169186279737532,0.12169186279737532,5,5,0.6755810637780066,0.6755810637780066,0,0.0,19,1.182738987190214,0.6755810637780066
main,BBOB_F49,10,2,109,309,0.5068137110939831,0.5068137110939831,0.0,0.4345614743603784,0.4345614743603784,5,5,0.5070377927854303,0.5070377927854303,0,0.0,19,1.3383037553621309,0.5068137110939831
main,BBOB_F5,10,2,109,309,0.6099084260423756,0.6099084260423756,0.0,0.07879277077616068,0.07879277077616068,7,7,0.6099084260423756,0.6099084260423756,0,0.0,19,0.9165469299595926,0.6099084260423756
main,BBOB_F55,10,2,109,309,1.0904652008015157,1.0904652008015157,0.0,0.018450428239994543,0.018450428239994543,4,4,1.0904703413098003,1.0904703413098003,0,0.0,19,1.388541999942182,1.0904652008015157
main,DTLZ1,7,3,76,216,115.24365938433125,103.44305019405188,10.23970364471419,0.0,0.0,17,21,115.24365938433125,103.44336353930372,0,0.0,19,541.7753550899159,103.44305019405188
main,DTLZ2,12,3,131,371,0.44841921489682934,0.44841921489682934,0.0,0.05217196099724282,0.05217196099724282,40,63,0.45591205019161646,0.45591205019161646,0,0.0,19,1.6297304711986438,0.44841921489682934
main,DTLZ3,12,3,131,371,446.9151347401834,336.89295211077524,24.618137556108987,0.0,0.0,19,29,446.9151347401834,336.89295211077524,0,0.0,19,914.1600619307801,336.89295211077524
main,DTLZ4,12,3,131,371,0.8196035272025544,0.8196035272025544,0.0,0.0,0.0,7,17,1.0060089260372738,1.0060089260372738,0,0.0,19,1.2302654075242083,0.8196035272025544
main,DTLZ7,22,3,241,681,2.6969546366218813,0.8591579138635647,68.14340507633757,0.0,0.0028276437532916217,21,60,2.702861625419689,0.8600219922256023,0,0.0,19,2.9506393479468724,0.8591579138635647
main,MMF1,2,2,21,61,0.11779195093222931,0.11779195093222931,0.0,0.6182973994996295,0.6182973994996295,7,7,0.15897539732924681,0.15897539732924681,0,0.0,19,2.8112970162129414,0.11779195093222931
main,MMF11_L,2,2,21,61,0.06137893229325984,0.06137893229325984,0.0,0.8850782507405461,0.8850782507405461,9,22,0.10870224837816722,0.10870224837816722,0,0.0,19,0.5728206234612008,0.06137893229325984
main,MMF16_20,20,3,219,619,0.07778609577957092,0.052219964998659885,32.86722456589152,0.5558593727258982,0.6491845599590373,50,79,0.11419472716790331,0.09474536971080103,0,0.0,19,0.8559201840763245,0.052219964998659885
main,MMF4,2,2,21,61,0.06833914869566715,0.06705132158665583,1.8844646642385965,0.40594712307390246,0.41419331004528054,9,15,0.07761827188143246,0.07508454101551663,0,0.0,19,0.3675238638476179,0.06705132158665583
main,WFG1,22,2,241,681,1.0002612839786904,0.9015925076633735,9.864300247915917,0.0,0.0,18,160,1.0406133411575091,0.9251678595395634,0,0.0,19,1.1163446066331106,0.9015925076633735
main,WFG2,22,2,241,681,0.23508082231115943,0.23508082231115943,0.0,0.4320540340571579,0.4320540340571579,8,14,0.23626279038593845,0.23626279038593845,0,0.0,19,0.6595702461706784,0.23508082231115943
main,WFG4,22,2,241,681,0.13446156282719976,0.13429862724498193,0.12117632637308062,0.20039566877866266,0.20039566877866266,30,35,0.13447356529294802,0.13431062971073018,0,0.0,19,0.32820668172874007,0.13429862724498193
main,WFG5,22,2,241,681,0.2161614851404197,0.08036833769268845,62.82023245700744,0.13197839756008167,0.2925921376502109,36,39,0.21620910112501074,0.08312199490960713,0,0.0,19,0.5435150445367514,0.08036833769268845
main,WFG9,22,2,241,681,0.23871495888219296,0.20466007076957848,14.265921277862079,0.09152916062047177,0.11209716410041677,15,15,0.23944333654725677,0.20725362176923035,0,0.0,19,0.6928485995065304,0.20466007076957848
main,ZDT1,30,2,329,929,2.0959124181730164,0.22091029472699242,89.45994628346362,0.0,0.4498847771266805,14,14,2.0961871999520363,0.22307864409583175,0,0.0,19,3.825360846748847,0.22091029472699242
main,ZDT3,30,2,329,929,1.2547385087520777,0.35552645377664255,71.66529509561019,0.0,0.14538442518027325,12,17,1.2547391413247158,0.37889346555539805,0,0.0,19,2.5208579962367232,0.35552645377664255
main,ZDT4,10,2,109,309,91.92166808266371,91.92166808266371,0.0,0.0,0.0,8,11,91.9219260069599,91.9219260069599,0,0.0,19,160.0026906116995,91.92166808266371
main,ZDT6,10,2,109,309,7.997337194625095,1.7899857857483426,77.61772772378076,0.0,0.0,7,10,7.9973385029384945,1.7899857857483426,0,0.0,19,8.952705826241381,1.7899857857483426
batch,DTLZ2,12,3,131,2131,0.44841921489682934,0.44841921489682934,0.0,0.05217196099724282,0.05217196099724282,40,149,0.45591205019161646,0.45591205019161646,0,0.0,19,1.6297304711986438,0.44841921489682934
batch,MMF16_20,20,3,219,2219,0.07778609577957092,0.04436671344861178,42.963182553425085,0.5558593727258982,0.6828519414429548,50,129,0.11419472716790331,0.07880064409239403,0,0.0,19,0.8559201840763245,0.04436671344861178
batch,WFG9,22,2,241,2241,0.23871495888219296,0.14204619142861874,40.495479590485466,0.09152916062047177,0.173356786159572,15,11,0.23944333654725677,0.15285594244041736,0,0.0,19,0.6928485995065304,0.14204619142861874
batch,ZDT1,30,2,329,2329,2.0959124181730164,0.0736823839455764,96.4844721894532,0.0,0.7566066589821218,14,58,2.0961871999520363,0.07430445956129382,0,0.0,19,3.825360846748847,0.0736823839455764
batch,ZDT4,10,2,109,2109,91.92166808266371,91.92166808266371,0.0,0.0,0.0,8,15,91.9219260069599,91.9219260069599,0,0.0,19,160.0026906116995,91.92166808266371
