problema,D,init,maxfe,fe_ultima_ger,linhas_fantasma,n_gen_log,ch_seeding,ch_evolucao,hard_stop,sid_repetido,pos_no_pop1,hs_detalhe
BBOB_F1,10,109,309,309,0,11,21,0,0,45,0,
BBOB_F17,10,109,309,309,0,11,21,0,0,4,0,
BBOB_F22,10,109,309,309,0,11,21,0,0,14,0,
BBOB_F37,10,109,309,309,0,11,21,0,0,13,0,
BBOB_F49,10,109,309,309,0,11,21,0,0,17,0,
BBOB_F5,10,109,309,309,0,11,21,0,0,13,0,
BBOB_F55,10,109,309,309,0,11,21,0,0,23,0,
DTLZ1,7,76,216,216,0,8,21,0,0,32,0,
DTLZ2,12,131,371,371,0,13,21,0,0,3,0,
DTLZ3,12,131,371,371,0,13,21,0,0,32,0,
DTLZ4,12,131,371,371,0,13,21,0,0,14,0,
DTLZ7,22,241,681,681,0,23,21,0,0,96,0,
MMF1,2,21,61,55,6,3,21,6,1,17,0,"{""ts"": ""2026-07-26T10:40:54Z"", ""rec"": ""guard"", ""name"": ""hard_stop"", ""fe"": 61, ""maxfe"": 61, ""x_key"": ""92CFB2C17E650140""}"
MMF11_L,2,21,61,55,6,3,21,6,1,12,0,"{""ts"": ""2026-07-26T10:40:56Z"", ""rec"": ""guard"", ""name"": ""hard_stop"", ""fe"": 61, ""maxfe"": 61, ""x_key"": ""205A28AF4BB0C93F""}"
MMF16_20,20,219,619,619,0,21,21,0,0,38,0,
MMF4,2,21,61,57,4,3,21,5,1,8,0,"{""ts"": ""2026-07-26T10:41:08Z"", ""rec"": ""guard"", ""name"": ""hard_stop"", ""fe"": 61, ""maxfe"": 61, ""x_key"": ""87F707941BF5EBBF""}"
WFG1,22,241,681,681,0,23,21,0,0,169,0,
WFG2,22,241,681,681,0,23,21,0,0,144,0,
WFG4,22,241,681,681,0,23,21,0,0,22,0,
WFG5,22,241,681,681,0,23,21,0,0,37,0,
WFG9,22,241,681,681,0,23,21,0,0,132,0,
ZDT1,30,329,929,929,0,31,21,0,0,261,0,
ZDT3,30,329,929,929,0,31,21,0,0,219,0,
ZDT4,10,109,309,309,0,11,21,0,0,38,0,
ZDT6,10,109,309,309,0,11,21,0,0,5,0,
