problema,n_ckpt,viol_igd,viol_hv,viol_nd,igd_ini,igd_fim,ganho,fe_ini,fe_fim,nd_fim
BBOB_F1,20,0,0,5,1.6651151931674129,0.14809152271195844,0.9110622956780209,0,308,20
BBOB_F17,20,0,0,3,2.4167899424756034,0.021335428148261813,0.9911719972955502,0,308,13
BBOB_F22,20,0,0,4,6.550407018400444,0.15913000737066843,0.9757068519675703,0,308,26
BBOB_F37,20,0,0,2,1.182738987190214,0.25391858716466637,0.7853130826710206,0,308,8
BBOB_F49,20,0,0,3,1.3383037553621309,0.2961792032016101,0.7786905984423041,0,308,17
BBOB_F5,20,0,0,4,0.9165469299595926,0.11928244822345649,0.8698566932860544,0,308,11
BBOB_F55,20,0,0,4,1.388541999942182,0.7289744263759702,0.4750072908083989,0,308,10
DTLZ1,20,0,0,6,541.7753550899159,63.71341357744688,0.8823988337991626,0,215,20
DTLZ2,20,0,0,5,1.6297304711986438,0.17008204919332934,0.8956379277438211,0,370,45
DTLZ3,20,0,0,10,914.1600619307801,129.76799112603217,0.8580467507495879,0,370,12
DTLZ4,20,0,0,6,1.2302654075242083,0.3321667090240134,0.730004024341002,0,370,6
DTLZ7,20,0,0,8,2.9506393479468724,1.8809617636365812,0.36252400180815025,0,680,4
MMF1,20,0,0,0,2.8112970162129414,0.07143420485412859,0.9745903031795777,0,60,10
MMF11_L,20,0,0,1,0.5728206234612008,0.041454399795826734,0.9276310975932684,0,60,22
MMF16_20,20,0,0,2,0.8559201840763245,0.03161584212723634,0.9630621608002445,0,618,287
MMF4,20,0,0,0,0.3675238638476179,0.04709143896817028,0.8718683503292313,0,60,22
WFG1,20,0,0,1,1.1163446066331106,0.4953917959793528,0.5562375694424218,0,680,75
WFG2,20,0,0,8,0.6595702461706784,0.14229872897499665,0.7842553847734155,0,680,13
WFG4,20,0,0,2,0.32820668172874007,0.04442434645319808,0.8646452100877263,0,680,65
WFG5,20,0,0,3,0.5435150445367514,0.09415778830483724,0.8267613946453133,0,680,51
WFG9,20,0,0,6,0.6928485995065304,0.11138753745331369,0.8392324996649375,0,680,35
ZDT1,20,0,0,7,3.825360846748847,0.700594322143167,0.8168553633996128,0,928,27
ZDT3,20,0,0,5,2.5208579962367232,0.3504989313662802,0.8609604619183133,0,928,34
ZDT4,20,0,0,5,160.0026906116995,47.101878260869746,0.7056182112888443,0,308,2
ZDT6,20,0,0,4,8.952705826241381,6.605030137633778,0.26223085335009033,0,308,6
