problema,igd_sms,rank_global,n_configs,rank_hv,n_sa,sa_pior_que_piso,sa_melhor,melhor_sa,igd_melhor_sa,razao_sms_melhorSA
BBOB_F1,0.1480915227119584,13,17,13,13,3,10,c262,0.0014561014382336,101.70412501728491
BBOB_F17,0.0213354281482618,5,17,2,13,10,3,b4,0.0169204487831311,1.2609256658447634
BBOB_F22,0.1591300073706684,8,17,8,13,6,7,c141,0.0343287612981191,4.635471871202858
BBOB_F37,0.2539185871646663,11,17,10,13,3,10,c141,0.1024378970815427,2.4787563430996813
BBOB_F49,0.2961792032016101,11,17,12,13,4,9,c141,0.0808517926800655,3.6632360691568797
BBOB_F5,0.1192824482234564,11,17,11,13,3,10,c262,0.0048277052418038,24.707897903660808
BBOB_F55,0.7289744263759702,14,16,14,12,1,11,c141,0.0131182527468183,55.56947563407601
DTLZ1,63.71341357744688,6,17,1,13,11,2,c122,54.67301493709471,1.1653539438195206
DTLZ2,0.1700820491933293,8,16,9,12,5,7,c262,0.0306550164345873,5.548261556351016
DTLZ3,129.76799112603217,1,16,1,12,12,0,c122,187.57772767667743,0.6918091648370412
DTLZ4,0.3321667090240134,7,15,9,11,7,4,c122,0.116479171704431,2.8517262285045715
DTLZ7,1.8809617636365812,15,15,8,11,0,11,c141,0.0348965794170276,53.90103543268129
MMF1,0.0714342048541285,16,17,16,13,1,12,e81,0.0368606366708409,1.9379536357991747
MMF11_L,0.0414543997958267,13,17,14,13,3,10,c238,0.0119608514985232,3.4658401871258957
MMF16_20,0.0316158421272363,7,15,7,11,5,6,c238,0.0189070252046334,1.6721743259478201
MMF4,0.0470914389681702,16,17,16,13,1,12,c262,0.021017978540486,2.240531308824969
WFG1,0.4953917959793528,2,14,4,10,9,1,b4,0.4903966551100259,1.0101859195352916
WFG2,0.1422987289749966,5,16,5,12,10,2,c262,0.0565254541946007,2.517427431632897
WFG4,0.044424346453198,1,16,1,12,12,0,b4,0.0651114772864435,0.6822813473846239
WFG5,0.0941577883048372,10,16,9,12,4,8,c238,0.0301642307265236,3.1215047106122173
WFG9,0.1113875374533136,7,16,7,12,8,4,c141,0.0750818925426917,1.4835472799247629
ZDT1,0.700594322143167,12,16,12,12,2,10,c262,0.000702785674901,996.8819046316763
ZDT3,0.3504989313662802,8,15,10,11,5,6,b1,0.0126933727450429,27.612750244268952
ZDT4,47.101878260869746,7,17,1,13,9,4,c262,5.928104893929911,7.945520381918303
ZDT6,6.605030137633778,13,16,6,12,1,11,c262,0.0024453730300986,2701.031726585885
