problema,smsemoa_N,nsga2_N,nsga3_N,moead_N,nsga2_igual,nsga2_inter,nsga2_prefixo,nsga3_igual,nsga3_inter,nsga3_prefixo,moead_igual,moead_inter,moead_prefixo
BBOB_F1,20,20,20,20,True,20,,True,20,,True,20,
BBOB_F17,20,20,20,20,True,20,,True,20,,True,20,
BBOB_F22,20,20,20,20,True,20,,True,20,,True,20,
BBOB_F37,20,20,20,20,True,20,,True,20,,True,20,
BBOB_F49,20,20,20,20,True,20,,True,20,,True,20,
BBOB_F5,20,20,20,20,True,20,,True,20,,True,20,
BBOB_F55,20,20,20,20,True,20,,True,20,,True,20,
DTLZ1,20,20,15,15,True,20,,False,15,True,False,15,True
DTLZ2,20,20,15,15,True,20,,False,15,True,False,15,True
DTLZ3,20,20,15,15,True,20,,False,15,True,False,15,True
DTLZ4,20,20,15,15,True,20,,False,15,True,False,15,True
DTLZ7,20,20,15,15,True,20,,False,15,True,False,15,True
MMF1,20,20,20,20,True,20,,True,20,,True,20,
MMF11_L,20,20,20,20,True,20,,True,20,,True,20,
MMF16_20,20,20,15,15,True,20,,False,15,True,False,15,True
MMF4,20,20,20,20,True,20,,True,20,,True,20,
WFG1,20,20,20,20,True,20,,True,20,,True,20,
WFG2,20,20,20,20,True,20,,True,20,,True,20,
WFG4,20,20,20,20,True,20,,True,20,,True,20,
WFG5,20,20,20,20,True,20,,True,20,,True,20,
WFG9,20,20,20,20,True,20,,True,20,,True,20,
ZDT1,20,20,20,20,True,20,,True,20,,True,20,
ZDT3,20,20,20,20,True,20,,True,20,,True,20,
ZDT4,20,20,20,20,True,20,,True,20,,True,20,
ZDT6,20,20,20,20,True,20,,True,20,,True,20,
