problema,D,M,n_iter,n_dupX_f32,dupX_maxdF,cache_manifest,c0,cache_iter,cache_iter_ok,best_sid_in_real,sid_ok_nc,n_nc,sid_ok_ch,n_ch,streak_max,sonda_gens,viol_gens,falta,sobra,pred_sonda_eq_sonda,n_pred_sonda,tsp_last
BBOB_F1,10,2,204,2,0.0,5,1,4,True,204,200,200,4,4,2,103,103,[],[],True,103,0.10249900072813034
BBOB_F17,10,2,206,21,2.86102294921875e-06,7,1,6,True,206,200,200,6,6,2,104,104,[],[],True,104,0.10173700004816055
BBOB_F22,10,2,264,35,0.0,65,1,64,True,264,200,200,64,64,14,133,133,[],[],True,133,0.10019499808549881
BBOB_F37,10,2,515,47,0.0001220703125,316,1,315,True,515,200,200,315,315,37,259,258,[515],[],False,258,0.0
BBOB_F49,10,2,504,19,0.0,305,1,304,True,504,200,200,304,304,37,253,253,[],[],True,253,0.140051007270813
BBOB_F5,10,2,214,9,0.0,15,1,14,True,214,200,200,14,14,3,108,108,[],[],True,108,0.10513199865818024
BBOB_F55,10,2,201,3,0.0,2,1,1,True,201,200,200,1,1,1,102,101,[201],[],False,101,0.0
DTLZ1,7,3,153,0,0.0,14,1,13,True,153,140,140,13,13,2,78,77,[153],[],False,77,0.0
DTLZ2,12,3,240,0,0.0,1,1,0,True,240,240,240,0,0,0,121,121,[],[],True,121,0.1316930055618286
DTLZ3,12,3,240,1,0.0,1,1,0,True,240,240,240,0,0,0,121,121,[],[],True,121,0.20336200296878815
DTLZ7,22,3,440,2,0.0,1,1,0,True,440,440,440,0,0,0,221,221,[],[],True,221,0.2960290014743805
MMF1,2,2,48,1,0.0,9,1,8,True,48,40,40,8,8,4,25,25,[],[],True,25,0.050353001803159714
MMF11_L,2,2,40,0,0.0,1,1,0,True,40,40,40,0,0,0,21,21,[],[],True,21,0.05460900068283081
MMF16_20,20,3,400,0,0.0,1,1,0,True,400,400,400,0,0,0,201,201,[],[],True,201,0.21704499423503876
MMF4,2,2,40,0,0.0,1,1,0,True,40,40,40,0,0,0,21,21,[],[],True,21,0.05357100069522858
WFG2,22,2,440,0,0.0,1,1,0,True,440,440,440,0,0,0,221,221,[],[],True,221,0.30593499541282654
WFG4,22,2,440,0,0.0,1,1,0,True,440,440,440,0,0,0,221,221,[],[],True,221,0.29883599281311035
WFG5,22,2,440,1,0.0,1,1,0,True,440,440,440,0,0,0,221,221,[],[],True,221,0.28615498542785645
WFG9,22,2,440,1,0.0,1,1,0,True,440,440,440,0,0,0,221,221,[],[],True,221,0.26164600253105164
ZDT1,30,2,603,7,0.0,4,1,3,True,603,600,600,3,3,1,303,302,[603],[],False,302,0.0
ZDT3,30,2,601,12,0.0,2,1,1,True,601,600,600,1,1,1,302,301,[601],[],False,301,0.0
ZDT4,10,2,200,0,0.0,1,1,0,True,200,200,200,0,0,0,101,101,[],[],True,101,0.10089399665594101
ZDT6,10,2,200,0,0.0,1,1,0,True,200,200,200,0,0,0,101,101,[],[],True,101,0.10856600105762482
