problema,igd_plus,hv,igd,gd,spacing,n_nd,piso_best,piso_igd,piso_hv,razao,rank,n_algs,maquina,hv_b1
BBOB_F1,0.032570490779905,0.9839327011067096,0.0364416551209796,0.0301156636665311,0.0199228684438133,41,nsga2,0.1359531134257377,0.794882237795319,0.2395714960782868,5,17,vm3,0.9839327011067096
BBOB_F17,0.0264478301377586,1.0907714210741917,0.1702712154384615,0.026008270451471,0.184563532795392,4,nsga2,0.0206141256299147,1.1389302978381772,1.2829954863270152,12,17,vm3,1.0907714210741917
BBOB_F22,0.083442849589667,0.9489453416085136,0.1017868391992101,0.1059680586564005,0.0495122783225128,16,smsemoa,0.1591300073706684,0.8364210321993655,0.524369042447789,6,17,vm3,0.9489453416085136
BBOB_F37,0.205633133743002,0.5499163780802737,0.211140548618693,0.1068464907933309,0.2598081384558521,9,smsemoa,0.2539185871646663,0.5475589034253596,0.8098388386575608,6,17,vm3,0.5499163780802737
BBOB_F49,0.1374301780540452,0.8722624209666889,0.1589738022356132,0.1359349999046754,0.0496364297281184,20,nsga2,0.2070601036537373,0.7833325681449697,0.6637211883360548,4,17,vm3,0.8722624209666889
BBOB_F5,0.035178295949926,0.8402141539068555,0.0386019415159657,0.0298589834911504,0.0204739062621096,36,smsemoa,0.1192824482234564,0.6744549289589444,0.2949159450854424,6,17,vm3,0.8402141539068555
BBOB_F55,0.558756822784922,0.4116882792058892,0.5589240842836977,0.3548756976780691,0.0398831715563557,26,nsga2,0.6061479210199184,0.2847968270563726,0.921815951863276,11,16,vm3,0.4116882792058892
DTLZ1,86.49558217812276,0.0,86.49624759178498,112.30354567469692,24.044731843904856,15,nsga2,45.34570273153767,0.0,1.907470321723906,13,17,vm3,0.0
DTLZ2,0.0900855558532233,0.5388030832287153,0.1251709775977657,0.3926454040344067,0.1621431061867825,73,smsemoa,0.1700820491933293,0.3774027369489095,0.5296593983932109,3,16,vm3,0.5388030832287153
DTLZ3,225.3801074228402,0.0,225.38119319848005,260.02493719227397,51.74502347644563,24,smsemoa,129.76799112603217,0.0,1.736792759656335,4,16,vm3,0.0
DTLZ7,0.0488033595915058,0.5032250974527701,0.0733255579391494,0.032231554377178,0.0782537657610925,73,nsga3,1.1247085866087754,0.0,0.04339200409117337,3,15,vm3,0.5032250974527701
MMF1,0.0634336250982687,0.7549001713379427,0.0995172329305789,0.0963836441540184,0.0783854408392515,13,nsga3,0.0570132770384747,0.7494280731304409,1.1126114546171644,13,17,vm3,0.7549001713379427
MMF11_L,0.029949035721232,0.9682223933349732,0.0820977404331368,0.1596534695373229,0.1257777808643221,13,nsga3,0.0231565498976292,0.9944925151806284,1.2933289222112585,10,17,vm3,0.9682223933349732
MMF16_20,0.0278759779918998,0.7295233826380499,0.0620543324788961,0.0196405780271417,0.0523227936626737,136,smsemoa,0.0316158421272363,0.7231803588717962,0.8817091722470775,5,15,vm3,0.7295233826380499
MMF4,0.0252979624044177,0.4940557470302433,0.031401065460933,0.0680814149482815,0.2512393871806246,22,nsga3,0.0377119334276083,0.4690277870473205,0.6708211461228734,4,17,vm3,0.4940557470302433
WFG2,0.222579812031224,0.4552433470073791,0.2237265991317835,0.1871476800856369,0.1258351103014638,15,nsga2,0.1227556938180429,0.5889726898088412,1.813193385238386,13,16,vm3,0.4552433470073791
WFG4,0.11446799614429,0.2132334276606795,0.1149714459814436,0.1260607322272739,0.0293772686215502,37,smsemoa,0.044424346453198,0.3297560897295661,2.5766951071499604,14,16,vm3,0.2132334276606795
WFG5,0.0587307664670054,0.3281500519456344,0.0614185814861297,0.0579660109675888,0.0361255181372089,31,nsga2,0.0930752077028518,0.2729876378389645,0.6310033350073944,6,16,vm3,0.3281500519456344
WFG9,0.1840495498283721,0.1406262456066009,0.2032015533887533,0.2275934862996047,0.1080478382171864,23,nsga3,0.0955346891283579,0.2561072713511255,1.9265206335793688,13,16,vm3,0.1406262456066009
ZDT1,0.0260620750571967,0.8306560414346378,0.0273503216112423,0.0195951055690219,0.0195939714179355,46,nsga2,0.4440783896843883,0.2332217109349336,0.05868800568232857,4,16,mac*,0.8306560414346378
ZDT3,0.0126933727450429,0.6990207471022305,0.0170714166243892,0.0267066124797126,0.0210686126875913,39,nsga2,0.3442625865872861,0.25317791382524,0.03687119437192911,1,15,mac*,0.6990207471022305
ZDT4,71.65713750280827,0.0,71.65875835519546,105.62057975496091,5.5358175480061655,8,nsga2,43.898268794314845,0.0,1.632345408393153,16,17,vm3,0.0
ZDT6,0.1433291658436653,0.1956456323854505,0.1498401132296368,4.036870034367767,0.4334312994164896,12,nsga2,6.445675963031797,0.0,0.022236483289837735,4,16,vm3,0.1956456323854505
