problema,b1,b1_hv,b3,b3_hv,nsga2,nsga2_hv,nsga3,nsga3_hv,moead,moead_hv,smsemoa,smsemoa_hv,c262,c262_hv,e7,e7_hv,b1_vs_b3,b1_vs_nsga2
BBOB_F1,0.032570490779905,0.9839327011067096,0.0412065514006254,0.9524935388421304,0.1359531134257377,0.794882237795319,0.137318662091244,0.7956376608286729,0.2582138795238207,0.5877658589412953,0.1480915227119584,0.7674202090032884,0.0014561014382336,1.0403226994233663,0.0841150912283766,0.8735335476037193,0.7904202043806722,0.2395714960782868
BBOB_F17,0.0264478301377586,1.0907714210741917,0.0273855805400489,1.104605956598644,0.0206141256299147,1.1389302978381772,0.0244220835244481,1.1181010693092666,0.0339335599190253,1.0803268114757651,0.0213354281482618,1.137887889108352,0.0216919194598772,1.1116354081117172,0.0254490545952854,1.1286458836912852,0.9657575123916425,1.2829954863270152
BBOB_F22,0.083442849589667,0.9489453416085136,0.0599255344899914,0.9770183717766044,0.2676864895703527,0.6834636062843437,0.3007149536569143,0.6313688852791288,0.8116115946394648,0.0736809751977848,0.1591300073706684,0.8364210321993655,0.0510757488279859,0.9953184625788916,0.2305008671934578,0.7375352246120813,1.392442308605581,0.3117185694488954
BBOB_F37,0.205633133743002,0.5499163780802737,0.1572649032168013,0.6692191649158179,0.2762060842222105,0.523263898349478,0.3268568768897895,0.4509784592826291,0.4524787718089781,0.2891490368192988,0.2539185871646663,0.5475589034253596,0.2344353383257915,0.6074849026788872,0.1979404534507514,0.6065264181422775,1.3075589628508626,0.7444916875095631
BBOB_F49,0.1374301780540452,0.8722624209666889,0.1511467023513817,0.8554110814332265,0.2070601036537373,0.7833325681449697,0.306760266506344,0.677597236940307,0.4078188625287026,0.5593530770630424,0.2961792032016101,0.6771122937642201,0.1161096131479717,0.9162174720009444,0.2726553045552879,0.7332066598639795,0.9092502576374528,0.6637211883360548
BBOB_F5,0.035178295949926,0.8402141539068555,0.0303389079646851,0.8424124317931719,0.1985265406103037,0.5574061644524277,0.1907181227803057,0.5844444884611815,0.2558106684608193,0.5046984002479648,0.1192824482234564,0.6744549289589444,0.0048277052418038,0.8932188048405649,0.090364871542885,0.7184650199363076,1.1595109484782382,0.17719694224148594
BBOB_F55,0.558756822784922,0.4116882792058892,0.0525601226054507,1.0469866405631616,0.6061479210199184,0.2847968270563726,0.6739948007650018,0.2630205250665882,0.8084348763217353,0.13243076861979,0.7289744263759702,0.2086122482691195,0.2674844512531847,0.7986840833451776,0.1172860177005082,0.9441334256372098,10.630812773769607,0.921815951863276
DTLZ1,86.49558217812276,0.0,107.90095654288476,0.0,45.34570273153767,0.0,54.579569419243406,0.0,55.243198478786475,0.0,63.71341357744688,0.0,77.77173997171971,0.0,79.38235156797764,0.0,0.8016201612053873,1.907470321723906
DTLZ2,0.0900855558532233,0.5388030832287153,0.1420440366274875,0.4428914704658485,0.2314965985503017,0.2712247455871695,0.2436941785807205,0.2329741395439258,0.3518633395536835,0.1526358159342244,0.1700820491933293,0.3774027369489095,0.0306550164345873,0.7302774577505178,0.1869603260520184,0.3801926803324202,0.6342086439677432,0.3891441879378141
DTLZ3,225.3801074228402,0.0,426.7214887384964,0.0,305.6544879630138,0.0,236.36467091755844,0.0,210.1594222538854,0.0,129.76799112603217,0.0,225.70073441422787,0.0,299.9544918120799,0.0,0.5281667630311389,0.7373688798906584
DTLZ7,0.0488033595915058,0.5032250974527701,0.0507528544036108,0.5066350850381721,1.4252844080178932,0.0,1.1247085866087754,0.0,1.4282933892698586,0.0,1.8809617636365812,0.0,,,0.6977032729539132,0.0,0.961588469554802,0.034241137640294114
MMF1,0.0634336250982687,0.7549001713379427,0.0450406808380648,0.7757923817719427,0.0628119931405187,0.7301758179875709,0.0570132770384747,0.7494280731304409,0.0685634160408346,0.7317197886963961,0.0714342048541285,0.6962638586111998,0.038685793504745,0.7906903921323448,0.0666859982269712,0.7470628104204576,1.4083629269799949,1.0098967080436267
MMF11_L,0.029949035721232,0.9682223933349732,0.0137555248377796,0.9950578973528992,0.0317573340494481,0.9722375610389884,0.0231565498976292,0.9944925151806284,0.0436194300069967,0.9174245230994806,0.0414543997958267,0.91918812776696,0.0165311383365109,1.0086556412532128,0.0260538715864112,0.977303500988812,2.177236861146647,0.9430588749861538
MMF16_20,0.0278759779918998,0.7295233826380499,0.0246641935331076,0.739949138510292,0.0406997603316842,0.6955590741032323,0.0316883226836744,0.7165308501156316,0.0600143363541736,0.6051213366407138,0.0316158421272363,0.7231803588717962,,,0.0402721736350217,0.6937271998570711,1.130220534252657,0.6849174974182523
MMF4,0.0252979624044177,0.4940557470302433,0.0223485227594842,0.4958671205772282,0.0403771229938478,0.4644571179938616,0.0377119334276083,0.4690277870473205,0.0418755247904921,0.4534908100221421,0.0470914389681702,0.4442577205622811,0.021017978540486,0.4940012214225787,0.0311249824934595,0.4789810664888769,1.1319747026090048,0.6265419754714152
WFG2,0.222579812031224,0.4552433470073791,0.1142921612591666,0.600879058380027,0.1227556938180429,0.5889726898088412,0.1232873263708593,0.5785835489121801,0.223741203048006,0.447028149088419,0.1422987289749966,0.5534151408041549,0.0565254541946007,0.6749189369974209,0.2085026837797858,0.4555536770881249,1.9474634968754028,1.813193385238386
WFG4,0.11446799614429,0.2132334276606795,0.1038205373773919,0.2295690505854097,0.061710428820897,0.3008317456748015,0.0717614461687339,0.2822944655056046,0.1090501547977985,0.2380749871704969,0.044424346453198,0.3297560897295661,0.0723318949908459,0.2800120180377756,0.0848970520512503,0.2649329510211888,1.1025563827337375,1.8549214181692366
WFG5,0.0587307664670054,0.3281500519456344,0.0541615136179472,0.3404131868000625,0.0930752077028518,0.2729876378389645,0.1126334304175281,0.2476471693530997,0.1873782241759709,0.1605545865815254,0.0941577883048372,0.2751447656512529,0.0525619975816182,0.3403252409827246,0.1368461751806692,0.2085253622436608,1.08436346298018,0.6310033350073944
WFG9,0.1840495498283721,0.1406262456066009,0.1991034580783021,0.1154209595580226,0.0999413549159468,0.2532611166331825,0.0955346891283579,0.2561072713511255,0.1497323119704348,0.1979494605030793,0.1113875374533136,0.2312125915212892,0.0919140678837228,0.244705402327952,0.1345494028141959,0.1813962796938404,0.9243915279261011,1.8415754917787779
ZDT1,0.0260620750571967,0.8306560414346378,0.0195147937526374,0.833771063840258,0.4440783896843883,0.2332217109349336,0.956168340282256,0.0,1.686875225032134,0.0,0.700594322143167,0.0816992063542236,0.000702785674901,0.8751996083017863,0.3972630146418627,0.2994682614442321,1.3355034845640859,0.05868800568232857
ZDT3,0.0126933727450429,0.6990207471022305,0.0167492119711416,0.6916151694658574,0.3442625865872861,0.25317791382524,0.4121286025925313,0.1823519523314607,1.0249933278408947,0.0,0.3504989313662802,0.2021457336174268,,,0.3562110022142805,0.2182485311188068,0.7578489523515022,0.03687119437192911
ZDT4,71.65713750280827,0.0,40.410159213164334,0.0,43.898268794314845,0.0,46.24627157931003,0.0,65.17103599448568,0.0,47.101878260869746,0.0,5.928104893929911,0.0,55.444167231813715,0.0,1.7732456119466282,1.632345408393153
ZDT6,0.1433291658436653,0.1956456323854505,1.5372928378696342,0.0,6.445675963031797,0.0,6.662399706796948,0.0,7.605188993963688,0.0,6.605030137633778,0.0,0.0024453730300986,0.6068385999452462,4.277823731996254,0.0,0.09323478410417205,0.022236483289837735
