problema,D,M,n_linhas_3,n_online,n_sonda,n_blocos,blocos_2000,d47_null,n_extra_cols,n_sig_neg,n_sig_zero,sig_min,n_mu_nan,n_sig_nan,rows_gen_ok,n_gens,frac_nao_greedy,n_nao_greedy,rsid_frac,ftm_on_null,sonda_dX,wape_1,wape_last,corr_1,corr_last,cob_1,cob_last,cob_med,lit,lit_null
DTLZ7,22,3,846800,404800,442000,221,221,True,4,0,0,1.2986164144024315e-08,0,0,440,440,0.49318181818181817,217,0.000783102766798419,0,0.0,0.029662156652075427,0.14525919996894593,0.9958472349572325,0.4305061344777359,0.942,0.6525,0.86,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 846800, ""pred_score"": 846800, ""pred_confianca"": 846800, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
MMF1,2,2,54224,4224,50000,25,25,True,2,0,0,2.3445969418389723e-05,0,0,48,48,0.4791666666666667,23,0.19696969696969696,0,0.0,0.3694681310358759,0.5537714457877129,0.4172666482484173,0.2819147343059395,0.5835,0.469,0.8325,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 54224, ""pred_score"": 54224, ""pred_confianca"": 54224, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
MMF11_L,2,2,45200,3200,42000,21,21,True,2,0,0,2.950200723716989e-06,0,0,40,40,0.4,16,0.058125,0,0.0,0.0996233020605738,0.18061848210570933,0.9143335177538789,0.6890979249413055,0.7755,0.883,0.848,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 45200, ""pred_score"": 45200, ""pred_confianca"": 45200, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
MMF16_20,20,3,736400,334400,402000,201,201,True,4,0,0,4.02676232624799e-05,0,0,400,400,0.3175,127,0.0010167464114832535,0,0.0,0.24251075828396976,0.35520174182403524,0.8919276847037325,0.6992715847046258,0.8935,0.406,0.761,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 736400, ""pred_score"": 736400, ""pred_confianca"": 736400, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
MMF4,2,2,45200,3200,42000,21,21,True,2,0,0,3.83978249374195e-06,0,0,40,40,0.75,30,0.01875,0,0.0,0.18759546123084245,0.27926395250351416,0.45597555190724726,0.35935364098363626,0.938,0.6435,0.9025,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 45200, ""pred_score"": 45200, ""pred_confianca"": 45200, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
WFG2,22,2,846800,404800,442000,221,221,True,2,0,0,0.0005127568147145212,0,0,440,440,0.3977272727272727,175,0.0009016798418972332,0,0.0,0.2508399920938305,0.2357379701510495,0.23101814166080642,0.34808698172744407,0.952,0.291,0.724,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 846800, ""pred_score"": 846800, ""pred_confianca"": 846800, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
WFG4,22,2,846800,404800,442000,221,221,True,2,0,0,0.0017254957929253578,0,0,440,440,0.2318181818181818,102,0.000891798418972332,0,0.0,0.17899937533500543,0.07607256238823497,0.1577620690370161,-0.004707828978910559,0.9485,0.731,0.8025,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 846800, ""pred_score"": 846800, ""pred_confianca"": 846800, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
WFG5,22,2,846800,404800,442000,221,221,True,2,0,0,0.0004297964624129236,0,0,440,440,0.2431818181818182,107,0.0008745059288537549,0,0.0,0.1846979978047196,0.19896791944706574,0.18477822478890008,0.2965290746551257,0.9635,0.2775,0.7515,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 846800, ""pred_score"": 846800, ""pred_confianca"": 846800, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
WFG9,22,2,846800,404800,442000,221,221,True,2,0,0,0.0014772338327020407,0,0,440,440,0.2681818181818182,118,0.0007855731225296442,0,0.0,0.20809307228432686,0.20186017048379262,0.34063287356057914,0.04778117418386162,0.9635,0.5385,0.6855,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 846800, ""pred_score"": 846800, ""pred_confianca"": 846800, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
ZDT1,30,2,1365176,759176,606000,303,303,True,2,0,0,5.151284288018587e-09,0,0,603,603,0.40298507462686567,243,0.000466295035670253,0,0.0,0.16335575876587677,0.28978621708542573,0.5975659872156318,0.996392479468087,0.9485,0.31,0.861,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 1365176, ""pred_score"": 1365176, ""pred_confianca"": 1365176, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
ZDT3,30,2,1359456,755456,604000,302,302,True,2,0,0,1.4548176885398334e-08,0,0,601,601,0.37603993344425957,226,0.0004672674517112843,0,0.0,0.1532649733066764,0.1732109926113092,0.6318768418979775,0.959707915677157,0.9415,0.7245,0.8655,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 1359456, ""pred_score"": 1359456, ""pred_confianca"": 1359456, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
ZDT4,10,2,285200,83200,202000,101,101,True,2,0,0,5.771832789491782e-08,0,0,200,200,0.275,55,0.00109375,0,0.0,0.26536071551496404,0.2876715112574429,0.1760002489497712,0.9998921712430986,0.9285,0.0875,0.772,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 285200, ""pred_score"": 285200, ""pred_confianca"": 285200, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
ZDT6,10,2,285200,83200,202000,101,101,True,2,0,0,6.307778676273301e-06,0,0,200,200,0.665,133,0.0018389423076923077,0,0.0,0.07573008873349615,0.04333901491065554,0.8664986443406208,0.9585234068838905,0.914,0.9545,0.919,"{""pred_tipo"": [""valor""], ""pred_classe"": [], ""pred_score"": [], ""pred_confianca"": [], ""modelo_flag"": [""GP-DACE""], ""espaco_modelo"": [""transformado""], ""transf_tipo"": [""escalar-tcheby""]}","{""pred_tipo"": 0, ""pred_classe"": 285200, ""pred_score"": 285200, ""pred_confianca"": 285200, ""modelo_flag"": 0, ""espaco_modelo"": 0, ""transf_tipo"": 0}"
