problema,D,M,n_treino_min,n_treino_max,cap,gen1_eq_doe,pop_g1,nf1_1,nf1_last,nf1_max,ftm_son_min,ftm_son_max,hp_keys,hp_n,wape_1,wape_last,dwape,corr_1,corr_last,cob_1,cob_last,cob_min,n_blocos,sig_med_1,sig_med_last
BBOB_F1,10,2,109,134,134,True,109,7,41,41,108,306,corr;n;regr;sigma2;tempo_fit_s;theta,204,0.2533440915143283,0.2882119165233976,0.13763030667363052,0.7000905215205313,0.7548719579435795,0.9415,0.536,0.434,103,0.0867246650159359,0.0262297457084059
BBOB_F17,10,2,99,134,134,True,109,6,4,7,108,304,corr;n;regr;sigma2;tempo_fit_s;theta,206,0.5108619205173281,0.86079384782896,0.6849833844677063,0.4824141464445485,-0.004956362109166,0.9295,0.315,0.2915,104,0.1092779003083705,0.0186496516689658
BBOB_F22,10,2,109,134,134,True,109,5,16,16,108,305,corr;n;regr;sigma2;tempo_fit_s;theta,264,0.2158604146791215,0.7697318160171872,2.5658775934503812,0.6870011062797933,0.3782470560894338,0.957,0.127,0.127,133,0.0960199385881424,0.025272506289184
BBOB_F37,10,2,109,134,134,True,109,5,9,9,108,301,corr;n;regr;sigma2;tempo_fit_s;theta,515,0.2557670526703975,0.7144669840563508,1.7934285381826398,0.6063424160858562,0.2103722914930267,0.963,0.4275,0.4065,259,0.0848363526165485,0.0169183835387229
BBOB_F49,10,2,109,134,134,True,109,5,20,20,108,307,corr;n;regr;sigma2;tempo_fit_s;theta,504,0.1008449807533276,0.5829485437163815,4.780640140556979,0.0671620926737823,0.3365485139019246,0.9775,0.4725,0.458,253,0.0916469171643257,0.0132900862954556
BBOB_F5,10,2,109,134,134,True,109,7,36,36,108,306,corr;n;regr;sigma2;tempo_fit_s;theta,214,0.1680400992059409,0.3625941308575855,1.157783365821569,0.64823702556839,0.5931607873706098,0.9275,0.364,0.364,108,0.0770985931158065,0.0298032583668828
BBOB_F55,10,2,109,134,134,True,109,4,26,26,108,297,corr;n;regr;sigma2;tempo_fit_s;theta,201,0.1914981881030348,0.1370130141145736,-0.28452057185598895,0.137309191726039,-0.0170659896284802,0.9475,0.997,0.5755,102,0.1095679402351379,0.1871265023946762
DTLZ1,7,3,27,90,101,True,76,15,16,18,75,214,corr;n;regr;sigma2;tempo_fit_s;theta,153,0.3204258292139352,0.5717952400064097,0.784485481114712,0.841527862046014,-0.0472422561000174,0.8855,0.3285,0.1475,78,0.0809106491506099,0.0361446235328912
DTLZ2,12,3,109,156,156,True,131,41,73,73,130,368,corr;n;regr;sigma2;tempo_fit_s;theta,240,0.2421437879628885,0.3551875060292949,0.46684541865567797,0.8864603440611315,0.9422595694560134,0.9375,0.229,0.229,121,0.09541966766119,0.022990258410573
DTLZ3,12,3,54,156,156,True,131,11,24,24,130,369,corr;n;regr;sigma2;tempo_fit_s;theta,240,0.2744201336896166,0.6666939340369531,1.429464358438869,0.8583446521043224,0.7279436612571243,0.923,0.1455,0.0225,121,0.0886966250836849,0.0221837554126977
DTLZ7,22,3,194,266,266,True,241,10,75,82,240,679,corr;n;regr;sigma2;tempo_fit_s;theta,440,0.0296621566520754,0.1452591999689459,3.897122002043719,0.9958472349572324,0.4305061344777359,0.942,0.6525,0.0115,221,0.0152867888100445,0.0363206658512353
MMF1,2,2,21,46,46,True,21,7,13,13,20,59,corr;n;regr;sigma2;tempo_fit_s;theta,48,0.3694681310358759,0.5537714457877129,0.49883413282522293,0.4172666482484173,0.2819147343059395,0.5835,0.469,0.469,25,0.0403564069420099,0.0944524891674518
MMF11_L,2,2,21,46,46,True,21,9,13,20,20,59,corr;n;regr;sigma2;tempo_fit_s;theta,40,0.0996233020605738,0.1806184821057093,0.8130144089772101,0.9143335177538788,0.6890979249413055,0.7755,0.883,0.7335,21,0.0186120672151446,0.037700492888689
MMF16_20,20,3,132,244,244,True,219,51,136,136,218,616,corr;n;regr;sigma2;tempo_fit_s;theta,400,0.2425107582839697,0.3552017418240352,0.46468447147449504,0.8919276847037325,0.6992715847046258,0.8935,0.406,0.1455,201,0.0812142342329025,0.0161276329308748
MMF4,2,2,21,46,46,True,21,10,22,22,20,59,corr;n;regr;sigma2;tempo_fit_s;theta,40,0.1875954612308424,0.2792639525035141,0.48864983550892316,0.4559755519072472,0.3593536409836362,0.938,0.6435,0.6365,21,0.1026154831051826,0.0446018185466527
WFG2,22,2,241,266,266,True,241,8,15,15,240,676,corr;n;regr;sigma2;tempo_fit_s;theta,440,0.2508399920938305,0.2357379701510495,-0.06020579819318393,0.2310181416608064,0.348086981727444,0.952,0.291,0.131,221,0.1310558393597602,0.0200973423197865
WFG4,22,2,240,266,266,True,241,31,37,43,240,679,corr;n;regr;sigma2;tempo_fit_s;theta,440,0.1789993753350054,0.0760725623882349,-0.5750121348420257,0.1577620690370161,-0.0047078289789105,0.9485,0.731,0.2025,221,0.0978223830461502,0.0169208673760294
WFG5,22,2,241,266,266,True,241,34,31,36,240,678,corr;n;regr;sigma2;tempo_fit_s;theta,440,0.1846979978047196,0.1989679194470657,0.07726083559083104,0.1847782247889,0.2965290746551257,0.9635,0.2775,0.232,221,0.093144055455923,0.0226949630305171
WFG9,22,2,241,266,266,True,241,15,23,23,240,679,corr;n;regr;sigma2;tempo_fit_s;theta,440,0.2080930722843268,0.2018601704837926,-0.02995247142114331,0.3406328735605791,0.0477811741838616,0.9635,0.5385,0.185,221,0.105096336454153,0.0464694686233997
ZDT1,30,2,237,354,354,True,329,15,52,52,328,927,corr;n;regr;sigma2;tempo_fit_s;theta,603,0.1633557587658767,0.2897862170854257,0.7739577672358064,0.5975659872156318,0.996392479468087,0.9485,0.31,0.0,303,0.0638523064553737,0.035602755844593
ZDT3,30,2,252,354,354,True,329,13,46,46,328,926,corr;n;regr;sigma2;tempo_fit_s;theta,601,0.1532649733066764,0.1732109926113092,0.1301407547615051,0.6318768418979775,0.959707915677157,0.9415,0.7245,0.0355,302,0.0675035379827022,0.0533427372574806
ZDT4,10,2,72,134,134,True,109,9,9,10,108,307,corr;n;regr;sigma2;tempo_fit_s;theta,200,0.265360715514964,0.2876715112574429,0.08407723690065486,0.1760002489497712,0.9998921712430986,0.9285,0.0875,0.0875,101,0.1030925028026104,0.0106565346941351
