label,problema,D,M,N,pop,n_ger,fe_int,overshoot,n_ger_esperado,turn_1,turn_mean,turn_t1,turn_t2,turn_t3,turn_last,turn_min,turn_max,turn_spearman,ndist_min,ndist_mean,ndist_last,dup_gens,sg_g1,sg_last,sg_ratio,sg_spearman,mu_g1,mu_last,lhs_strat_dims,lhs_strat_tot,dentro_bounds,inter_ds_g1,inter_ds_amostra,hv_surr_ini,hv_surr_fim,hv_surr_max,hv_surr_argmax,hv_real_ini,hv_real_fim,igdp_real_ini,igdp_real_fim,fig10_surr_cai,fig10_real_sobe,fig10_igdp_melhora,fig10_assinatura,c7_nd_recomputo_ok,c7_link_posicional_ok,c7_n,c7_nd,fantasia,c7_maxdev_abs,c7_maxdev_rel,end_igdp,end_hv,end_igd,end_gd,end_spacing,end_nnd,sonda_sigma_med
BBOB_F1,BBOB_F1,10,2,309,50,801,40050,50,801,1.0,0.3172750000000001,0.3904868913857678,0.2876404494382023,0.27353383458646613,0.24,0.1,1.0,-0.43257109971585916,8,47.94506866416979,50,394,5.426111483573914,1.1401944363117218,0.21013103762489074,-0.8826012216649386,114.2409365081787,4.9483399271965025,10,10,True,0,0,0.07909184889041145,1.4854797149125312,1.4939764665794777,464,0.08619493016480206,0.8757733789207124,0.7722578048103116,0.08709293693769751,False,True,True,False,True,True,50,27,0.54,1.920875874361627e-06,9.046140397039079e-08,0.08709293582915997,0.8757733791872327,0.15181221236747927,0.09336511378523468,0.014316286870722677,27,5.612851377615333
BBOB_F17,BBOB_F17,10,2,309,50,801,40050,50,801,1.0,0.6507000000000001,0.7794007490636705,0.6191011235955055,0.5532330827067669,0.62,0.04,1.0,-0.5358979030722247,1,18.15980024968789,25,800,19.487399258613586,11.20545964717865,0.5750105233886327,-0.7054796220210221,11283605.586689206,-4444906.835438919,10,10,True,0,0,1.0901873734514753,0.4507818746236403,1.0901873734514753,1,0.9789778916086379,0.3933588032704104,0.11506404107830535,0.4867828453036352,True,False,False,False,True,True,50,7,0.14,0.4447339712642133,4.0578256660483104e-07,0.4867828447730065,0.39335880374667254,0.5142187344155275,0.03849418794723366,0.0369153804991293,7,19.336880307495594
BBOB_F22,BBOB_F22,10,2,309,50,801,40050,50,801,1.0,0.218925,0.3477902621722846,0.1648689138576779,0.14383458646616543,0.08,0.0,1.0,-0.5156516845909099,4,42.083645443196005,48,796,10.842883522510528,4.195074622631073,0.3868965864958179,-0.9901543765981797,400233.6620324707,-134067.06216796875,10,10,True,0,0,0.0,2.660871237217897,2.660871237217897,801,0.0,0.1322644992731665,2.083405118111278,0.7521703561900676,False,True,True,False,True,True,50,22,0.44,0.007916435191873461,8.681911159516301e-08,0.7521703519166867,0.1322645038398847,0.7528203232574218,0.6957977960577707,0.034872347671622846,22,10.765396769976617
BBOB_F37,BBOB_F37,10,2,309,50,801,40050,50,801,0.98,0.36190000000000005,0.5194007490636704,0.2917602996254682,0.2742105263157895,0.18,0.04,1.0,-0.505084582505716,12,46.04993757802747,50,467,15.146068677902221,11.201356835365296,0.7395553970851741,-0.8175415861096322,1447.4867345046996,326.1870441675186,10,10,True,0,0,0.16839728595660614,2.2845110407577565,2.322602026244334,759,0.06231092566250318,0.5709400490412265,0.68797980715661,0.24136247053603918,False,True,True,False,True,True,50,9,0.18,9.516419413557742e-05,9.882571507975435e-08,0.24136246529028876,0.5709400650881025,0.24367369156765054,0.23259544298890647,0.07646249197675506,9,15.383967382085324
BBOB_F49,BBOB_F49,10,2,309,50,801,40050,50,801,0.98,0.720375,0.7719850187265918,0.7002996254681648,0.6887218045112782,0.7,0.5,1.0,-0.45647429191201155,5,29.54681647940075,28,800,14.289122004508972,6.530458595752716,0.45702308327215707,-0.9279324395004995,748.8419956588746,-283.1993363952637,10,10,True,0,0,0.3503113321819913,0.6988008507457164,0.7074218496306919,759,0.20054019418488342,0.3224566403140254,0.7480336827258722,0.6222845929123398,False,True,True,False,True,True,50,15,0.3,1.7035958876476798e-05,5.8935420459666946e-08,0.6222845835110263,0.3224566530872475,0.6608855993174291,0.21580358663677984,0.02082918459268235,15,14.6677204523623
BBOB_F5,BBOB_F5,10,2,309,50,801,40050,50,801,1.0,0.30400000000000005,0.36142322097378277,0.29797752808988764,0.252406015037594,0.14,0.1,1.0,-0.38935615544255275,7,46.61548064918851,49,692,7.264508023262024,1.904153574705124,0.26211734760395944,-0.9746162216182389,1041.1944589233399,300.90760971978307,10,10,True,0,0,0.031732149538356014,0.9916414572246325,0.9937153949212797,506,0.019304946157028713,0.632434952849803,0.7966502870424029,0.14347314647279344,False,True,True,False,True,True,50,21,0.42,4.0164134588849265e-05,5.410436553437863e-08,0.14347313886886406,0.6324349667078573,0.207133486126146,0.068416967253404,0.01299369094993586,21,7.146855430358649
BBOB_F55,BBOB_F55,10,2,309,50,801,40050,50,801,0.98,0.4673999999999999,0.6195505617977528,0.3874157303370787,0.39496240601503757,0.42,0.16,1.0,-0.6048824950659695,12,38.561797752808985,42,800,6.2008013033866884,4.068677075505256,0.6561534350863765,0.1961852858490478,77.60620323181152,66.15605175018311,10,10,True,0,0,0.0013002426701386282,0.0845480085501315,0.11456613732690454,85,0.01619547401239777,0.0049947377070019205,1.1023868734023285,1.0035095896154942,False,False,True,False,True,True,50,9,0.18,5.559095598073327e-06,9.133789218129508e-08,1.0035095724263108,0.00499472320390789,1.0035095724263108,0.8505790040884933,0.038497437428637524,9,6.0013608149051665
DTLZ1,DTLZ1,7,3,216,105,381,40005,5,381,1.0,0.02631578947368421,0.07874015748031496,0.0,0.0,0.0,0.0,1.0,-0.2772550061536253,47,51.13648293963254,51,380,31.62277603149414,31.62277603149414,1.0,,0.0,0.0,7,7,True,0,0,1.3310000000000004,1.3310000000000004,1.3310000000000004,1,0.0,0.0,127.18005905662487,109.89526159712948,False,False,True,False,True,True,105,4,0.0380952380952381,0.00010246712032824234,1.3603433075974714e-06,109.89521037688905,0.0,109.89521037688905,123.51362560125216,20.392857551574707,4,31.62277603149414
DTLZ2,DTLZ2,12,3,371,105,381,40005,5,381,0.9714285714285714,0.14255639097744358,0.23284589426321706,0.10341207349081363,0.09100529100529099,0.06666666666666667,0.02857142857142857,0.9714285714285714,-0.6808912164637444,41,103.10498687664042,104,225,0.14720933499435584,0.053374184316231144,0.362573367499266,-0.4255767732808543,0.8781385749818698,0.40265679979061203,12,12,True,0,0,0.030327481997470037,0.6321482304764552,0.6559923378883311,161,0.043027001994663555,0.6660228261454708,0.4675068812730688,0.056889651989929624,False,True,True,False,True,True,105,83,0.7904761904761904,6.55728311649284e-08,0.9999998925088277,0.05688964973092999,0.6660228277889934,0.09528119894284344,0.04601993270083143,0.09299249512653042,83,0.1460141531457814
DTLZ3,DTLZ3,12,3,371,105,381,40005,5,381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,105,105.0,105,0,31.62277603149414,31.62277603149414,1.0,,0.0,0.0,12,12,True,0,0,1.3310000000000004,1.3310000000000004,1.3310000000000004,1,0.0,0.0,542.2824991247952,542.2824991247952,False,False,False,False,True,True,105,26,0.24761904761904763,0.0005121356697372903,2.841654878582383e-06,542.2827088104782,0.0,542.2827088104782,898.6287055186014,160.64530734460283,26,31.62277603149414
DTLZ4,DTLZ4,12,3,371,105,381,40005,5,381,0.9904761904761905,0.8325563909774436,0.8656167979002626,0.8202474690663668,0.8116402116402118,0.8,0.6857142857142857,0.9904761904761905,-0.3812488080385955,38,53.61942257217848,58,380,0.14999380938353993,0.08050744678854706,0.5367384635367612,-0.20326265017368833,0.6073963804462451,0.37468574788266173,12,12,True,0,0,0.0,0.31987922452485323,0.32178947966427823,181,0.0,0.11426825406353139,0.9141103480687237,0.6002945474189622,False,True,True,False,True,True,105,12,0.11428571428571428,6.919615880285335e-08,4.3402511861492425e-06,0.6002944993592286,0.11426831221580518,1.0452443090081285,0.008019407590230307,0.0013279940503910465,12,0.15117882938906552
DTLZ7,DTLZ7,22,3,681,105,381,40005,5,381,1.0,0.37235588972431083,0.5646044244469441,0.3040119985001875,0.2474678760393046,0.20952380952380953,0.12380952380952381,1.0,-0.890479657086405,33,90.08136482939632,97,380,0.23836159908345766,0.26746211666909475,1.1220855947331017,-0.7111110628944872,6.413936234030518,3.240785004390729,22,22,True,0,0,0.0,0.0,0.0,1,0.0,0.0,2.795405530747252,0.9379250740131967,False,False,True,False,True,True,105,28,0.26666666666666666,7.993773021297557e-07,7.64141665503275e-08,0.9379250505048345,0.0,0.9386635115570025,0.8590920107267183,0.2579682771269739,28,0.22391861986978137
MMF1,MMF1,2,2,61,50,801,40050,50,801,0.92,0.34057499999999996,0.428314606741573,0.2910112359550562,0.3022556390977444,0.38,0.06,1.0,-0.34869355562965604,13,38.14856429463171,41,800,0.8011591097910423,0.13746907532840852,0.1715877328839999,-0.5667937833319323,1.01182257453911,0.49782967804465444,2,2,True,0,0,1.462233152606885,0.8092018591054657,1.462233152606885,1,0.7925981706106211,0.6634416795325767,0.03621699050588576,0.12748635031785163,True,False,False,False,True,True,50,19,0.38,5.427867306062595e-06,8.64161064629773e-06,0.12748631318490322,0.6634417303195435,0.20701606441526715,0.08807859882252048,0.13172550724462836,19,0.8160304952140297
