prob,obj,n,cob,z_med,wape_fant
BBOB_F1,0,200,1.0,0.2344469279050827,0.015613751485943794
BBOB_F1,1,200,1.0,0.23426416516304016,0.014375844970345497
BBOB_F17,0,200,1.0,0.29521381855010986,0.056632302701473236
BBOB_F17,1,200,1.0,0.28230994939804077,0.35878267884254456
BBOB_F22,0,200,0.995,0.46174097061157227,0.2142704725265503
BBOB_F22,1,200,0.965,0.523752748966217,0.05410834774374962
BBOB_F37,0,200,0.945,0.5163211822509766,0.058400437235832214
BBOB_F37,1,200,1.0,0.3327561020851135,0.14501142501831055
BBOB_F49,0,200,0.995,0.4086605906486511,0.0564744807779789
BBOB_F49,1,200,0.895,0.7945874929428101,0.1670287847518921
BBOB_F5,0,200,0.995,0.23098821938037872,0.014117831364274025
BBOB_F5,1,200,0.94,0.430461049079895,0.03479337692260742
DTLZ1,0,140,0.9071428571428571,0.4295012950897217,0.7083767652511597
DTLZ1,1,140,0.9285714285714286,0.4084813594818115,0.8653973340988159
DTLZ1,2,140,0.8142857142857143,0.9662083387374878,0.5593124628067017
MMF1,0,40,0.875,0.37044012546539307,0.02154340222477913
MMF1,1,40,0.775,0.8561124801635742,0.6208952069282532
MMF11_L,0,42,1.0,0.12739983201026917,0.002115607028827071
MMF11_L,1,42,0.7857142857142857,0.7652024030685425,0.17094695568084717
MMF4,0,40,0.875,0.28162771463394165,0.015589287504553795
MMF4,1,40,0.95,0.5119651556015015,0.2807222008705139
ZDT4,0,200,1.0,0.3355979919433594,1.0066566467285156
ZDT4,1,200,0.865,0.8505479097366333,0.12253646552562714
DTLZ2,0,151,0.9668874172185431,0.4489629864692688,0.1392512172460556
DTLZ2,1,151,0.9205298013245033,0.4587777256965637,0.13588716089725494
DTLZ2,2,151,0.9867549668874173,0.4814673066139221,0.10324428230524063
