prob,tag,it,i,j,mapa,rel,exato
DTLZ1,s42,89,13,16,decl,0.0,True
DTLZ1,s42,89,13,16,naive,0.0,True
DTLZ1,s42,89,14,16,decl,0.0,True
DTLZ1,s42,89,14,16,naive,0.0,True
DTLZ1,s42,89,15,25,decl,1.4038407578698824e-12,False
DTLZ1,s42,89,15,25,naive,1.4038407578698824e-12,False
DTLZ1,s42,90,5,31,decl,0.0,True
DTLZ1,s42,90,5,31,naive,0.010444730114544814,False
DTLZ1,s42,93,18,21,decl,0.0,True
DTLZ1,s42,93,18,21,naive,0.0,True
DTLZ1,s42,95,4,5,decl,0.0,True
DTLZ1,s42,95,4,5,naive,0.0,True
DTLZ1,s42,95,4,8,decl,0.0,True
DTLZ1,s42,95,4,8,naive,0.0,True
DTLZ1,s42,95,4,17,decl,0.0,True
DTLZ1,s42,95,4,17,naive,0.0,True
DTLZ1,s42,95,4,22,decl,0.0,True
DTLZ1,s42,95,4,22,naive,0.07099425824002123,False
DTLZ1,s42,95,4,32,decl,0.0,True
DTLZ1,s42,95,4,32,naive,0.1685367292730734,False
DTLZ1,s42,95,5,8,decl,0.0,True
DTLZ1,s42,95,5,8,naive,0.0,True
DTLZ1,s42,95,5,17,decl,0.0,True
DTLZ1,s42,95,5,17,naive,0.0,True
DTLZ1,s42,95,5,22,decl,0.0,True
DTLZ1,s42,95,5,22,naive,0.07099425824002123,False
DTLZ1,s42,95,5,32,decl,0.0,True
DTLZ1,s42,95,5,32,naive,0.1685367292730734,False
DTLZ1,s42,95,8,17,decl,0.0,True
DTLZ1,s42,95,8,17,naive,0.0,True
DTLZ1,s42,95,8,22,decl,0.0,True
DTLZ1,s42,95,8,22,naive,0.07099425824002123,False
DTLZ1,s42,95,8,32,decl,0.0,True
DTLZ1,s42,95,8,32,naive,0.1685367292730734,False
DTLZ1,s42,95,17,22,decl,0.0,True
DTLZ1,s42,95,17,22,naive,0.07099425824002123,False
DTLZ1,s42,95,17,32,decl,0.0,True
DTLZ1,s42,95,17,32,naive,0.1685367292730734,False
DTLZ1,s42,95,22,32,decl,0.0,True
DTLZ1,s42,95,22,32,naive,0.2275658474321535,False
DTLZ1,s42,96,7,29,decl,2.9344451805667305e-13,False
DTLZ1,s42,96,7,29,naive,0.18876667042637013,False
DTLZ1,s42,98,26,29,decl,0.0,True
DTLZ1,s42,98,26,29,naive,0.0,True
DTLZ1,s42,100,2,28,decl,0.0,True
DTLZ1,s42,100,2,28,naive,0.0,True
DTLZ1,s42,101,11,21,decl,0.0,True
DTLZ1,s42,101,11,21,naive,0.11920907733926014,False
DTLZ1,s42,104,2,11,decl,0.0,True
DTLZ1,s42,104,2,11,naive,0.0,True
DTLZ1,s42,104,2,12,decl,0.0,True
DTLZ1,s42,104,2,12,naive,0.0,True
DTLZ1,s42,104,2,21,decl,0.0,True
DTLZ1,s42,104,2,21,naive,0.0,True
DTLZ1,s42,104,2,29,decl,0.0,True
DTLZ1,s42,104,2,29,naive,0.0,True
DTLZ1,s42,104,2,30,decl,0.0,True
DTLZ1,s42,104,2,30,naive,0.0,True
DTLZ1,s42,104,2,32,decl,0.0,True
DTLZ1,s42,104,2,32,naive,0.0,True
DTLZ1,s42,104,7,10,decl,0.0,True
DTLZ1,s42,104,7,10,naive,0.0,True
DTLZ1,s42,104,7,17,decl,0.0,True
DTLZ1,s42,104,7,17,naive,0.0,True
DTLZ1,s42,104,7,18,decl,0.0,True
DTLZ1,s42,104,7,18,naive,0.0,True
DTLZ1,s42,104,10,17,decl,0.0,True
DTLZ1,s42,104,10,17,naive,0.0,True
DTLZ1,s42,104,10,18,decl,0.0,True
DTLZ1,s42,104,10,18,naive,0.0,True
DTLZ1,s42,104,11,12,decl,0.0,True
DTLZ1,s42,104,11,12,naive,0.0,True
DTLZ1,s42,104,11,21,decl,0.0,True
DTLZ1,s42,104,11,21,naive,0.0,True
DTLZ1,s42,104,11,29,decl,0.0,True
DTLZ1,s42,104,11,29,naive,0.0,True
DTLZ1,s42,104,11,30,decl,0.0,True
DTLZ1,s42,104,11,30,naive,0.0,True
DTLZ1,s42,104,11,32,decl,0.0,True
DTLZ1,s42,104,11,32,naive,0.0,True
DTLZ1,s42,104,12,21,decl,0.0,True
DTLZ1,s42,104,12,21,naive,0.0,True
DTLZ1,s42,104,12,29,decl,0.0,True
DTLZ1,s42,104,12,29,naive,0.0,True
DTLZ1,s42,104,12,30,decl,0.0,True
DTLZ1,s42,104,12,30,naive,0.0,True
DTLZ1,s42,104,12,32,decl,0.0,True
DTLZ1,s42,104,12,32,naive,0.0,True
DTLZ1,s42,104,14,27,decl,0.0,True
DTLZ1,s42,104,14,27,naive,0.0,True
DTLZ1,s42,104,17,18,decl,0.0,True
DTLZ1,s42,104,17,18,naive,0.0,True
DTLZ1,s42,104,21,29,decl,0.0,True
DTLZ1,s42,104,21,29,naive,0.0,True
DTLZ1,s42,104,21,30,decl,0.0,True
DTLZ1,s42,104,21,30,naive,0.0,True
DTLZ1,s42,104,21,32,decl,0.0,True
DTLZ1,s42,104,21,32,naive,0.0,True
DTLZ1,s42,104,29,30,decl,0.0,True
DTLZ1,s42,104,29,30,naive,0.0,True
DTLZ1,s42,104,29,32,decl,0.0,True
DTLZ1,s42,104,29,32,naive,0.0,True
DTLZ1,s42,104,30,32,decl,0.0,True
DTLZ1,s42,104,30,32,naive,0.0,True
DTLZ1,s42,105,8,11,decl,0.0,True
DTLZ1,s42,105,8,11,naive,0.12632550177964,False
DTLZ1,s42,105,9,25,decl,0.0,True
DTLZ1,s42,105,9,25,naive,0.10400095135500362,False
DTLZ1,s42,106,3,16,decl,0.0,True
DTLZ1,s42,106,3,16,naive,0.0,True
DTLZ1,s42,107,14,27,decl,3.80845152512052e-15,False
DTLZ1,s42,107,14,27,naive,0.2306911076392974,False
DTLZ1,s42,110,1,11,decl,0.0,True
