prob,obj,g0,g1,razao,d_outsc,d_sigma,d_cob,d_wape
BBOB_F5,0,176,178,7.104427742666115,-0.8483825292805597,1.5026230981174606,-0.08800000000000008,3.4730236235829963
DTLZ1,0,10,12,9.479406736265982,-0.17254814145014186,-0.15933371861775858,-0.018000000000000016,-0.07064739369740791
DTLZ1,0,36,38,15.868454761972849,-0.3077851564666225,-0.2872823376804081,-0.03700000000000003,-0.08806589555681132
DTLZ1,2,28,30,10.729258125934757,-0.23538957630622281,-0.21530272275353612,-0.03950000000000009,-0.06151357642850397
DTLZ1,2,42,44,14.657285964636984,-0.3962062232134417,-0.30995286991815985,-0.06899999999999995,-0.10434221796209553
DTLZ1,2,60,62,17.656834061358346,-0.36996488776817205,-0.3187921274599568,-0.07199999999999995,-0.08127512147758054
DTLZ1,2,112,114,30.703272970070245,-0.37142834661756985,-0.2843376678906663,-0.05600000000000005,-0.14058294782518044
DTLZ1,2,136,138,19.57961458963066,-0.19791395916872978,-0.19141340806168694,-0.030000000000000027,-0.11072953746510761
MMF1,1,4,6,30.662522712694408,-0.17150988347047424,-0.003221276094020231,0.04500000000000004,-0.0394503791119023
MMF1,1,10,12,61.92805557733293,-0.22277824667223445,-0.3136235130276489,-0.09249999999999992,-0.013653483751363882
ZDT4,1,12,14,19.639831384030455,-0.21782972463804395,-0.15816794627668107,-0.035499999999999976,-0.028538090202325228
