prob,tag,D,M,status,maxfe,fe_final,n_ger,cache_hits,J1_len1,J1_31D_1,J1_fe_bate,J1_fe_index_denso,J1_sid_denso,J1_motivo_parada,J1_hard_stopped,J1_ger_eq_infill_mais1,J2_init,J2_11D_1,J2_dX_max,J2_cp_init,J2_doe_hash_bate,J3_ard_viva,J5_muda_ls,J5_fits_eq_ger,J21_n_train_pres,J21_n_baseline_aus,J6_ftm_monot,J6_ftm_eq_ntrain_1,J4_n_iter_obj,J4_no_piso_1e4,J4_razao_max,J8_shapes,J8_ok,J10_escada,J10_footer,J9_rota_a,J9_rota_b95,J11_num_restarts,J11_raw_samples,J11_5D_1000D,J11_linhas_por_ger,J12_ics,J12_argmax,J12_naofin_export,QJ_argmax,QJ_dX_marcada,QJ_n_marcadas,J28_plateau,J28_acqf_pos,J16_hs_total,J16_hs_distintos,J16_torch_seed_dist,J17_valores,J17_finitos,J15_sigma_nonnull,J15_sur_linhas,J14_transf_null,J19_blocos,J19_blocos_ftr,J19_ultima_coberta,J19_cadencia_pura,J19_linhas_bloco,J19_hash_ok,J19_n_eventos,J20_inv1,J20_inv2_com,J20_inv2_sem,J20_h_core,J20_paths_s,J20_busca_s,J20_pct_paths,J20_aval_real_s,J23_pop_gen0,J23_pop_final,J23_pop_total,J23_pop_esperado,J26_warn_ev,J26_warn_soma,J18_cache_dec,J18_cache_man,T11_params_manifesto,T11_campanha_id,T11_repo_hash,T11_checkpoint,T11_ordem3a
BBOB_F1,s42,10,2,ok,309,309,201,0,309,309,True,True,True,<AUSENTE>,True,True,109,109,,True,True,402/402,200/200,True,201/201,201,True,201/201,402,246,20.381371161633783,"{((10, 10, 2), (10, 10, 10)): 201}",True,221,221,201,a,{50},{10000},True,[50],21,0,0,201/201,0.0,200,0/201,201,2010,2010,201,40200,40200,214050,214050,True,102,102,True,False,[2000],0,102,201,102/102,0,8.441,545.4362,29767.774,1.83,0.0263,109,309,42118,42118,201,200,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
BBOB_F17,s42,10,2,ok,309,309,201,0,309,309,True,True,True,<AUSENTE>,True,True,109,109,,True,True,402/402,200/200,True,201/201,201,True,201/201,402,154,45.089894026294104,"{((10, 10, 2), (10, 10, 10)): 201}",True,13,13,201,a,{50},{10000},True,[50],0,0,0,201/201,0.0,200,129/201,201,2010,2010,201,40200,40200,214050,214050,True,102,102,True,False,[2000],0,102,201,102/102,0,6.562,279.0507,22804.7672,1.22,0.0737,109,309,42118,42118,24,24,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
BBOB_F22,s42,10,2,ok,309,309,201,0,309,309,True,True,True,<AUSENTE>,True,True,109,109,,True,True,402/402,200/200,True,201/201,201,True,201/201,402,73,35.06827849016107,"{((10, 10, 2), (10, 10, 10)): 201}",True,390,390,201,a,{50},{10000},True,[50],3,0,0,201/201,0.0,200,31/201,201,2010,2010,201,40200,40200,214050,214050,True,102,102,True,False,[2000],0,102,201,102/102,0,6.881,742.2023,24113.1509,3.08,0.0549,109,309,42118,42118,180,179,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
BBOB_F37,s42,10,2,ok,309,309,201,0,309,309,True,True,True,<AUSENTE>,True,True,109,109,,True,True,402/402,200/200,True,201/201,201,True,201/201,402,0,18.24874813653572,"{((10, 10, 2), (10, 10, 10)): 201}",True,28,28,201,a,{50},{10000},True,[50],0,0,0,201/201,0.0,200,50/201,201,2010,2010,201,40200,40200,214050,214050,True,102,102,True,False,[2000],0,102,201,102/102,0,6.728,311.1219,23515.1687,1.32,0.0633,109,309,42118,42118,174,173,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
BBOB_F49,s42,10,2,ok,309,309,201,0,309,309,True,True,True,<AUSENTE>,True,True,109,109,,True,True,402/402,200/200,True,201/201,201,True,201/201,402,0,25.046355248794235,"{((10, 10, 2), (10, 10, 10)): 201}",True,221,221,201,a,{50},{10000},True,[50],1,8,8,201/201,0.0,200,1/201,201,2010,2010,201,40200,40200,214050,214050,True,102,102,True,False,[2000],0,102,201,102/102,0,5.916,517.6769,20613.8601,2.51,0.4983,109,309,42118,42118,143,143,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
BBOB_F5,s42,10,2,ok,309,309,201,0,309,309,True,True,True,<AUSENTE>,True,True,109,109,,True,True,402/402,200/200,True,201/201,201,True,201/201,402,126,37.977701076562106,"{((10, 10, 2), (10, 10, 10)): 201}",True,327,327,201,a,{50},{10000},True,[50],16,0,0,201/201,0.0,200,2/201,201,2010,2010,201,40200,40200,214050,214050,True,102,102,True,False,[2000],0,102,201,102/102,0,7.913,684.3725,27803.6701,2.46,0.0387,109,309,42118,42118,201,200,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
DTLZ1,s42,7,3,ok,216,216,141,0,216,216,True,True,True,<AUSENTE>,True,True,76,76,,True,True,423/423,140/140,True,141/141,141,True,141/141,423,0,32.882794845027234,"{((10, 10, 3), (10, 10, 7)): 141}",True,0,0,141,a,{35},{7000},True,[35],0,0,0,141/141,0.0,140,82/141,141,1410,1410,141,42300,42300,148935,148935,True,72,72,True,False,[2000],0,72,141,72/72,0,2.092,228.4159,7314.6657,3.12,0.0223,76,216,20662,20662,3,3,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
MMF1,s42,2,2,ok,61,61,41,0,61,61,True,True,True,<AUSENTE>,True,True,21,21,,True,True,82/82,40/40,True,41/41,41,True,41/41,82,0,1548.3720289013104,"{((10, 10, 2), (10, 10, 2)): 41}",True,0,0,41,a,{10},{2000},True,[10],0,0,0,41/41,0.0,40,28/41,41,410,410,41,8200,8200,44410,44410,True,22,22,True,False,[2000],0,22,41,22/22,0,0.048,37.8849,141.976,26.68,0.007,21,61,1702,1702,1,1,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
MMF11_L,s42,2,2,ok,61,61,43,2,61,61,True,True,True,<AUSENTE>,True,True,21,21,,True,True,86/86,40/42,True,43/43,43,True,43/43,86,38,326.5661986155387,"{((10, 10, 2), (10, 10, 2)): 43}",True,0,0,43,a,{10},{2000},True,[10],1,0,0,43/43,0.0,42,20/43,43,430,430,43,8600,8600,46430,46430,True,23,23,True,False,[2000],0,23,43,23/23,0,0.06,41.1459,184.6411,22.28,0.0074,21,61,1818,1827,4,4,2,2,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
MMF4,s42,2,2,ok,61,61,41,0,61,61,True,True,True,<AUSENTE>,True,True,21,21,,True,True,82/82,40/40,True,41/41,41,True,41/41,82,0,26.375841113885837,"{((10, 10, 2), (10, 10, 2)): 41}",True,0,0,41,a,{10},{2000},True,[10],0,0,0,41/41,0.0,40,29/41,41,410,410,41,8200,8200,44410,44410,True,22,22,True,False,[2000],0,22,41,22/22,0,0.048,36.1798,140.7597,25.7,0.0081,21,61,1702,1702,2,2,0,0,False,<AUSENTE>,<AUSENTE>,"""<AUSENTE>""",False
