prob,ger,obj,noise,outsc,sigma,cob,wape
BBOB_F1,1,0,0.001967502563573976,0.6337413534657086,11.14507007598877,0.9925,0.050419281262734046
BBOB_F1,1,1,0.0020381371161633786,0.7256042512106213,11.192689895629883,0.996,0.04490780612926003
BBOB_F1,2,0,0.001929883497883324,0.6130281272677839,11.055868148803711,0.9925,0.05173982524384998
BBOB_F1,2,1,0.001987840503950731,0.7139076982907316,11.044516563415527,0.996,0.045291678520499395
BBOB_F1,4,0,0.0018294076679240808,0.6159275322805848,10.805039405822754,0.992,0.05069564805164044
BBOB_F1,4,1,0.0018934933926995812,0.6969348427450848,10.826711654663086,0.996,0.04732347950280913
BBOB_F1,6,0,0.0016718339792506061,0.5986919325843382,10.552967071533203,0.991,0.05065222644551828
BBOB_F1,6,1,0.0017020413278943346,0.6711493878082989,10.59373664855957,0.9955,0.04676823275618474
BBOB_F1,8,0,0.0015489766386827825,0.5878312891563267,10.361417770385742,0.9905,0.049699883548490094
BBOB_F1,8,1,0.0015332885249090954,0.6543375188184873,10.340926170349121,0.9955,0.04614791646082014
BBOB_F1,10,0,0.0013607734141673792,0.5674382544757512,10.113073348999023,0.9905,0.04903302531979009
BBOB_F1,10,1,0.0013885617719744591,0.6500483720576095,10.092682838439941,0.9955,0.045288095742532994
BBOB_F1,12,0,0.0012077970348124286,0.5472188109720794,9.883794784545898,0.99,0.04810524613229046
BBOB_F1,12,1,0.0012597995370819384,0.6562448434561889,9.880550384521484,0.996,0.043629721502852895
BBOB_F1,14,0,0.0010757575512086342,0.5381741586761272,9.633149147033691,0.99,0.04738366222054451
BBOB_F1,14,1,0.0011376029953985736,0.6515328771030211,9.638387680053711,0.996,0.0438178808616879
BBOB_F1,16,0,0.0009661586579306641,0.5412105657193784,9.404192924499512,0.99,0.04657843116242086
BBOB_F1,16,1,0.0010074212786832543,0.6365806429802352,9.433099746704102,0.996,0.04298916338256863
