problema,moead,nsga2,nsga3,smsemoa
BBOB_F1,0.015058561452712,0.0228950156999117,0.0377475186983886,0.0212099298788407
BBOB_F17,0.1351243427393435,0.0128504186582097,0.0184942776521769,0.0440658057461691
BBOB_F22,0.1260789310788442,0.0251184237888039,0.293219151816289,0.0238181077256506
BBOB_F37,0.0749585622414767,0.0285829042822487,0.0609133998445552,0.0227146270431417
BBOB_F49,0.0776497623520426,0.0405288768146744,0.0601097322906864,0.043934040064672
BBOB_F5,0.0422239971111752,0.0417378123222919,0.0631159876451782,0.0623368756450306
BBOB_F55,0.1160763955727623,0.2098407078363932,0.0798381095658612,0.0813776081224512
DTLZ1,86.94831934914647,61.138423980323935,47.62421944212422,52.566940658549456
DTLZ2,0.208548628981203,0.1930123418958388,0.1501621119555598,0.1460440582706724
DTLZ3,135.77520482472067,78.22706530563939,79.87616836786086,160.15014015541487
DTLZ4,0.2949431056130364,0.4326012859972177,0.2029445601207167,0.4229128137226749
DTLZ7,0.1282314592053612,0.3122618277765477,0.0445543360701634,0.0008858721873227
MMF1,0.151555656645897,0.1374240586918578,0.1145843514873301,0.0976525623837507
MMF11_L,0.0619107316180132,0.084562995876776,0.1694881041433101,0.0725776732758796
MMF16_20,0.0766701562174674,0.0564919369813632,0.0434090877605897,0.0368436077386711
MMF4,0.0741450667066181,0.0505540762723327,0.0576112141618566,0.063610931598372
WFG1,0.103925380588559,0.030553253391836,0.0533113161693387,0.0446377004400801
WFG2,0.0420009419752578,0.0535227625064541,0.0391894188646413,0.0596447116843996
WFG4,0.0291459714428944,0.0167235961820387,0.0105365401785097,0.0149814126406138
WFG5,0.0217412463870723,0.0175632580420952,0.0212863342276507,0.0179493032244904
WFG9,0.0373184501443328,0.0090587009461973,0.0226150319652409,0.0484909657048764
ZDT1,0.5732756317584154,0.0346401118400179,0.0989123739919372,0.0525574505667899
ZDT3,0.0986634486029384,0.0252812174869373,0.0489809256770215,0.0393451322823084
ZDT4,11.50072525233791,21.706982513905157,6.854156170921473,0.0
ZDT6,0.2188810810388922,0.1007173230504114,0.20326533711075,0.1300336830137083
