prob,D,M,n_real,x_unicos,dup_x_na_1,ch,ngen3,Nef3,ngen2,Nef2,ch2
BBOB_F1,10,2,309,309,0,23,11,20,11,20,38
BBOB_F17,10,2,309,309,0,22,11,20,11,20,30
BBOB_F22,10,2,309,309,0,32,11,20,11,20,24
BBOB_F37,10,2,309,309,0,25,11,20,11,20,24
BBOB_F49,10,2,309,309,0,22,11,20,11,20,24
BBOB_F5,10,2,309,309,0,23,11,20,11,20,27
BBOB_F55,10,2,309,309,0,31,11,20,11,20,27
DTLZ1,7,3,216,216,0,21,11,15,8,20,23
DTLZ2,12,3,371,371,0,24,18,15,13,20,25
DTLZ3,12,3,371,371,0,23,18,15,13,20,24
DTLZ4,12,3,371,369,2,20,18,15,13,20,22
DTLZ7,22,3,681,681,0,32,33,15,23,20,36
MMF1,2,2,61,60,1,23,3,20,3,20,22
MMF11_L,2,2,61,61,0,22,3,20,3,20,22
MMF16_20,20,3,619,619,0,25,30,15,21,20,31
MMF4,2,2,61,60,1,22,3,20,3,20,21
WFG1,22,2,681,681,0,31,23,20,23,20,33
WFG2,22,2,681,681,0,34,23,20,23,20,32
WFG4,22,2,681,681,0,36,23,20,23,20,32
WFG5,22,2,681,681,0,37,23,20,23,20,31
WFG9,22,2,681,681,0,28,23,20,23,20,31
ZDT1,30,2,929,929,0,38,31,20,31,20,40
ZDT3,30,2,929,929,0,32,31,20,31,20,32
ZDT4,10,2,309,309,0,26,11,20,11,20,27
ZDT6,10,2,309,309,0,23,11,20,11,20,30
