prob,n_cp,viol,pior_delta,igd0,igdF,ganho,nd0,ndF
BBOB_F1,20,0,0.0,1.6651151931674129,0.137318662091244,12.125920598184939,1,20
BBOB_F17,20,0,0.0,2.4167899424756034,0.02442208352444811,98.95920387202992,1,11
BBOB_F22,20,0,0.0,6.550407018400444,0.30071495365691436,21.782777805834698,1,9
BBOB_F37,20,0,0.0,1.182738987190214,0.32685687688978954,3.618522573074126,1,5
BBOB_F49,20,0,0.0,1.3383037553621309,0.306760266506344,4.362702414507303,1,17
BBOB_F5,20,0,0.0,0.9165469299595926,0.1907181227803057,4.80576736283941,1,12
BBOB_F55,20,0,0.0,1.388541999942182,0.6739948007650018,2.0601672273527187,1,12
DTLZ1,20,0,0.0,541.7753550899159,54.579569419243406,9.92633985307512,1,28
DTLZ2,20,0,0.0,1.6297304711986438,0.24369417858072057,6.687605262834855,1,38
DTLZ3,20,0,0.0,914.1600619307801,236.36467091755844,3.8675833337615404,1,14
DTLZ4,20,0,0.0,1.2302654075242083,0.28239779155429323,4.356497976676563,1,25
DTLZ7,20,0,0.0,2.9506393479468724,1.1247085866087754,2.6234700997914926,1,23
MMF1,20,0,0.0,2.8112970162129414,0.057013277038474704,49.30951459457018,1,12
MMF11_L,20,0,0.0,0.5728206234612008,0.02315654989762927,24.736872547660703,1,12
MMF16_20,20,0,-0.00048651241550072555,0.8559201840763245,0.0316883226836744,27.01058660063723,1,228
MMF4,20,0,0.0,0.3675238638476179,0.03771193342760835,9.745558777916148,1,19
WFG1,20,0,0.0,1.1163446066331106,0.5074461679688114,2.199927158976444,1,61
WFG2,20,0,-0.00044596209096853245,0.6595702461706784,0.12328732637085932,5.349862516984365,1,20
WFG4,20,0,-0.0006465622780910119,0.32820668172874007,0.07176144616873392,4.573579536803398,1,71
WFG5,20,0,-8.079284945911036e-05,0.5435150445367514,0.11263343041752817,4.8255215394040665,1,50
WFG9,20,0,-0.0013194064667502309,0.6928485995065304,0.09553468912835794,7.252324844807282,1,32
ZDT1,20,0,0.0,3.825360846748847,0.9561683402822561,4.000719000609893,1,13
ZDT3,20,0,0.0,2.5208579962367232,0.41212860259253137,6.116678096057987,1,20
ZDT4,20,0,0.0,160.0026906116995,46.24627157931003,3.4597965446209633,1,6
ZDT6,20,0,0.0,8.952705826241381,6.662399706796948,1.3437659432393216,1,8
