prob,M,Nef,init,n_f1,n_fronts,frentes_cheias,n_borda_usada,identico,interseccao,zeros_f,denormais_f,tiny_f,frac_zero
BBOB_F1,2,20,109,7,17,3,2,True,20,0,0,0,0.0
BBOB_F17,2,20,109,6,14,2,3,True,20,0,0,0,0.0
BBOB_F22,2,20,109,5,20,3,0,True,20,0,0,0,0.0
BBOB_F37,2,20,109,5,17,3,1,True,20,0,0,0,0.0
BBOB_F49,2,20,109,5,20,3,0,True,20,0,0,0,0.0
BBOB_F5,2,20,109,7,22,4,2,True,20,0,0,0,0.0
BBOB_F55,2,20,109,4,17,3,2,True,20,0,0,0,0.0
DTLZ1,3,15,76,17,6,0,15,True,15,0,0,0,0.0
DTLZ2,3,15,131,40,6,0,15,True,15,0,0,0,0.0
DTLZ3,3,15,131,19,7,0,15,True,15,0,0,0,0.0
DTLZ4,3,15,131,7,23,2,1,False,9,92,16,72,0.2341
DTLZ7,3,15,241,21,10,0,15,True,15,0,0,0,0.0
MMF1,2,20,21,7,6,5,0,True,20,0,0,0,0.0
MMF11_L,2,20,21,9,3,2,3,True,20,0,0,0,0.0
MMF16_20,3,15,219,50,7,0,15,True,15,0,0,0,0.0
MMF4,2,20,21,9,4,3,2,True,20,0,0,0,0.0
WFG1,2,20,241,18,22,1,2,True,20,0,0,0,0.0
WFG2,2,20,241,8,26,2,0,True,20,0,0,0,0.0
WFG4,2,20,241,30,10,0,20,True,20,0,0,0,0.0
WFG5,2,20,241,36,10,0,20,True,20,0,0,0,0.0
WFG9,2,20,241,15,11,1,5,True,20,0,0,0,0.0
ZDT1,2,20,329,14,19,1,6,True,20,0,0,0,0.0
ZDT3,2,20,329,12,21,1,8,True,20,0,0,0,0.0
ZDT4,2,20,109,8,17,2,3,True,20,0,0,0,0.0
ZDT6,2,20,109,7,20,2,6,True,20,0,0,0,0.0
