problema,obj,n_blocos,wape_1,wape_N,dwape_pct,wape_max,cob_1,cob_N,cob_min,cob_med,corr_N,nan_total
BBOB_F1,0,102,0.050419,0.022602,-55.17166147682421,0.05174,0.9925,0.9955,0.99,0.995,0.996883,0
BBOB_F1,1,102,0.044908,0.022162,-50.65021822392446,0.047323,0.996,0.998,0.995,0.9975,0.99704,0
BBOB_F17,0,102,0.032907,0.018228,-44.60753031269942,0.033423,0.9945,0.981,0.969,0.981,0.999613,0
BBOB_F17,1,102,0.386617,0.351188,-9.163849494460923,0.386617,0.9335,0.849,0.8005,0.8454999999999999,0.873254,0
BBOB_F22,0,102,0.106564,0.089009,-16.47366840584062,0.113996,0.985,0.934,0.8845,0.935,0.981355,0
BBOB_F22,1,102,0.040506,0.02552,-36.99698810052831,0.040506,0.996,1.0,0.996,1.0,0.987156,0
BBOB_F37,0,102,0.043347,0.028121,-35.12584492583108,0.044121,0.993,1.0,0.99,1.0,0.987684,0
BBOB_F37,1,102,0.369273,0.326763,-11.511808336921463,0.369273,0.9535,0.901,0.863,0.9,0.843665,0
BBOB_F49,0,102,0.266505,0.237449,-10.90260970713495,0.267364,0.9415,0.9075,0.8935,0.90675,0.838743,0
BBOB_F49,1,102,0.053579,0.056984,6.355101812277194,0.058118,0.9805,0.989,0.9785,0.989,0.232434,0
BBOB_F5,0,102,0.048871,0.022829,-53.287225552986435,0.074291,0.99,0.996,0.9085,0.99525,0.996947,0
BBOB_F5,1,102,0.044209,0.024591,-44.37557963310638,0.044209,0.9945,0.9995,0.9945,0.999,0.988435,0
DTLZ1,0,72,0.34441,0.283853,-17.582822798408866,0.350555,0.92,0.835,0.8145,0.858,0.888131,0
DTLZ1,1,72,0.336524,0.263252,-21.773187053523674,0.336524,0.914,0.8255,0.8035,0.84975,0.899071,0
DTLZ1,2,72,0.28645,0.270157,-5.687903648106127,0.312732,0.941,0.853,0.848,0.86975,0.830462,0
MMF1,0,22,0.022954,0.014999,-34.65626905985884,0.022954,0.958,0.9875,0.9395,0.958,0.999363,0
MMF1,1,22,0.822766,0.760189,-7.605686185379561,0.822766,0.658,0.7735,0.535,0.62175,0.1891,0
MMF11_L,0,23,0.001974,0.000793,-59.82776089159069,0.001974,1.0,1.0,1.0,1.0,0.999996,0
MMF11_L,1,23,0.134556,0.131114,-2.5580427480008328,0.147765,0.8375,0.881,0.8375,0.872,0.970077,0
MMF4,0,22,0.021899,0.015326,-30.01506918124115,0.021899,0.946,0.954,0.9335,0.94625,0.999243,0
MMF4,1,22,0.311867,0.301579,-3.2988421346279084,0.311867,0.9195,0.9455,0.8535,0.9005000000000001,0.595735,0
ZDT4,0,102,0.011057,0.005587,-49.470923396943114,0.064667,0.9905,0.9845,0.9785,0.9875,0.999841,0
ZDT4,1,102,0.140092,0.126105,-9.98415327070782,0.142522,0.9235,0.892,0.803,0.8975,0.568941,0
