problema,obj,bloco_de,bloco_para,noise_de,noise_para,razao,sigma_de,sigma_para,d_sigma_pct,cob_de,cob_para,d_cob,wape_de,wape_para,d_wape_pct,outsc_de,outsc_para,d_outsc_pct,ls_de,ls_para
BBOB_F5,0,176,178,0.0001,0.0007104427742666,7.104427742665999,3.605003118515014,9.021964073181152,150.26230981174606,0.9965,0.9085,-0.08800000000000008,0.0166087753639176,0.0742914445615871,347.302362358302,1.6641798215020367,0.2523187353584684,-84.83825292805598,2.83801862561326,1.0184321201667843
DTLZ1,0,10,12,0.0091417265737228,0.0866581444640498,9.479406736266,33.75577354431152,28.377341270446777,-15.933369936862585,0.9225,0.9045,-0.018000000000000016,0.3483699845513694,0.3237585531004089,-7.064739369740791,0.653166942971505,0.540464200905101,-17.25481414501418,0.7058716942820331,0.633030056575907
DTLZ1,0,36,38,0.0086726308392085,0.1376212501392716,15.86845476197295,33.99559211730957,24.229257583618164,-28.72823776679763,0.9295,0.8925,-0.03700000000000003,0.3298847261870771,0.3008331323448987,-8.806589555681112,0.6371534849831304,0.4410470999143438,-30.778515646662246,0.6969818907434087,0.9129500487118888
DTLZ1,2,28,30,0.0095264962378781,0.1022122371719411,10.72925812593482,52.80142402648926,41.43313217163086,-21.530275109919742,0.931,0.8915,-0.03950000000000009,0.2923687790524489,0.2743841298168977,-6.151357642850398,0.606020200521088,0.4633693622874169,-23.53895763062228,0.5276610576164869,0.6301937483660545
DTLZ1,2,42,44,0.0097111712923674,0.1423394146838035,14.657285964637108,53.13532829284668,36.6658821105957,-30.99528451481906,0.9295,0.8605,-0.06899999999999995,0.2967073102679767,0.2657482114290484,-10.434221796209536,0.6103072589662657,0.3684997248914937,-39.620622321344165,0.6069630262440511,0.7914813648283295
DTLZ1,2,60,62,0.0090192725759011,0.1592517992268465,17.65683406135843,53.987831115722656,36.77693557739258,-31.87921274599568,0.9245,0.8525,-0.07199999999999995,0.2907058054303827,0.2670786557797904,-8.127512147758077,0.6224628957323332,0.3921734803728691,-36.99648877681721,0.6344118393184491,0.8644406118552487
DTLZ1,2,112,114,0.0062715471660477,0.1925570245838359,30.70327297007071,52.81570625305176,37.7982120513916,-28.433765762229918,0.914,0.858,-0.05600000000000005,0.3120920625369006,0.2682172403926225,-14.058294782518052,0.8060962320654105,0.5066892413747022,-37.142834661756986,0.4459047468843641,0.6972273632322289
DTLZ1,2,136,138,0.0061698006299929,0.1208023184301225,19.579614589630832,51.58113670349121,41.707815170288086,-19.141341513970282,0.9095,0.8795,-0.030000000000000027,0.3127322984842938,0.2781035957227279,-11.072953746510779,0.8477355665308227,0.6799568642305615,-19.791395916872975,0.5156373834596875,0.6260521319540524
MMF1,1,4,6,0.0068430363458499,0.2098247573784159,30.662522712694408,0.9751675724983216,0.9720262885093688,-0.32212760940205126,0.6805,0.7255,0.04500000000000004,0.7926413868787628,0.7613713836666116,-3.945037911190232,1.5350290304042329,1.2717563802758076,-17.150988347047438,0.1155230281390677,0.1360418440152634
MMF1,1,10,12,0.0067794654950504,0.4198391159620926,61.928055577333005,1.2196131348609924,0.8371137380599976,-31.36235465720783,0.7545,0.662,-0.09249999999999992,0.7599214154669824,0.7495458407685905,-1.3653483751363897,1.2598214284317488,0.979160619485614,-22.277824667223445,0.0896059800278995,0.2167255379508805
ZDT4,1,12,14,0.0076827780878996,0.1508884662072732,19.639831384030604,27.433449745178223,23.09435749053955,-15.81679407782582,0.941,0.9055,-0.035499999999999976,0.1406768200504022,0.1366621722704276,-2.8538090202324824,0.7592542023928082,0.5938660685553051,-21.78297246380439,0.4263408036024053,0.4957354313923632
