problema,n,acqf_q1,acqf_q4,queda_pct,dist_q1,dist_q4,acqf_neg,nfront1_fim
BBOB_F1,201,1.4098704851486636,0.7419611034398692,-47.373811193612354,0.3669817145234471,0.3659276263236443,0,13
BBOB_F17,201,0.7288139981294446,0.7352700917282711,0.8858355650956937,0.632181540234521,0.34231549664450767,0,7
BBOB_F22,201,1.2224783166596946,1.29259483247246,5.735604047714494,0.30414949753364606,0.29913716035696875,0,15
BBOB_F37,201,1.242462303882351,1.4028849690788103,12.911672627425625,0.2818967163605302,0.2687855425831587,0,11
BBOB_F49,201,1.494009098324669,1.5561646206078685,4.160317521017685,0.17716349600857328,0.20766652289891097,0,22
BBOB_F5,201,1.5265526769936208,1.0770891686676887,-29.44303954260534,0.3236002104936546,0.33230623401216075,0,16
DTLZ1,141,1.0724351661825011,0.5305647091464056,-50.52710635785725,0.5013925390124325,0.5144196750857746,0,16
MMF1,41,1.2016691190381859,0.10063177325681645,-91.62566702742915,0.10978137956902945,0.07949059899620639,0,9
MMF11_L,43,1.0684219116453848,0.11219677290545554,-89.4988326537902,0.129367022785486,0.04046659430811775,0,15
MMF4,41,1.0678677747948342,0.9200660030646794,-13.840830786241433,0.09533476119095155,0.09332230628144275,0,19
ZDT4,201,0.677510785848878,0.2533481245607665,-62.60603818382945,0.5087203772114397,0.8980491092599949,0,2
