problema,igd_c154,melhor_piso,piso_arg,delta_vs_piso_pct,bate_piso,rank_sa,n_sa,melhor_sa,igd_melhor_sa,igd_c262,igd_e81,hv_c154,nd_c154
BBOB_F1,0.103299018237793,0.1359531134257377,nsga2,-24.018644637940938,True,10,13,c262,0.0014561014382336,0.0014561014382336,0.0469515551150373,0.8548113052655223,13
BBOB_F17,0.022178102876193,0.0206141256299147,nsga2,7.58692012630745,False,5,13,b4,0.0169204487831311,0.0216919194598772,0.0287209863025261,1.1043608118564656,7
BBOB_F22,0.1767560389473812,0.1591300073706684,smsemoa,11.07649768133029,False,8,13,c141,0.0343287612981191,0.0510757488279859,0.2744287278956569,0.8119951002509326,15
BBOB_F37,0.2011868075349726,0.2539185871646663,smsemoa,-20.76719952584532,True,5,13,c141,0.1024378970815427,0.2344353383257915,0.3840170762957668,0.6142599057859961,11
BBOB_F49,0.1520568146150803,0.2070601036537373,nsga2,-26.563924226869876,True,7,13,c141,0.0808517926800655,0.1161096131479717,0.3960335353340511,0.85907175883096,22
BBOB_F5,0.1062638994517716,0.1192824482234564,smsemoa,-10.914052289819416,True,9,13,c262,0.0048277052418038,0.0048277052418038,0.0741954397539168,0.7041779007548072,16
DTLZ1,83.48756119703116,45.34570273153767,nsga2,84.11350176069946,False,7,13,c122,54.67301493709471,77.77173997171971,115.24365938433124,0.0,16
MMF1,0.0552846674762097,0.0570132770384747,nsga3,-3.0319421230575236,True,9,13,e81,0.0368606366708409,0.038685793504745,0.0368606366708409,0.7612923055535091,9
MMF11_L,0.0468539955773992,0.0231565498976292,nsga3,102.33582197923268,False,12,13,c238,0.0119608514985232,0.0165311383365109,0.0280878655756214,0.9154924779690398,15
MMF4,0.0274522534645026,0.0377119334276083,nsga3,-27.20539370594761,True,7,13,c262,0.021017978540486,0.021017978540486,0.0288949165112906,0.4830649997430264,19
ZDT4,50.42486667521462,43.898268794314845,nsga2,14.867551865154695,False,5,13,c262,5.928104893929911,5.928104893929911,64.40387639929428,0.0,2
