problema,obj,min,max,median,first,last,razao_max_min,n_no_piso,salto_max,salto_it,noise_antes,noise_depois,janela_max_it,noise_pico
BBOB_F1,0,0.0001,0.0019675025635739,0.0001,0.0019675025635739,0.0001,19.675025635739,123.0,1.0065815661764994,73,0.0001163489837471,0.0001171147422832,1,0.0019675025635739
BBOB_F1,1,0.0001,0.0020381371161633,0.0001,0.0020381371161633,0.0001,20.381371161632998,123.0,1.002903208779945,3,0.0019878405039507,0.0019936116199549,1,0.0020381371161633
BBOB_F17,0,0.0001,0.0004572035504528,0.0001,0.0004572035504528,0.0001,4.5720355045279994,154.0,2.088620939838,54,0.0001,0.0002088620939838,1,0.0004572035504528
BBOB_F17,1,0.0006233429797318,0.0045089894026294,0.0015019778961619,0.0045019173620567,0.000632221335377,7.2335608954310215,0.0,1.037282310551575,130,0.0010707232923447,0.0011106423306447,2,0.0045089894026294
BBOB_F22,0,0.0001,0.002672227214336,0.0001333233703223,0.002672227214336,0.0001,26.722272143359998,73.0,8.545785908819115,63,0.0002726695798378,0.0023301758531415,1,0.002672227214336
BBOB_F22,1,0.0003331851263098,0.0035068278490161,0.0005907873962728,0.0033391415078066,0.0004096875155769,10.525163256403602,0.0,1.1629754086504425,14,0.0021294297027919,0.0024764743787968,2,0.0035068278490161
BBOB_F37,0,0.0002998701289404,0.0031112467179364,0.0008346454959699,0.0031112467179364,0.0002998701289404,10.375313903155616,0.0,1.2863800551386408,26,0.0014938205558271,0.0019216209689721,1,0.0031112467179364
BBOB_F37,1,0.0003981665127786,0.005472254456704,0.0006822214489299,0.005472254456704,0.0004017877673294,13.743633080833296,0.0,1.0563932255055768,136,0.0005588664556824,0.0005903827377452,1,0.005472254456704
BBOB_F49,0,0.0002914862782856,0.005473624210927,0.0003864551600805,0.005473624210927,0.00034746751268,18.77832549484168,0.0,1.077372604275054,172,0.0002914862782856,0.000314039330747,1,0.005473624210927
BBOB_F49,1,0.0006165168697884,0.0073006688760923,0.0013365537288117,0.0066752506407576,0.0006331219119239,11.84179903884548,0.0,1.4324954183613487,34,0.0026529823872082,0.0038003851146691,9,0.0073006688760923
BBOB_F5,0,0.0001,0.0024503786577384,0.0001,0.0024269795445993,0.0001,24.503786577384,126.0,7.104427742665999,178,0.0001,0.0007104427742666,2,0.0024503786577384
BBOB_F5,1,0.0003996908045621,0.0037977701076562,0.0005156894679496,0.0037977701076562,0.0004149340861994,9.501770029002857,0.0,1.2581188015598652,45,0.0007373727639827,0.0009277025381248,1,0.0037977701076562
DTLZ1,0,0.0061107656198757,0.1376212501392716,0.1127995940309849,0.0069967662490899,0.1233643196543132,22.521114161480632,0.0,15.617648056287281,38,0.0088119062257821,0.1376212501392716,38,0.1376212501392716
DTLZ1,1,0.0059870834882482,0.1632269384918841,0.1219572189925308,0.0059870834882482,0.1617021397988532,27.263180614112954,0.0,4.444794664078894,35,0.0332849946519921,0.147944966623069,134,0.1632269384918841
DTLZ1,2,0.0061698006299929,0.1968720380641178,0.1414948707353945,0.0069949470766323,0.1172943256819011,31.908978890999325,0.0,19.33553250841747,137,0.0061698006299929,0.1192963806516823,115,0.1968720380641178
MMF1,0,0.0003080430824894,0.0029207363233929,0.0007214204750858,0.0027231690718542,0.0003080430824894,9.48158387388363,0.0,1.3080884840281108,12,0.001029722834607,0.0013469685816902,4,0.0029207363233929
MMF1,1,0.0066970717198036,0.47696529262326,0.4036139510459642,0.0066970717198036,0.4408498490041924,71.21997681656119,0.0,70.3544096465254,11,0.0067794654950504,0.47696529262326,11,0.47696529262326
MMF11_L,0,0.0001,0.0002570617853544,0.0001,0.0002570617853544,0.0001,2.570617853544,38.0,1.0,7,0.0001,0.0001,1,0.0002570617853544
MMF11_L,1,0.0053724779247116,0.0326566198615538,0.0267339917449614,0.0224753569375764,0.0254878620809647,6.078502381804917,0.0,4.87310954453505,15,0.0061358573850171,0.0299007051868327,18,0.0326566198615538
MMF4,0,0.0002570379954591,0.0022539581256453,0.0007322280606735,0.0019073960429861,0.0002570379954591,8.768968656246585,0.0,1.3855870034639388,3,0.0016267171386643,0.0022539581256453,3,0.0022539581256453
MMF4,1,0.0059060903132315,0.0067795933284623,0.0062331373692602,0.0067795933284623,0.0061693720033599,1.147898689133466,0.0,1.0422350048567894,41,0.0059193674887245,0.0061693720033599,1,0.0067795933284623
ZDT4,0,0.0001,0.0001666152383065,0.0001,0.0001666152383065,0.0001,1.6661523830649998,193.0,1.0,10,0.0001,0.0001,1,0.0001666152383065
ZDT4,1,0.0063234398355413,0.2326803362595727,0.1850463296251183,0.0065465679674106,0.1715154018129107,36.796481394790526,0.0,21.014806102343314,26,0.0076993196274967,0.1617997090918093,93,0.2326803362595727
