semente,ponto,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0,1,-0,0.20742924646972094,0.9835143023288071,0.45064902964667719,0,-0.60742254955009622,-0,-0,0.38928923149983419,-0,-0,0,0.045382062540822998,0.27218100436733272,0,0.40487473896662229,-0
0,2,0,-0,-0.093919406075593903,-0.88309472291463376,-0.58277546391987833,-0.44068383824681479,0,-0,-0.6342261288603519,-0.41552651858294998,0.27253577679635899,0,-0,0.34745950289885474,-0,-0,-0
0,3,0,0,0.85086309763473023,0,0.71706586520326687,0.45023089214490364,-0.010260697485778847,-0.3061327777049776,-0,0,0.50305661556907344,0,-0.026258641274326644,-0,-0,-0.92043997953000711,-0.26104272301156639
0,4,-0.094118852445574941,0.3537911292648237,-0.081743440332833428,0.93377621480061079,-0,-0,-0,0.36187233464459201,0.78157315525524318,-0.032026814028572881,0,-0.69874055592059614,-0,0,-0.81521102421459624,-0,-0.58621765194850517
0,5,-0.4915960763015097,0.35103555440376044,-0,0,-0,-0,-0,0.26740173634555386,-0,0.80207261884818837,-0.86154075047773437,0,0,-0.37295438765762268,-0,-0,0.8735663790398025
0,6,-0.14395987426735779,-0.95331292762914943,0.65803017294873389,-0.00049550194043535001,0,-0,-0,-0.73635919290945906,0,-0,0.84526197014516558,-0,-0,-0.74703970015460341,0,0.57955698769748198,0.92552865555619501
0,7,-0.90950564292528502,0,0,-0.63282442962024543,-0.021142567020486114,0,0,0.43708829073571565,-0.049068908899512431,0.37189320539129267,-0,-0.028954055182606631,0.58911248685132156,-0.24542025549369884,0,-0.84000622978887218,0
0,8,-0.58092507769703805,-0,-0.77049253446300536,-0,-0,-0.27971431223918874,0.66595691170474147,0,-0.066705777500726482,0,-0.028532805735266065,-0,0,-0,0,-0,0.32790356824017008
0,9,-0.52788274811180891,-0,-0.83453429902765386,-0.91062282291754415,-0.37170707584198115,0,0,0.97582095215330544,0.67719822754231229,-0,0,0.54807162744393412,0.33419820581515092,0.88341507211749359,-0.019911593761981372,-0.42481664449428558,-0
0,10,-0.93612910324172383,-0.44031048642003112,-0,0.10561281747151496,-0.21732336028178945,-0.18949212906970803,0.36375470492831541,0,0.44463820416462774,-0.37600803638180214,0.22473043892258526,-0.49126829978175635,-0,-0.74965802866548104,-0.81577979222340269,-0,-0
0,11,-0.450241079596156,-0,-0.49040766779183143,0,-0.53359166027553084,0,0,0.63170007203022083,0,0,-0,-0,-0.79886961399046763,-0.68899545029516385,-0.43345510982839608,-0.47079118747051241,-0.9176036110830097
