label,alg,pop_variavel,N_pop,n_ger,turn_mean,turn_med,turn_g2,turn_q1,turn_q4,congeladas,n_trans
WFG5,b5m,False,50,801,0.18895,0.12,1.0,0.4404,0.08689999999999999,3.0,800.0
WFG5,b5r,True,44,930,,,,,,,
WFG9,moead_media,False,50,801,0.213375,0.16,0.96,0.41400000000000003,0.11019999999999999,19.0,800.0
WFG9,b5m,False,50,801,0.2207,0.14,0.98,0.4905,0.11080000000000002,0.0,800.0
WFG9,b5r,True,47,906,,,,,,,
ZDT1,moead_media,False,50,801,0.245925,0.18,1.0,0.39189999999999997,0.16450000000000004,2.0,800.0
ZDT1,b5m,False,50,801,0.23105000000000003,0.18,0.98,0.4056,0.1439,0.0,800.0
ZDT1,b5r,True,46,878,,,,,,,
ZDT3,moead_media,False,50,801,0.252475,0.2,1.0,0.47859999999999997,0.1286,5.0,800.0
ZDT3,b5m,False,50,801,0.307975,0.24,1.0,0.5347,0.21300000000000005,0.0,800.0
ZDT3,b5r,True,44,921,,,,,,,
ZDT4,moead_media,False,50,801,0.267725,0.2,1.0,0.4077,0.21840000000000004,2.0,800.0
ZDT4,b5m,False,50,801,0.8929250000000001,0.9,0.98,0.9530000000000001,0.8495000000000001,0.0,800.0
ZDT4,b5r,True,11,3845,,,,,,,
ZDT6,moead_media,False,50,801,0.06597499999999999,0.0,0.98,0.26389999999999997,0.0,729.0,800.0
ZDT6,b5m,False,50,801,0.18925,0.14,1.0,0.3636,0.13720000000000002,2.0,800.0
ZDT6,b5r,True,42,950,,,,,,,
swap_medium-lhs_DTLZ2,moead_media,False,105,381,0.08235588972431078,0.0,1.0,0.3294235588972431,0.0,346.0,380.0
swap_medium-lhs_DTLZ2,b5m,False,105,381,0.14328320802005012,0.11428571428571428,0.9904761904761905,0.23969924812030072,0.09223057644110273,0.0,380.0
swap_medium-lhs_DTLZ2,b5r,True,99,408,,,,,,,
swap_medium-lhs_MMF16_20,moead_media,False,105,381,0.0,0.0,0.0,0.0,0.0,380.0,380.0
swap_medium-lhs_MMF16_20,b5m,False,105,381,0.992982456140351,0.9904761904761905,1.0,0.9958897243107769,0.9903759398496239,0.0,380.0
swap_medium-lhs_MMF16_20,b5r,True,84,512,,,,,,,
swap_medium-lhs_WFG9,moead_media,False,50,801,0.20962499999999998,0.16,0.9,0.39189999999999997,0.0805,27.0,800.0
swap_medium-lhs_WFG9,b5m,False,50,801,0.2373,0.16,1.0,0.5247999999999999,0.1383,1.0,800.0
swap_medium-lhs_WFG9,b5r,True,45,905,,,,,,,
swap_medium-lhs_ZDT1,moead_media,False,50,801,0.20902500000000004,0.16,1.0,0.3729,0.12810000000000002,12.0,800.0
swap_medium-lhs_ZDT1,b5m,False,50,801,0.128575,0.08,1.0,0.2701,0.0771,29.0,800.0
swap_medium-lhs_ZDT1,b5r,True,48,852,,,,,,,
swap_medium-lhs_ZDT4,moead_media,False,50,801,0.03435,0.0,0.96,0.11289999999999999,0.0,761.0,800.0
swap_medium-lhs_ZDT4,b5m,False,50,801,0.998725,1.0,1.0,0.9983000000000001,0.9992,0.0,800.0
swap_medium-lhs_ZDT4,b5r,True,7,5465,,,,,,,
swap_medium-mvns_DTLZ2,moead_media,False,105,381,0.16112781954887218,0.0,0.9904761904761905,0.6445112781954887,0.0,306.0,380.0
swap_medium-mvns_DTLZ2,b5m,False,105,381,0.15035087719298246,0.12380952380952381,1.0,0.1976942355889724,0.11428571428571425,0.0,380.0
swap_medium-mvns_DTLZ2,b5r,True,90,454,,,,,,,
swap_medium-mvns_MMF16_20,moead_media,False,105,381,0.3432581453634085,0.12380952380952381,0.8666666666666667,0.8178446115288219,0.08100250626566415,67.0,380.0
swap_medium-mvns_MMF16_20,b5m,False,105,381,0.9571428571428572,0.9619047619047619,1.0,0.9952882205513783,0.929624060150376,0.0,380.0
swap_medium-mvns_MMF16_20,b5r,True,66,647,,,,,,,
swap_medium-mvns_WFG9,moead_media,False,50,801,0.2187,0.0,1.0,0.7192000000000001,0.0,549.0,800.0
swap_medium-mvns_WFG9,b5m,False,50,801,0.4656500000000001,0.32,1.0,0.9688000000000001,0.23620000000000005,0.0,800.0
swap_medium-mvns_WFG9,b5r,True,44,954,,,,,,,
swap_medium-mvns_ZDT1,moead_media,False,50,801,0.22802500000000003,0.16,1.0,0.39099999999999996,0.1555,1.0,800.0
swap_medium-mvns_ZDT1,b5m,False,50,801,0.17012500000000003,0.12,1.0,0.3379000000000001,0.1,7.0,800.0
swap_medium-mvns_ZDT1,b5r,True,47,864,,,,,,,
swap_medium-mvns_ZDT4,moead_media,False,50,801,0.08310000000000001,0.0,0.94,0.2891,0.0,686.0,800.0
swap_medium-mvns_ZDT4,b5m,False,50,801,0.009375,0.0,0.98,0.0375,0.0,771.0,800.0
swap_medium-mvns_ZDT4,b5r,True,14,3660,,,,,,,
swap_small-lhs_DTLZ2,moead_media,False,105,381,0.15077694235588976,0.0,0.9904761904761905,0.552280701754386,0.0,306.0,380.0
swap_small-lhs_DTLZ2,b5m,False,105,381,0.14255639097744358,0.11428571428571428,0.9714285714285714,0.2676691729323308,0.09042606516290724,0.0,380.0
swap_small-lhs_DTLZ2,b5r,True,79,504,,,,,,,
swap_small-lhs_MMF16_20,moead_media,False,105,381,0.15892230576441102,0.13333333333333333,0.9809523809523809,0.2782957393483709,0.08892230576441101,0.0,380.0
swap_small-lhs_MMF16_20,b5m,False,105,381,0.14764411027568922,0.10476190476190476,1.0,0.3239097744360902,0.06957393483709273,0.0,380.0
swap_small-lhs_MMF16_20,b5r,True,69,595,,,,,,,
swap_small-lhs_WFG9,moead_media,False,50,801,0.213375,0.16,0.96,0.41400000000000003,0.11019999999999999,19.0,800.0
swap_small-lhs_WFG9,b5m,False,50,801,0.2207,0.14,0.98,0.4905,0.11080000000000002,0.0,800.0
swap_small-lhs_WFG9,b5r,True,47,906,,,,,,,
swap_small-lhs_ZDT1,moead_media,False,50,801,0.245925,0.18,1.0,0.39189999999999997,0.16450000000000004,2.0,800.0
swap_small-lhs_ZDT1,b5m,False,50,801,0.23105000000000003,0.18,0.98,0.4056,0.1439,0.0,800.0
swap_small-lhs_ZDT1,b5r,True,46,878,,,,,,,
swap_small-lhs_ZDT4,moead_media,False,50,801,0.267725,0.2,1.0,0.4077,0.21840000000000004,2.0,800.0
swap_small-lhs_ZDT4,b5m,False,50,801,0.8929250000000001,0.9,0.98,0.9530000000000001,0.8495000000000001,0.0,800.0
swap_small-lhs_ZDT4,b5r,True,11,3845,,,,,,,
swap_small-mvns_DTLZ2,moead_media,False,105,381,0.10907268170426068,0.0,0.8666666666666667,0.42125313283208027,0.0,315.0,380.0
swap_small-mvns_DTLZ2,b5m,False,105,381,0.1444611528822055,0.11428571428571428,0.9809523809523809,0.2565413533834586,0.09393483709273182,0.0,380.0
swap_small-mvns_DTLZ2,b5r,True,77,557,,,,,,,
swap_small-mvns_MMF16_20,moead_media,False,105,381,0.1667669172932331,0.08571428571428572,0.9714285714285714,0.41604010025062665,0.05744360902255638,3.0,380.0
swap_small-mvns_MMF16_20,b5m,False,105,381,0.1824812030075188,0.11428571428571428,1.0,0.4304761904761905,0.09062656641604008,0.0,380.0
swap_small-mvns_MMF16_20,b5r,True,86,507,,,,,,,
swap_small-mvns_WFG9,moead_media,False,50,801,0.3422,0.24,1.0,0.5869,0.25570000000000004,0.0,800.0
swap_small-mvns_WFG9,b5m,False,50,801,0.28614999999999996,0.18,1.0,0.6738,0.10080000000000001,2.0,800.0
swap_small-mvns_WFG9,b5r,True,42,944,,,,,,,
swap_small-mvns_ZDT1,moead_media,False,50,801,0.24585,0.18,1.0,0.43379999999999996,0.1685,6.0,800.0
swap_small-mvns_ZDT1,b5m,False,50,801,0.042800000000000005,0.02,0.98,0.10510000000000001,0.0088,395.0,800.0
swap_small-mvns_ZDT1,b5r,True,47,854,,,,,,,
swap_small-mvns_ZDT4,moead_media,False,50,801,0.15495,0.12,1.0,0.20639999999999997,0.1795,30.0,800.0
swap_small-mvns_ZDT4,b5m,False,50,801,0.996575,1.0,1.0,0.9987,0.9941000000000001,0.0,800.0
swap_small-mvns_ZDT4,b5r,True,7,5548,,,,,,,
