label,alg,problema,exp,obj,pct_otimista,vies_med,wape_final,mu_neg_pct,f_neg_pct,origem_ger
BBOB_F55,moead_media,BBOB_F55,off,1,1.0,-52.97504997253418,0.5954480040341193,0.0,0.0,801
BBOB_F55,b5m,BBOB_F55,off,0,0.42,1.4310798645019531,0.1126602139880198,0.0,0.0,801
BBOB_F55,b5m,BBOB_F55,off,1,0.84,-15.087823867797852,0.2296373235241589,0.0,0.0,801
BBOB_F55,b5r,BBOB_F55,off,0,0.8636363636363636,-4.710018157958984,0.11555720754004406,0.0,0.0,942
BBOB_F55,b5r,BBOB_F55,off,1,0.8181818181818182,-5.216165542602539,0.24790573778438785,0.0,0.0,942
BBOB_F55,e103,BBOB_F55,off,0,0.87,-1.2714462280273438,0.059255996804412694,0.0,0.0,99
BBOB_F55,e103,BBOB_F55,off,1,0.42,4.158489227294922,0.05956710363726685,0.0,0.0,99
DTLZ1,moead_media,DTLZ1,off,0,1.0,-25.363754272460938,1.0,0.0,0.0,381
DTLZ1,moead_media,DTLZ1,off,1,1.0,-57.92900085449219,2.3274468976176923,1.0,0.0,381
DTLZ1,moead_media,DTLZ1,off,2,1.0,-267.88232421875,1.0,0.0,0.0,381
DTLZ1,b5m,DTLZ1,off,0,1.0,-42.177879333496094,1.0,0.0,0.0,381
DTLZ1,b5m,DTLZ1,off,1,1.0,-19.143749237060547,1.0,0.0,0.0,381
DTLZ1,b5m,DTLZ1,off,2,1.0,-84.632080078125,1.0,0.0,0.0,381
DTLZ1,b5r,DTLZ1,off,0,1.0,-50.09526252746582,1.4880663815650392,0.7843137254901961,0.0,870
DTLZ1,b5r,DTLZ1,off,1,1.0,-56.32042694091797,1.3724340579754275,0.7647058823529411,0.0,870
DTLZ1,b5r,DTLZ1,off,2,1.0,-200.20095825113685,0.9903097488199321,0.0,0.0,870
DTLZ1,e103,DTLZ1,off,0,0.48,6.6529905796051025,1.6536315470223042,0.25,0.0,99
DTLZ1,e103,DTLZ1,off,1,0.52,-2.780399441719055,1.7602005784771926,0.33,0.0,99
DTLZ1,e103,DTLZ1,off,2,0.41,28.072254180908203,1.1301702651019134,0.15,0.0,99
DTLZ2,moead_media,DTLZ2,off,0,1.0,-2.4450807571411133,1.0,0.0,0.0,381
DTLZ2,moead_media,DTLZ2,off,1,1.0,-2.188244342803955,0.9999999999999651,0.0,0.0,381
DTLZ2,moead_media,DTLZ2,off,2,1.0,-2.5545245786746777e-16,1.0,0.0,0.0,381
DTLZ2,b5m,DTLZ2,off,0,0.6190476190476191,-0.08688288927078247,0.4010127432345701,0.38095238095238093,0.0,381
DTLZ2,b5m,DTLZ2,off,1,0.5428571428571428,-0.023878276348114014,0.37401666921885185,0.3238095238095238,0.0,381
DTLZ2,b5m,DTLZ2,off,2,0.6285714285714286,-0.06511405110359192,0.27961103916819063,0.3238095238095238,0.0,381
DTLZ2,b5r,DTLZ2,off,0,0.5662650602409639,-0.05170285701751709,0.291328799045167,0.2891566265060241,0.0,504
DTLZ2,b5r,DTLZ2,off,1,0.5662650602409639,-0.06174793839454651,0.38611764065956505,0.30120481927710846,0.0,504
DTLZ2,b5r,DTLZ2,off,2,0.7710843373493976,-0.20124948024749756,0.46779471084520297,0.42168674698795183,0.0,504
DTLZ2,e103,DTLZ2,off,0,0.38,0.1835397183895111,1.0872090087755442,0.1,0.0,99
DTLZ2,e103,DTLZ2,off,1,0.34,0.2313140332698822,1.091908159011119,0.08,0.0,99
DTLZ2,e103,DTLZ2,off,2,0.25,0.45479369163513184,0.8436774297095126,0.01,0.0,99
DTLZ3,moead_media,DTLZ3,off,0,1.0,-480.3734436035156,1.0,0.0,0.0,381
DTLZ3,moead_media,DTLZ3,off,1,1.0,-680.4913330077418,0.9999999999998931,0.0,0.0,381
DTLZ3,moead_media,DTLZ3,off,2,0.9904761904761905,-339.3604736328125,54.46932097690044,0.9904761904761905,0.0,381
DTLZ3,b5m,DTLZ3,off,0,1.0,-378.5658874511719,1.0,0.0,0.0,381
DTLZ3,b5m,DTLZ3,off,1,1.0,-370.78216552734375,1.0,0.0,0.0,381
DTLZ3,b5m,DTLZ3,off,2,1.0,-743.33642578125,1.0,0.0,0.0,381
DTLZ3,b5r,DTLZ3,off,0,1.0,-400.8555755595843,0.9999999705843091,0.0,0.0,1077
DTLZ3,b5r,DTLZ3,off,1,1.0,-501.76304626464844,1.0,0.0,0.0,1077
DTLZ3,b5r,DTLZ3,off,2,1.0,-527.0242919921875,1.0,0.0,0.0,1077
DTLZ3,e103,DTLZ3,off,0,0.35,183.12429809570312,2.6730394566480182,0.23,0.0,99
DTLZ3,e103,DTLZ3,off,1,0.39,53.430398838594556,3.2292272499977392,0.37,0.0,99
DTLZ3,e103,DTLZ3,off,2,0.14,416.97681522369385,2.481103864185376,0.04,0.0,99
DTLZ4,moead_media,DTLZ4,off,0,1.0,-1.9898849725723267,1.0,0.0,0.0,381
DTLZ4,moead_media,DTLZ4,off,1,0.9523809523809523,-0.24782900513490014,275.81281575745925,0.9428571428571428,0.0,381
DTLZ4,moead_media,DTLZ4,off,2,0.9333333333333333,-3.010152795468457e-05,1.0,0.0,0.0,381
DTLZ4,b5m,DTLZ4,off,0,0.6476190476190476,-0.019916892051696777,0.043901016968470354,0.0,0.0,381
DTLZ4,b5m,DTLZ4,off,1,1.0,-2.2111796265463843e-17,0.0018618004576317732,0.0,0.0,381
DTLZ4,b5m,DTLZ4,off,2,0.8476190476190476,-0.01607002690434456,2898427358712.0063,0.8476190476190476,0.0,381
DTLZ4,b5r,DTLZ4,off,0,0.8571428571428571,-0.08782750368118286,0.08116218754225478,0.0,0.0,2312
DTLZ4,b5r,DTLZ4,off,1,0.14285714285714285,0.20040953158172453,192742.80550359737,0.14285714285714285,0.0,2312
DTLZ4,b5r,DTLZ4,off,2,0.7857142857142857,-1.841022691568027e-22,4.1841391357992264e-09,0.0,0.0,2312
DTLZ4,e103,DTLZ4,off,0,0.03,0.3916546702384949,0.36404059475499756,0.0,0.0,99
DTLZ4,e103,DTLZ4,off,1,0.69,-0.03259260021150112,2.103068396506436,0.69,0.0,99
DTLZ4,e103,DTLZ4,off,2,0.59,-0.01343273464590311,2.0556518940157398,0.57,0.0,99
DTLZ7,moead_media,DTLZ7,off,0,0.34285714285714286,4.112720489501953e-05,8.897175418538168e-05,0.0,0.0,381
DTLZ7,moead_media,DTLZ7,off,1,0.580952380952381,-1.3589859008789062e-05,6.109760852432133e-05,0.0,0.0,381
DTLZ7,moead_media,DTLZ7,off,2,0.8380952380952381,-0.5623760223388672,0.09618794864077071,0.0,0.0,381
DTLZ7,b5m,DTLZ7,off,0,0.41904761904761906,1.817941665649414e-06,2.6762033399843294e-05,0.009523809523809525,0.0,381
DTLZ7,b5m,DTLZ7,off,1,0.3333333333333333,6.452202796936035e-06,3.0774684264866306e-05,0.0,0.0,381
DTLZ7,b5m,DTLZ7,off,2,0.9809523809523809,-1.291208267211914,0.13911580590149708,0.0,0.0,381
DTLZ7,b5r,DTLZ7,off,0,0.38461538461538464,1.2427568435668945e-05,4.422662673568284e-05,0.0,0.0,785
DTLZ7,b5r,DTLZ7,off,1,0.5961538461538461,-1.3142824172973633e-05,3.351597381604434e-05,0.0,0.0,785
DTLZ7,b5r,DTLZ7,off,2,1.0,-1.5863568782806396,0.1851396845460018,0.0,0.0,785
DTLZ7,e103,DTLZ7,off,0,0.46,0.031239792704582214,0.7173514343596683,0.01,0.0,99
DTLZ7,e103,DTLZ7,off,1,0.56,-0.07448941469192505,0.6230737761628304,0.0,0.0,99
DTLZ7,e103,DTLZ7,off,2,0.49,0.10676407814025879,0.1585944019463757,0.0,0.0,99
MMF1,moead_media,MMF1,off,0,1.0,-0.06467500375583768,1.1238672084883283,1.0,0.0,801
MMF1,moead_media,MMF1,off,1,1.0,-4.7105837794952095,0.9988192997640135,0.0,0.0,801
MMF1,b5m,MMF1,off,0,0.78,-0.0005207657814025879,0.006253390966860863,0.0,0.0,801
MMF1,b5m,MMF1,off,1,0.68,-0.06449159979820251,0.2675169282009157,0.0,0.0,801
MMF1,b5r,MMF1,off,0,0.6818181818181818,-0.002499312162399292,0.03889475170297276,0.022727272727272728,0.0,909
MMF1,b5r,MMF1,off,1,0.6818181818181818,-0.15031645633280277,0.6043187856491251,0.3409090909090909,0.0,909
MMF1,e103,MMF1,off,0,0.44,0.04260051250457764,0.6807063014078013,0.07,0.0,99
MMF1,e103,MMF1,off,1,0.44,0.07356728799641132,1.1250605731437353,0.22,0.0,99
MMF11_L,moead_media,MMF11_L,off,0,0.4,0.0033647529780864716,0.02834652451297481,0.0,0.0,801
MMF11_L,moead_media,MMF11_L,off,1,1.0,-19.505936846137047,0.9772520950552401,0.0,0.0,801
MMF11_L,b5m,MMF11_L,off,0,0.38,0.0,4.392922000024218e-06,0.0,0.0,801
MMF11_L,b5m,MMF11_L,off,1,0.38,0.005435585975646973,0.08099945939779486,0.0,0.0,801
MMF11_L,b5r,MMF11_L,off,0,0.0625,0.0,4.268067582428818e-07,0.0,0.0,848
MMF11_L,b5r,MMF11_L,off,1,0.6041666666666666,-0.001577138900756836,0.12342174293618342,0.0,0.0,848
MMF11_L,e103,MMF11_L,off,0,0.67,-0.11716853082180023,0.6356645543901386,0.0,0.0,99
MMF11_L,e103,MMF11_L,off,1,0.28,2.372684061527252,0.9537616746993228,0.0,0.0,99
MMF16_20,moead_media,MMF16_20,off,0,1.0,-0.8834769651257375,1.0434092992007804,0.5428571428571428,0.0,381
MMF16_20,moead_media,MMF16_20,off,1,1.0,-1.1599121987819672,0.8040244111095088,0.42857142857142855,0.0,381
MMF16_20,moead_media,MMF16_20,off,2,1.0,-0.9942288249731064,1.0255029687873976,0.5428571428571428,0.0,381
MMF16_20,b5m,MMF16_20,off,0,0.7333333333333333,-0.18780829012393951,0.2950174156611135,0.2857142857142857,0.0,381
MMF16_20,b5m,MMF16_20,off,1,0.7714285714285715,-0.23860615491867065,0.3002837921173492,0.2857142857142857,0.0,381
MMF16_20,b5m,MMF16_20,off,2,0.7142857142857143,-0.3508964776992798,0.39581249578443595,0.3142857142857143,0.0,381
MMF16_20,b5r,MMF16_20,off,0,0.8918918918918919,-0.27858913217369263,0.2516070142297335,0.21621621621621623,0.0,595
MMF16_20,b5r,MMF16_20,off,1,0.972972972972973,-0.21755564212799072,0.19047575254916257,0.08108108108108109,0.0,595
MMF16_20,b5r,MMF16_20,off,2,0.918918918918919,-0.22373173385858536,0.2101801401943565,0.1891891891891892,0.0,595
MMF16_20,e103,MMF16_20,off,0,0.56,-0.23215961456298834,1.0239078924707257,0.16,0.0,99
MMF16_20,e103,MMF16_20,off,1,0.67,-0.500101238489151,0.9972317160203487,0.26,0.0,99
MMF16_20,e103,MMF16_20,off,2,0.75,-0.7344365119934082,0.5908970894229296,0.05,0.0,99
MMF4,moead_media,MMF4,off,0,0.62,-0.21712206304073334,0.5971016139894485,0.0,0.0,801
MMF4,moead_media,MMF4,off,1,0.66,-0.06390637787990272,0.4502196954659287,0.04,0.0,801
MMF4,b5m,MMF4,off,0,0.58,-0.0006047673523426056,0.021352439376583585,0.04,0.0,801
MMF4,b5m,MMF4,off,1,0.6,-0.009390309453010559,0.060784813417467894,0.0,0.0,801
MMF4,b5r,MMF4,off,0,0.5208333333333334,-0.0011178851127624512,0.034435127013495416,0.0,0.0,865
MMF4,b5r,MMF4,off,1,0.7083333333333334,-0.029685184359550476,0.11587316922718159,0.041666666666666664,0.0,865
MMF4,e103,MMF4,off,0,0.69,-0.15407777577638626,0.5963123782695267,0.0,0.0,99
MMF4,e103,MMF4,off,1,0.57,-0.2545543313026428,0.9566062710409687,0.17,0.0,99
WFG1,moead_media,WFG1,off,0,0.78,-0.08497798442840576,0.052067305255992256,0.0,0.0,801
WFG1,moead_media,WFG1,off,1,0.98,-0.22074967622756958,0.19662217670532542,0.0,0.0,801
WFG1,b5m,WFG1,off,0,0.36,0.014428138732910156,0.009573472556479834,0.0,0.0,801
WFG1,b5m,WFG1,off,1,0.64,-0.016227364540100098,0.038396979988487366,0.0,0.0,801
WFG1,b5r,WFG1,off,0,0.17391304347826086,0.11778461933135986,0.05737000629360821,0.0,0.0,935
WFG1,b5r,WFG1,off,1,0.9347826086956522,-0.1755516529083252,0.23180083514189084,0.0,0.0,935
WFG1,e103,WFG1,off,0,0.23,0.05142247676849365,0.032705784137078434,0.0,0.0,99
WFG1,e103,WFG1,off,1,0.7,-0.026591897010803223,0.08305899762872215,0.0,0.0,99
WFG2,moead_media,WFG2,off,0,1.0,-0.9178502708673477,1.1818152616387108,0.64,0.0,801
WFG2,moead_media,WFG2,off,1,1.0,-3.693589895963669,0.7631363313361021,0.02,0.0,801
WFG2,b5m,WFG2,off,0,0.66,-0.15615879744291306,0.1518862357250185,0.08,0.0,801
WFG2,b5m,WFG2,off,1,0.82,-0.7148220539093018,0.2983923160423744,0.0,0.0,801
WFG2,b5r,WFG2,off,0,0.7380952380952381,-0.26818132400512695,0.1559914890086738,0.07142857142857142,0.0,923
WFG2,b5r,WFG2,off,1,0.8571428571428571,-1.609416902065277,0.5155070864693491,0.07142857142857142,0.0,923
WFG2,e103,WFG2,off,0,0.42,0.05093944072723389,0.41147711369017353,0.0,0.0,99
WFG2,e103,WFG2,off,1,0.39,0.42897605895996094,0.33388441252522233,0.0,0.0,99
WFG4,moead_media,WFG4,off,0,1.0,-1.5105985328555107,0.7970025518858704,0.22,0.0,801
WFG4,moead_media,WFG4,off,1,1.0,-1.9408493041992188,0.4873803096294759,0.0,0.0,801
WFG4,b5m,WFG4,off,0,0.24,0.35826271772384644,0.33511727549094594,0.0,0.0,801
WFG4,b5m,WFG4,off,1,0.76,-0.48738396167755127,0.18263259011009605,0.0,0.0,801
WFG4,b5r,WFG4,off,0,0.10869565217391304,0.22287225723266602,0.21639946702322246,0.0,0.0,937
WFG4,b5r,WFG4,off,1,0.8695652173913043,-0.9292479157447815,0.31492187930655174,0.06521739130434782,0.0,937
WFG4,e103,WFG4,off,0,0.75,-0.3478388786315918,0.3079794746342609,0.0,0.0,99
WFG4,e103,WFG4,off,1,0.35,0.6204921007156372,0.34906552082787917,0.0,0.0,99
WFG5,moead_media,WFG5,off,0,0.9,-0.8672914803028107,0.44734907390328876,0.0,0.0,801
WFG5,moead_media,WFG5,off,1,0.9,-1.3212227299809456,0.8658565706840013,0.4,0.0,801
WFG5,b5m,WFG5,off,0,0.66,-0.053127288818359375,0.1276656972150423,0.0,0.0,801
WFG5,b5m,WFG5,off,1,0.44,0.06702232360839844,0.31699781770061397,0.08,0.0,801
WFG5,b5r,WFG5,off,0,0.36363636363636365,0.3555333614349365,0.24562532949328952,0.0,0.0,930
WFG5,b5r,WFG5,off,1,0.6590909090909091,-1.4095631837844849,0.6035521010541202,0.1590909090909091,0.0,930
WFG5,e103,WFG5,off,0,0.11,1.0759603381156921,1.5116148617952077,0.0,0.0,99
WFG5,e103,WFG5,off,1,0.86,-1.0708330869674683,0.3499717283336386,0.0,0.0,99
WFG9,moead_media,WFG9,off,0,0.66,-0.4006151854991913,0.9147672029305546,0.34,0.0,801
WFG9,moead_media,WFG9,off,1,0.92,-2.9367637038230896,0.5988016638654997,0.12,0.0,801
WFG9,b5m,WFG9,off,0,0.66,-0.20312204957008362,0.15443847435274194,0.0,0.0,801
WFG9,b5m,WFG9,off,1,0.34,0.1804814338684082,0.20553396828104228,0.0,0.0,801
WFG9,b5r,WFG9,off,0,0.15555555555555556,0.4091756343841553,0.3236638037218125,0.0,0.0,906
WFG9,b5r,WFG9,off,1,0.8888888888888888,-1.7306643724441528,0.4459289206840773,0.1111111111111111,0.0,906
WFG9,e103,WFG9,off,0,0.38,0.231678307056427,0.5063542817508916,0.0,0.0,99
