label,exp,problema,tier,dist,status,motivo_parada,maxfe,fe_final,n_ger,algo_version,env,cache_hits,fallback,n_retries,stack_trace,has_params_5,fit_series_len,sonda_nblocos_5,sonda_S_5,t_total,t_fit,t_busca,t_aval_real,t_sonda,sd_keys,sd_modelo_hp_null,sd_sigma_null,sd_mode12,D,M,n1,u1_n1_eq_maxfe,u1_n1_eq_esperado,u1_fase_init_pct,u1_fe_index_denso,u1_solution_id_denso,u2_ds_n,u2_dX_max,u2_dF_max,u2_bitaabit,u2_ds_tier,u2_ds_dist,u2_doe_hash_eq_cp,n2,n3,n3_sonda,n3_offline,n3_regimes,u10_ger_min,u10_ger_max,u10_ger_denso,N_lattice,u10_pop_const,u10_n3off_eq,c3_fe_surr,c3_overshoot_ok,c3_nger_formula,f2_sigma_nan_pct,f2_mu_nan_pct,f3_rsid_null_pct,u8_fe_treino_max_u,u8_fe_treino_ok,c8_espaco,c8_transf_null,c1_modelo_flag,c1_pred_tipo,c1_pred_cls_null,c17_sonda_ger_null,u5_n_sonda,u5_dX_max,u5_ok,u5_hash_ok,n4,u3_n4_eq1,u3_nacum,u3_nacum_ok,u7_fit_busca,u7_tempo_ger,u7_le,u7_sonda_excluida,j_bad,j_badtxt,j_header,j_sonda,j_decision,j_footer,j_guard,j_recs,u10_dec_eq_nger,u10_dec_denso,c9_caminho,c9_motivo,c9_chaves_dec,f3_nds_membros0,j_fe_const,j_fbest_len,j_nfront1_min,j_nfront1_max,u4_sonda_ev,u4_npontos,u4_hashcheck,u4_sonda_ger,j_footer_status,j_footer_nfinal,j_footer_nnd,u9_cache_footer,j_footer_cpinit,n7,u12_nd_recomputo_ok,u12_nd,u12_fantasia,u12_origem_ger_u,u12_origem_ger_ok,u12_rsid_null,u12_n7_eq_pop,u12_footer_ok,u12_linha_denso,u12_link_dX,u12_link_bit,u11_erro_fantasia_med,u11_erro_fant_rel_med,u11_mu_menor_pct,c14_turnover_med,c14_turnover_mean,c14_turnover_g1,c14_turnover_ult,c14_turnover_max,c14_gers_sem_mudanca,c14_turnover_q1,c14_turnover_q4
BBOB_F1,off,BBOB_F1,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,38.0442,0.5015,33.9984,0.0,0.6046,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,34.499900817871094,34.499900817871094,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,5,47,1,20000,ok,1,ok,50,29,0,True,50,True,29,0.58,801,True,True,True,True,True,0.0,True,21.393848419189453,0.9066733384154539,1.0,0.08,0.13175,1.0,0.08,1.0,80,0.2262,0.0973
BBOB_F17,off,BBOB_F17,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,40.1838,0.6486,36.1634,0.0,0.6112,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,36.81198811531067,36.811988830566406,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,5,50,1,20000,ok,1,ok,50,50,0,True,50,True,50,1.0,801,True,True,True,True,True,0.0,True,5427126.86195755,3.281689541658711,1.0,0.0,0.062174999999999994,0.98,0.0,1.0,741,0.24869999999999998,0.0
BBOB_F22,off,BBOB_F22,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,37.3012,0.6354,33.6456,0.0,0.6046,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,34.28100514411926,34.281005859375,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,3,50,1,20000,ok,1,ok,50,17,0,True,50,True,17,0.34,801,True,True,True,True,True,0.0,True,176649.86306762695,1.5812510180214305,1.0,0.12,0.18637499999999999,0.98,0.02,1.0,18,0.36879999999999996,0.10690000000000001
BBOB_F37,off,BBOB_F37,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,37.7362,0.5201,34.6357,0.0,0.5968,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,35.15581679344177,35.15581512451172,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,5,37,1,20000,ok,1,ok,50,3,0,True,50,True,3,0.06,801,True,True,True,True,True,0.0,True,507.8866653442383,0.51729966070222,1.0,0.24,0.2896,0.98,0.14,1.0,0,0.39160000000000006,0.23130000000000003
BBOB_F49,off,BBOB_F49,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,37.3261,0.5533,34.0355,0.0,0.6035,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,34.588724851608276,34.588722229003906,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,7,46,1,20000,ok,1,ok,50,4,0,True,50,True,4,0.08,801,True,True,True,True,True,0.0,True,228.76494979858398,1.0255062354423126,1.0,0.18,0.24545000000000003,0.96,0.02,1.0,13,0.46019999999999994,0.12680000000000002
BBOB_F5,off,BBOB_F5,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,37.2584,0.5723,33.6953,0.0,0.5987,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,34.26757788658142,34.267578125,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,4,47,1,20000,ok,1,ok,50,28,0,True,50,True,28,0.56,801,True,True,True,True,True,0.0,True,87.6428747177124,0.484953086512701,1.0,0.04,0.11442500000000001,1.0,0.02,1.0,132,0.2895,0.03590000000000001
BBOB_F55,off,BBOB_F55,small,lhs,ok,orcamento,309,309,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,37.2644,0.6015,33.9011,0.0,0.5997,20,True,True,True,10,2,309,True,True,1.0,True,True,309,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,308,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,309,True,34.502586364746094,34.502586364746094,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,4,38,1,20000,ok,1,ok,50,4,0,True,50,True,4,0.08,801,True,True,True,True,True,0.0,True,49.089383125305176,0.5894829493511758,1.0,0.14,0.21202500000000002,0.98,0.1,1.0,22,0.3818,0.1389
DTLZ1,off,DTLZ1,small,lhs,ok,orcamento,216,216,381,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,40.9151,0.2495,36.5042,0.0,0.4819,20,True,True,True,7,3,216,True,True,1.0,True,True,216,0.0,0.0,True,small,lhs,True,0,60005,20000,40005,offline|sonda,1,381,True,105,True,True,40005,True,True,1.0,0.0,1.0,215,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,216,True,36.75366139411926,36.753662109375,True,True,0,,1,1,381,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,1,97,1,20000,ok,1,ok,105,94,0,True,105,True,94,0.8952380952380953,381,True,True,True,True,True,0.0,True,57.92900085449219,1.0,1.0,0.0,0.1724561403508772,1.0,0.0,1.0,260,0.4170426065162907,0.10165413533834586
DTLZ2,off,DTLZ2,small,lhs,ok,orcamento,371,371,381,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,49.1622,4.404,39.8119,0.0,1.1617,20,True,True,True,12,3,371,True,True,1.0,True,True,371,0.0,0.0,True,small,lhs,True,0,60005,20000,40005,offline|sonda,1,381,True,105,True,True,40005,True,True,1.0,0.0,1.0,370,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,371,True,44.215871810913086,44.21586990356445,True,True,0,,1,1,381,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,1,91,1,20000,ok,1,ok,105,99,0,True,105,True,99,0.9428571428571428,381,True,True,True,True,True,0.0,True,2.188244342803955,1.0,1.0,0.0,0.15077694235588976,0.9904761904761905,0.0,0.9904761904761905,306,0.552280701754386,0.0
DTLZ3,off,DTLZ3,small,lhs,ok,orcamento,371,371,381,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,45.2814,0.8151,39.3291,0.0,1.1771,20,True,True,True,12,3,371,True,True,1.0,True,True,371,0.0,0.0,True,small,lhs,True,0,60005,20000,40005,offline|sonda,1,381,True,105,True,True,40005,True,True,1.0,0.0,1.0,370,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,371,True,40.14422845840454,40.144229888916016,True,True,0,,1,1,381,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,4,104,1,20000,ok,1,ok,105,104,0,True,105,True,104,0.9904761904761905,381,True,True,True,True,True,0.0,True,480.3734436035156,1.0,0.9968253968253968,0.0,0.32671679197994985,0.9904761904761905,0.0,0.9904761904761905,202,0.803408521303258,0.12411027568922305
DTLZ4,off,DTLZ4,small,lhs,ok,orcamento,371,371,381,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,49.1041,4.4684,40.1718,0.0,1.1388,20,True,True,True,12,3,371,True,True,1.0,True,True,371,0.0,0.0,True,small,lhs,True,0,60005,20000,40005,offline|sonda,1,381,True,105,True,True,40005,True,True,1.0,0.0,1.0,370,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,371,True,44.640221118927,44.640220642089844,True,True,0,,1,1,381,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,1,91,1,20000,ok,1,ok,105,3,0,True,105,True,3,0.02857142857142857,381,True,True,True,True,True,0.0,True,0.24782900513490014,1.0,0.9619047619047619,0.23333333333333334,0.33909774436090234,0.8666666666666667,0.8380952380952381,0.8666666666666667,154,0.6524310776942357,0.134937343358396
DTLZ7,off,DTLZ7,small,lhs,ok,orcamento,681,681,381,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,109.1643,46.3509,56.2679,0.0,3.5917,20,True,True,True,22,3,681,True,True,1.0,True,True,681,0.0,0.0,True,small,lhs,True,0,60005,20000,40005,offline|sonda,1,381,True,105,True,True,40005,True,True,1.0,0.0,1.0,680,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,681,True,102.61881256103516,102.61881256103516,True,True,0,,1,1,381,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,13,105,1,20000,ok,1,ok,105,33,0,True,105,True,33,0.3142857142857143,381,True,True,True,True,True,0.0,True,5.8164820075035095e-05,0.0002816870458294248,0.5873015873015873,0.29523809523809524,0.3945112781954887,1.0,0.13333333333333333,1.0,1,0.6256641604010026,0.12481203007518794
MMF1,off,MMF1,small,lhs,ok,orcamento,61,61,801,piso-off-moead_media-1.0,env_b5,0,False,0,False,False,1,1,20000,34.4292,0.0485,31.8012,0.0,0.1145,20,True,True,True,2,2,61,True,True,1.0,True,True,61,0.0,0.0,True,small,lhs,True,0,60050,20000,40050,offline|sonda,1,801,True,50,True,True,40050,True,True,1.0,0.0,1.0,60,True,cru,True,moead_media/MOEAD-PBI+GPR-media,valor,True,True,20000,0.0,True,True,1,True,61,True,31.849742650985718,31.849742889404297,True,True,0,,1,1,801,2,0,decision|footer|header|sonda,True,True,moead_media_gen,"selecao no surrogate (MOEA/D mode 12, PBI; so a media)",caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,True,True,True,4,50,1,20000,ok,1,ok,50,1,0,True,50,True,1,0.02,801,True,True,True,True,True,0.0,True,2.2140263131586835,1.0015401131717419,1.0,0.06,0.09657500000000002,1.0,0.04,1.0,60,0.20260000000000006,0.0446
